,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/ayrenhoff-der-postzug.xml,0,84," Der Schauplatz ist ein Zimmer in dem Schlosse des Barons, worin ein Kanapee stehet.",positive,emotions of suffering,emotional movement
1,GerDracor/ayrenhoff-der-postzug.xml,85,111,Der Verwalter und Lisette.,emotional movement,emotional movement,emotional movement
2,GerDracor/ayrenhoff-der-postzug.xml,112,227,"Sie wissen also nicht, Jungfer Lisette, in welcher Absicht mich die Baroninn schon
              wieder rufen läßt?",negative,emotions of rejection,emotional movement
3,GerDracor/ayrenhoff-der-postzug.xml,228,286,"Das sagte sie mir nicht, und es wäre Kunst es zu errathen.",negative,emotions of rejection,anger
4,GerDracor/ayrenhoff-der-postzug.xml,287,398,"Sie hat heut so vielerley
              Dinge im Kopfe, daß sie selbst nicht weiß, was sie will und nicht will.",emotional movement,emotional movement,emotional movement
5,GerDracor/ayrenhoff-der-postzug.xml,399,469,"Wenn wir doch
              diese Festivität schon überstanden hätten!",negative,emotions of suffering,suffering
6,GerDracor/ayrenhoff-der-postzug.xml,470,544,Ja wohl – und Ich von meinem Interims-Haushofmeister-Amte wieder los wäre!,negative,emotions of rejection,anger
7,GerDracor/ayrenhoff-der-postzug.xml,545,669,"Das ist
              nun diesen Morgen das zwölftemal, daß ich gerufen werde; achtmal bloß des Stalles
              wegen.",negative,emotions of rejection,anger
8,GerDracor/ayrenhoff-der-postzug.xml,670,702,"Wundert Sie das, Herr Verwalter?",emotional movement,emotional movement,emotional movement
9,GerDracor/ayrenhoff-der-postzug.xml,703,743,Sie kennen doch den Grafen von Reitbahn?,emotional movement,emotional movement,emotional movement
10,GerDracor/ayrenhoff-der-postzug.xml,744,749,Nein!,emotional movement,emotions of rejection,emotional movement
11,GerDracor/ayrenhoff-der-postzug.xml,750,847,"ich hatte eben den Tag, da er hier war, in den herrschaftlichen Weingärten zu
              thun.",positive,emotions of rejection,joy
12,GerDracor/ayrenhoff-der-postzug.xml,848,1024,"So muß ich Ihnen also sagen, daß dieser Herr Bräutigam von unserm Fräulein, der
              größte, der berühmteste Pferdenarr im ganzen Lande ist – ein  Ha nun begreif' ich!",negative,emotions of rejection,anger
13,GerDracor/ayrenhoff-der-postzug.xml,1025,1049,"Denken Sie nur, Lisette!",negative,emotions of fear,compassion
