,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1463,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,77629,77648,ich bitte sie drum.,negative,emotions of suffering,anger
1464,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,77649,77694,Man muß seinen Nächsten etwas zu gute halten.,negative,emotions of affection,friendship
1465,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,77695,77783,"Verzeihen sie
              ihr die Thorheit; sie wird ihnen die Phantasterey verzeihen.",negative,emotions of joy,emotional movement
1466,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,77784,77804,"Gut, ich wills thun.",positive,emotions of joy,joy
1467,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,77805,77837,"Nein, ich kanns nicht vergessen!",positive,emotions of affection,emotional movement
1468,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,77838,77841,Ey!,emotional movement,emotional movement,emotional movement
1469,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,77842,77885,"thun sie doch nur so, des Wohlstands wegen.",negative,emotions of rejection,"hate, disgust"
1470,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,77886,78064,"Hören sie: Weil sie sich nicht
              vergleichen können; so will ich ihnen meine Erklärung von der Wiedergeburth sagen:
              Vielleicht gefällt sie ihnen besser.",positive,emotions of joy,joy
1471,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,78065,78093,Und denn ist der Streit aus.,negative,emotions of rejection,anger
1472,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,78094,78106,Meinetwegen.,negative,emotions of affection,anger
1473,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,78107,78131,Ich lasse mirs gefallen.,negative,emotions of rejection,anger
1474,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,78132,78146,Nun hören sie!,positive,emotions of rejection,joy
1475,GerDracor/gottschedin-die-pietisterey-im-fischbein-rocke.xml,78147,78359,"Nach meiner Meynung ist die Wiedergeburth, die Urständung des wahren
              Bildnisses der edlen Perle, die aus dem Magischen Seelenfeuer gebohren, und in den
              ewigen Sabbath eingeführet wird.",positive,emotions of joy,admiration
