,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1333,GerDracor/kotzebue-pagenstreiche.xml,64896,64935,Haben Sie denn in die Lotterie gesetzt?,emotional movement,emotions of fear,emotional movement
1334,GerDracor/kotzebue-pagenstreiche.xml,64936,64956,"Nein, aber komm nur!",negative,emotions of suffering,fear
1335,GerDracor/kotzebue-pagenstreiche.xml,64957,64968,Wohin denn?,emotional movement,emotional movement,emotional movement
1336,GerDracor/kotzebue-pagenstreiche.xml,64969,65018,"Dort im Wirthshause finden wir, was wir brauchen.",positive,emotions of joy,joy
1337,GerDracor/kotzebue-pagenstreiche.xml,65019,65050,Essen und Trinken brauchen wir.,negative,emotions of suffering,anger
1338,GerDracor/kotzebue-pagenstreiche.xml,65051,65108,In fünf Minuten soll die Kriegslist im vollen Gange seyn.,negative,emotions of rejection,"hate, disgust"
1339,GerDracor/kotzebue-pagenstreiche.xml,65110,65173,"(ab) (ihm folgend) Ach, wenn nur erst mein Magen im Gange wäre.",negative,emotions of suffering,suffering
1340,GerDracor/kotzebue-pagenstreiche.xml,65174,65204,Baron und Hanns aus dem Hause.,negative,emotions of fear,emotional movement
1341,GerDracor/kotzebue-pagenstreiche.xml,65205,65235,Hier vor der Hausthüre war er?,emotional movement,emotional movement,emotional movement
1342,GerDracor/kotzebue-pagenstreiche.xml,65236,65239,Ja!,positive,emotions of joy,anger
1343,GerDracor/kotzebue-pagenstreiche.xml,65240,65269,Und wollte mit Gewalt herein?,negative,emotions of rejection,anger
1344,GerDracor/kotzebue-pagenstreiche.xml,65270,65286,Er bot mir Geld.,negative,emotions of rejection,friendship
1345,GerDracor/kotzebue-pagenstreiche.xml,65287,65307,Das schlugst Du aus?,negative,emotions of rejection,emotional movement
1346,GerDracor/kotzebue-pagenstreiche.xml,65308,65329,Da bot er mir Prügel.,negative,emotions of rejection,anger
1347,GerDracor/kotzebue-pagenstreiche.xml,65330,65440,"Laß Dich prügeln, lieber Hanns, laß Dich windelweich prügeln; aber keinen Fuß über
              die Schwelle!",negative,emotions of rejection,anger
1348,GerDracor/kotzebue-pagenstreiche.xml,65441,65545,"Im Nothfall, wenn er durchaus darauf besteht, so kommst Du lieber
              herunter auf die Straße.",negative,emotions of rejection,fear
1349,GerDracor/kotzebue-pagenstreiche.xml,65546,65580,Das werd' ich wohl bleiben lassen.,negative,emotions of rejection,anger
1350,GerDracor/kotzebue-pagenstreiche.xml,65581,65625,"Du hast recht, denn Du bist ein dummer Kerl.",negative,emotions of rejection,anger
1351,GerDracor/kotzebue-pagenstreiche.xml,65626,65694,"Es könnt' ihm einfallen die Thüre mit
              Dir einzurennen.",negative,emotions of rejection,anger
1352,GerDracor/kotzebue-pagenstreiche.xml,65695,65785,"Wenn er wieder kommt, so gieb mir nur einen Wink, dann steh' ich
              hinter Dir.",positive,emotions of affection,friendship
1353,GerDracor/kotzebue-pagenstreiche.xml,65786,65835,Sehr wohl; und wenn er dann wieder sagt; Du Esel!,positive,emotions of rejection,anger
1354,GerDracor/kotzebue-pagenstreiche.xml,65836,65897,"so sag' ich, der gnädige Herr steht
              hinter mir.",positive,emotions of rejection,admiration
1355,GerDracor/kotzebue-pagenstreiche.xml,65898,65961,"Tag und Nacht bleibe auf Deinem Posten, bis der Schelm abreist.",negative,emotions of rejection,anger
1356,GerDracor/kotzebue-pagenstreiche.xml,65962,65977,Auch bey Nacht?,emotional movement,emotional movement,emotional movement
1357,GerDracor/kotzebue-pagenstreiche.xml,65978,65989,Allerdings!,negative,emotions of suffering,emotional movement
1358,GerDracor/kotzebue-pagenstreiche.xml,65990,66018,Der Bube ist zu allem fähig.,negative,emotions of rejection,"hate, disgust"
1359,GerDracor/kotzebue-pagenstreiche.xml,66019,66058,"Ey, bey Nacht brauchen wir keine Wache.",negative,emotions of rejection,anger
1360,GerDracor/kotzebue-pagenstreiche.xml,66059,66174,"Da hängen ja gleich in der Unterstube die
              alten Familienbilder, die leiden nichts Unrechtes im Hause.",positive,emotions of joy,joy
1361,GerDracor/kotzebue-pagenstreiche.xml,66175,66203,Hast Du auch so was gemerkt?,emotional movement,emotions of joy,emotional movement
1362,GerDracor/kotzebue-pagenstreiche.xml,66204,66213,Freylich!,positive,emotions of joy,joy
1363,GerDracor/kotzebue-pagenstreiche.xml,66214,66304,"Ich wundre mich nur, wie der Vetter Page gleich daneben hat schlafen
              können.",negative,emotional movement,emotional movement
1364,GerDracor/kotzebue-pagenstreiche.xml,66305,66365,"Ich wollte, seine Urgroßmutter hätte ihm den Hals umgedreht.",positive,emotions of rejection,"hate, disgust"
