,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
513,GerDracor/lenz-die-soldaten.xml,37618,37630,leise herab.,negative,emotions of suffering,suffering
514,GerDracor/lenz-die-soldaten.xml,37631,37656,Sein Sie's gnädiger Herr?,positive,emotions of affection,emotional movement
515,GerDracor/lenz-die-soldaten.xml,37658,37670,Jener winkt.,negative,emotions of rejection,anger
516,GerDracor/lenz-die-soldaten.xml,37671,37699,Mary geht die Treppe hinauf.,emotional movement,emotional movement,emotional movement
517,GerDracor/lenz-die-soldaten.xml,37700,37719,Einer hustet leise.,negative,emotions of suffering,suffering
518,GerDracor/lenz-die-soldaten.xml,37720,37802,"Rammler schleicht ihm auf den
              Zehen nach, ohne daß der sich umsieht.",negative,emotions of rejection,anger
519,GerDracor/lenz-die-soldaten.xml,37803,37864,"Der Jude macht die Tür auf, beide gehen
              hinein.",negative,emotions of rejection,anger
520,GerDracor/lenz-die-soldaten.xml,37865,37920,Der Schauplatz verwandelt sich in das Zimmer des Juden.,negative,emotional movement,suffering
521,GerDracor/lenz-die-soldaten.xml,37921,37940,Es ist stockdunkel.,negative,emotions of fear,suffering
522,GerDracor/lenz-die-soldaten.xml,37941,37997,"Mary
              und Aaron flüstern sich in die Ohren.",negative,emotional movement,emotional movement
523,GerDracor/lenz-die-soldaten.xml,37998,38113,"Rammler schleicht immer von weitem herum, weicht
              aber gleich zurück sobald jene eine Bewegung machen.",negative,emotions of rejection,fear
524,GerDracor/lenz-die-soldaten.xml,38114,38133,Er ist hier drinne.,negative,emotions of suffering,suffering
525,GerDracor/lenz-die-soldaten.xml,38134,38144,O wai mer.,negative,emotions of suffering,suffering
526,GerDracor/lenz-die-soldaten.xml,38145,38366,"Still nur, er soll Euch kein Leides tun, laßt mit Euch machen was er will und wenn er
              Euch auch knebelte, in einer Minute bin ich wieder bei Euch mit der Wache, es soll ihm
              übel genug bekommen.",negative,emotions of rejection,anger
527,GerDracor/lenz-die-soldaten.xml,38367,38390,Legt Euch nur zu Bette.,negative,emotions of suffering,suffering
528,GerDracor/lenz-die-soldaten.xml,38391,38430,"Wenn er mich aber ams Leben bringt, he?",negative,emotions of joy,fear
529,GerDracor/lenz-die-soldaten.xml,38431,38485,"Seid nur ohne Sorgen, ich bin im Augenblick wieder da.",negative,emotions of joy,joy
530,GerDracor/lenz-die-soldaten.xml,38486,38537,"Er kann sonst nicht überführt
              werden.",negative,emotions of rejection,anger
531,GerDracor/lenz-die-soldaten.xml,38538,38607,"Die Wache steht hier unten schon parat, ich will sie nur hereinrufen.",negative,emotions of rejection,anger
532,GerDracor/lenz-die-soldaten.xml,38608,38646,"Legt
              Euch – Geht hinaus.",negative,emotions of suffering,emotional movement
533,GerDracor/lenz-die-soldaten.xml,38647,38675,Der Jude legt sich zu Bette.,negative,emotions of suffering,suffering
534,GerDracor/lenz-die-soldaten.xml,38676,38707,Rammler schleicht näher hin an.,negative,emotions of rejection,fear
535,GerDracor/lenz-die-soldaten.xml,38708,38730,klappt mit den Zähnen.,negative,emotions of joy,anger
536,GerDracor/lenz-die-soldaten.xml,38731,38738,Adonai!,positive,emotions of rejection,joy
537,GerDracor/lenz-die-soldaten.xml,38739,38746,Adonai!,positive,emotions of rejection,joy
538,GerDracor/lenz-die-soldaten.xml,38747,38756,vor sich.,negative,emotions of suffering,suffering
539,GerDracor/lenz-die-soldaten.xml,38757,38790,Ich glaube gar es ist eine Jüdin.,negative,emotional movement,"hate, disgust"
540,GerDracor/lenz-die-soldaten.xml,38792,38854,"Laut, indem er Marys Stimme nachzuahmen
                sucht.",emotional movement,emotional movement,emotional movement
541,GerDracor/lenz-die-soldaten.xml,38855,38868,immer leiser.,emotional movement,emotions of suffering,suffering
542,GerDracor/lenz-die-soldaten.xml,38869,38876,Adonai!,positive,emotions of rejection,joy
543,GerDracor/lenz-die-soldaten.xml,38877,38936,"Du kennst mich doch, ich bin dein Mann nicht, ich bin Mary.",positive,emotions of rejection,emotional movement
544,GerDracor/lenz-die-soldaten.xml,38938,38986,"Zieht sich Stiefel
                und Rock aus.",negative,emotions of fear,suffering
545,GerDracor/lenz-die-soldaten.xml,38987,39113,"Mary mit einem großen Gefolge Offizieren mit Laternen stürzen herein und schlagen
              ein abscheulich Gelächter auf.",negative,emotions of joy,"hate, disgust"
546,GerDracor/lenz-die-soldaten.xml,39114,39152,Der Jude richtet sich erschrocken auf.,negative,emotions of fear,fear
547,GerDracor/lenz-die-soldaten.xml,39153,39224,"Bist du toll geworden Rammler, willst du mit dem Juden Unzucht treiben?",negative,emotions of rejection,"hate, disgust"
548,GerDracor/lenz-die-soldaten.xml,39225,39250,steht wie versteinert da.,emotional movement,emotional movement,emotional movement
549,GerDracor/lenz-die-soldaten.xml,39251,39281,Endlich zieht er seinen Degen.,negative,emotions of rejection,anger
550,GerDracor/lenz-die-soldaten.xml,39282,39350,Ich will euch in Kreuz Millionen Stücken zerhauen alle mit einander.,negative,emotions of rejection,"hate, disgust"
551,GerDracor/lenz-die-soldaten.xml,39352,39390,"Läuft
                verwirrt heraus.",emotional movement,emotional movement,emotional movement
552,GerDracor/lenz-die-soldaten.xml,39391,39427,Die andern lachen nur noch rasender.,positive,emotions of joy,Schadenfreude
553,GerDracor/lenz-die-soldaten.xml,39428,39461,Ich bin wäs Gad halb tot gewesen.,negative,emotions of suffering,suffering
554,GerDracor/lenz-die-soldaten.xml,39463,39473,Steht auf.,positive,emotional movement,emotional movement
555,GerDracor/lenz-die-soldaten.xml,39474,39533,"Die andern laufen alle Rammlern nach, der Jude folgt ihnen.",negative,emotions of rejection,"hate, disgust"
556,GerDracor/lenz-die-soldaten.xml,39534,39552,Stolzius' Wohnung.,emotional movement,emotions of rejection,emotional movement
557,GerDracor/lenz-die-soldaten.xml,39553,39685,"Er sitzt mit verbundenem Kopf an einem Tisch auf dem eine Lampe brennt, einen Brief
            in der Hand, seine Mutter neben ihm.",negative,emotions of suffering,suffering
558,GerDracor/lenz-die-soldaten.xml,39686,39715,die auf einmal sich ereifert.,negative,emotions of rejection,anger
559,GerDracor/lenz-die-soldaten.xml,39716,39772,Willst du denn nicht schlafen gehen du gottloser Mensch!,negative,emotions of rejection,anger
560,GerDracor/lenz-die-soldaten.xml,39773,39821,"So red doch, so sag was dir
              fehlt.",negative,emotions of suffering,suffering
561,GerDracor/lenz-die-soldaten.xml,39822,39862,Das Luder ist deiner nicht wert gewesen.,negative,emotions of rejection,"hate, disgust"
562,GerDracor/lenz-die-soldaten.xml,39863,39943,"Was grämst du dich, was wimmerst du um
              eine solche – Soldatenhure.",negative,emotions of rejection,"hate, disgust"
563,GerDracor/lenz-die-soldaten.xml,39944,39998,mit dem äußersten Unwillen vom Tisch sich aufrichtend.,negative,emotions of rejection,anger
564,GerDracor/lenz-die-soldaten.xml,39999,40104,"Mutter – Was ist sie denn anders – du – und du auch, daß du dich an solche Menscher
              hängst.",negative,emotions of rejection,"hate, disgust"
565,GerDracor/lenz-die-soldaten.xml,40105,40126,faßt ihr beide Hände.,positive,emotions of affection,love
566,GerDracor/lenz-die-soldaten.xml,40127,40238,"Liebe Mutter, schimpft nicht auf sie, sie ist unschuldig, der Offizier hat ihr den
              Kopf verrückt.",negative,emotions of suffering,compassion
567,GerDracor/lenz-die-soldaten.xml,40239,40285,Seht einmal wie sie mir sonst geschrieben hat.,negative,emotions of rejection,anger
568,GerDracor/lenz-die-soldaten.xml,40286,40339,"Ich muß den Verstand
              verlieren darüber.",negative,emotions of rejection,despair
569,GerDracor/lenz-die-soldaten.xml,40340,40361,Solch ein gutes Herz.,positive,emotions of affection,friendship
570,GerDracor/lenz-die-soldaten.xml,40362,40396,steht auf und stampft mit dem Fuß.,negative,emotions of rejection,anger
571,GerDracor/lenz-die-soldaten.xml,40397,40457,"Solch ein Luder – Gleich zu Bett mit dir, ich befehl es dir.",negative,emotions of rejection,"hate, disgust"
572,GerDracor/lenz-die-soldaten.xml,40458,40521,"Was soll daraus werden,
              was soll da herauskommen.",emotional movement,emotional movement,fear
573,GerDracor/lenz-die-soldaten.xml,40522,40595,"Ich will dir weisen, junger Herr, daß ich deine Mutter
              bin.",positive,emotions of rejection,anger
574,GerDracor/lenz-die-soldaten.xml,40596,40621,an seine Brust schlagend.,positive,emotions of suffering,suffering
575,GerDracor/lenz-die-soldaten.xml,40622,40722,"Marianel – nein sie ist es nicht mehr, sie ist nicht dieselbige mehr –  Springt
                auf.",positive,emotional movement,emotional movement
576,GerDracor/lenz-die-soldaten.xml,40723,40729,weint.,negative,emotions of suffering,suffering
577,GerDracor/lenz-die-soldaten.xml,40730,40755,Wohin du Gottvergessener.,negative,emotions of rejection,despair
578,GerDracor/lenz-die-soldaten.xml,40756,40869,"Ich will dem Teufel der sie verkehrt hat –  Fällt kraftlos auf die Bank, beide
                Hände in die Höhe.",negative,emotions of suffering,suffering
579,GerDracor/lenz-die-soldaten.xml,40870,40875,Kalt.,negative,emotions of suffering,emotional movement
580,GerDracor/lenz-die-soldaten.xml,40876,40933,Ich glaube du phantasierst schon  Greift ihm an den Puls.,negative,emotions of suffering,emotional movement
581,GerDracor/lenz-die-soldaten.xml,40934,41070,"Endlich – endlich – – alle Tage ein Sandkorn, ein Jahr hat zehn zwanzig dreißig
              hundert –  Die Mutter will ihn fortleiten.",negative,emotional movement,joy
582,GerDracor/lenz-die-soldaten.xml,41071,41116,Komm nur komm  Ihn mit Gewalt fortschleppend.,negative,emotions of rejection,anger
583,GerDracor/lenz-die-soldaten.xml,41117,41120,Ab.,negative,emotional movement,anger
584,GerDracor/lenz-die-soldaten.xml,41121,41130,In Lille.,negative,emotional movement,suffering
585,GerDracor/lenz-die-soldaten.xml,41131,41150,Jungfer Zipfersaat.,negative,emotions of joy,emotional movement
586,GerDracor/lenz-die-soldaten.xml,41151,41180,Eine Magd aus Weseners Hause.,negative,emotional movement,suffering
587,GerDracor/lenz-die-soldaten.xml,41181,41233,"Sie ist zu Hause, aber sie läßt sich nicht sprechen?",emotional movement,emotional movement,emotional movement
588,GerDracor/lenz-die-soldaten.xml,41234,41287,"Denk doch, ist sie so vornehm
              geworden?",emotional movement,emotions of affection,emotional movement
589,GerDracor/lenz-die-soldaten.xml,41288,41337,"Sie sagt sie hat zu tun, sie liest in einem Buch.",emotional movement,emotional movement,emotional movement
590,GerDracor/lenz-die-soldaten.xml,41338,41438,"Sag Sie ihr nur, ich hätt ihr etwas zu sagen, woran ihr alles in der Welt gelegen
              ist.",negative,emotions of rejection,emotional movement
591,GerDracor/lenz-die-soldaten.xml,41439,41475,"Mariane kommt, ein Buch in der Hand.",emotional movement,emotional movement,emotional movement
592,GerDracor/lenz-die-soldaten.xml,41476,41497,Mit nachlässigem Ton.,negative,emotional movement,anger
593,GerDracor/lenz-die-soldaten.xml,41498,41530,Guten Morgen Jungfer Zipfersaat.,positive,emotions of joy,joy
594,GerDracor/lenz-die-soldaten.xml,41531,41564,Warum hat Sie sich nicht gesetzt?,emotional movement,emotional movement,emotional movement
595,GerDracor/lenz-die-soldaten.xml,41565,41645,"Ich kam Ihr nur zu sagen, daß der Baron Desportes diesen Morgen weggelaufen ist.",negative,emotions of fear,fear
