,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1684,GerDracor/lessing-der-freigeist.xml,105565,105581,Hören Sie alles!,positive,emotions of rejection,anger
1685,GerDracor/lessing-der-freigeist.xml,105582,105664,"Ich kam
              hierher, mein Ihnen gegebenes Wort wieder zurücke zu nehmen.",negative,emotions of suffering,suffering
1686,GerDracor/lessing-der-freigeist.xml,105665,105780,"Ich hatte von sicherer
              Hand, nicht vom Theophan, Umstände von Ihnen erfahren, die mich dazu nötigten.",negative,emotions of suffering,emotional movement
1687,GerDracor/lessing-der-freigeist.xml,105781,105888,"Ich
              fand ihn hier, und ich glaubte, es ihm ohne Schwierigkeit sagen zu dürfen – Dem Theophan?",emotional movement,emotional movement,anger
1688,GerDracor/lessing-der-freigeist.xml,105889,105939,Wie wird sich der Niederträchtige gekitzelt haben!,negative,emotions of rejection,"hate, disgust"
1689,GerDracor/lessing-der-freigeist.xml,105940,105950,Gekitzelt?,positive,emotional movement,emotional movement
1690,GerDracor/lessing-der-freigeist.xml,105951,106002,Er hat auf das nachdrücklichste für Sie gesprochen.,positive,emotions of affection,compassion
1691,GerDracor/lessing-der-freigeist.xml,106003,106116,"Und kurz, wenn ich
              Ihnen mein erstes Versprechen halte, so geschieht es bloß in Betrachtung seiner.",positive,emotions of affection,love
1692,GerDracor/lessing-der-freigeist.xml,106117,106139,In Betrachtung seiner?,emotional movement,emotional movement,emotional movement
1693,GerDracor/lessing-der-freigeist.xml,106140,106153,– Wo bin ich?,emotional movement,emotional movement,emotional movement
1694,GerDracor/lessing-der-freigeist.xml,106154,106265,"Er hat mir schriftliche Versicherungen gegeben, die ich als eine Bürgschaft für Sie
              ansehen kann.",positive,emotions of affection,admiration
1695,GerDracor/lessing-der-freigeist.xml,106266,106471,"Zwar hat er mir es zugleich verboten, jemanden das Geringste davon zu
              sagen: allein ich konnte es unmöglich anhören, daß ein rechtschaffener Mann so
              unschuldig verlästert würde.",negative,emotions of rejection,anger
1696,GerDracor/lessing-der-freigeist.xml,106472,106563,"Sie können die verlangte Summe bei mir abholen lassen,
              wann es Ihnen beliebt.",negative,emotions of rejection,anger
1697,GerDracor/lessing-der-freigeist.xml,106564,106655,"Nur werden Sie mir den Gefallen tun, und sich nichts gegen ihn
              merken lassen.",negative,emotions of affection,compassion
1698,GerDracor/lessing-der-freigeist.xml,106656,106848,"Er bezeugte bei dem ganzen Handel so viel Aufrichtigkeit und
              Freundschaft für Sie, daß er ein Unmensch sein müßte, wenn er die Verstellung bis
              dahin treiben könnte.",positive,emotions of affection,friendship
1699,GerDracor/lessing-der-freigeist.xml,106849,106866,– Leben sie wohl!,negative,emotions of suffering,suffering
1700,GerDracor/lessing-der-freigeist.xml,106868,106876,Geht ab.,negative,emotions of rejection,emotional movement
1701,GerDracor/lessing-der-freigeist.xml,106877,106907,– – Was für ein neuer Streich!,negative,emotions of joy,"hate, disgust"
1702,GerDracor/lessing-der-freigeist.xml,106908,106953,– Ich kann nicht wieder zu mir selbst kommen!,negative,emotional movement,emotional movement
1703,GerDracor/lessing-der-freigeist.xml,106954,106997,"– – Es
              ist nicht auszuhalten!",emotional movement,emotions of suffering,suffering
1704,GerDracor/lessing-der-freigeist.xml,106998,107168,"– Verachtungen, Beleidigungen, – Beleidigungen in dem
              Gegenstande, der ihm der liebste sein muß: – – alles ist umsonst; nichts will er
              fühlen.",negative,emotions of rejection,"hate, disgust"
1705,GerDracor/lessing-der-freigeist.xml,107169,107195,Was kann ihn so verhärten?,negative,emotions of suffering,emotional movement
1706,GerDracor/lessing-der-freigeist.xml,107196,107285,"Die Bosheit allein, die Begierde allein, seine
              Rache reif werden zu lassen.",negative,emotions of rejection,"hate, disgust"
1707,GerDracor/lessing-der-freigeist.xml,107286,107343,– – Wen sollte dieser Mann nicht hinter das Licht führen?,negative,emotions of rejection,anger
1708,GerDracor/lessing-der-freigeist.xml,107358,107394,"Ich weiß nicht, was ich denken soll.",emotional movement,emotional movement,emotional movement
1709,GerDracor/lessing-der-freigeist.xml,107395,107509,"Er dringt seine Wohltaten mit einer Art auf – –
              Aber verwünscht sind seine Wohltaten, und seine Art!",negative,emotions of rejection,"hate, disgust"
1710,GerDracor/lessing-der-freigeist.xml,107510,107632,"Und wenn auch keine Schlange
              unter diesen Blumen läge, so würde ich ihn doch nicht anders als hassen können.",negative,emotions of rejection,"hate, disgust"
1711,GerDracor/lessing-der-freigeist.xml,107633,107703,"Hassen
              werde ich ihn, und wenn er mir das Leben rettete.",negative,emotions of rejection,"hate, disgust"
1712,GerDracor/lessing-der-freigeist.xml,107704,107892,"Er hat mir das geraubt, was
              kostbarer ist, als das Leben: das Herz meiner Juliane; ein Raub, den er nicht ersetzen
              kann, und wenn er sich mir zu eigen schenkte.",negative,emotions of affection,love
1713,GerDracor/lessing-der-freigeist.xml,107893,107984,"Doch er will ihn nicht ersetzen; ich
              dichte ihm noch eine zu gute Meinung an.",positive,emotions of rejection,admiration
1714,GerDracor/lessing-der-freigeist.xml,107985,107998,– – Theophan.,negative,emotional movement,emotional movement
1715,GerDracor/lessing-der-freigeist.xml,107999,108006,Adrast.,negative,emotions of suffering,emotional movement
1716,GerDracor/lessing-der-freigeist.xml,108007,108067,"In welcher heftigen Bewegung treffe ich Sie abermal, Adrast?",negative,emotions of suffering,emotional movement
1717,GerDracor/lessing-der-freigeist.xml,108068,108085,Sie ist Ihr Werk.,positive,emotions of affection,joy
1718,GerDracor/lessing-der-freigeist.xml,108086,108247,"So muß sie eines von denen Werken sein, die wir alsdann wider unsern Willen
              hervorbringen, wann wir uns am meisten nach ihrem Gegenteile bestreben.",positive,emotions of rejection,"hate, disgust"
1719,GerDracor/lessing-der-freigeist.xml,108248,108425,"Ich wünsche
              nichts, als Sie ruhig zu sehen, damit Sie mit kaltem Blute von einer Sache mit mir
              reden könnten, die uns beide nicht näher angehen kann.",negative,emotional movement,anger
1720,GerDracor/lessing-der-freigeist.xml,108426,108447,"Nicht wahr, Theophan?",negative,emotions of joy,emotional movement
1721,GerDracor/lessing-der-freigeist.xml,108448,108563,"es ist der höchste Grad der List, wenn man alle seine Streiche
              so zu spielen weiß, daß  Ohne Zweifel.",negative,emotions of rejection,"hate, disgust"
1722,GerDracor/lessing-der-freigeist.xml,108564,108620,Wünschen Sie sich Glück: Sie haben diesen Grad erreicht.,positive,emotions of joy,joy
1723,GerDracor/lessing-der-freigeist.xml,108621,108641,Was soll das wieder?,negative,emotions of rejection,anger
1724,GerDracor/lessing-der-freigeist.xml,108642,108732,"Ich versprach Ihnen vorhin, die bewußten Wechsel zu bezahlen –
                 Spöttisch.",negative,emotions of rejection,anger
1725,GerDracor/lessing-der-freigeist.xml,108733,108750,in eben dem Tone.,negative,emotions of rejection,anger
1726,GerDracor/lessing-der-freigeist.xml,108751,108858,"Es ist wahr, ich habe sie in keiner andern Absicht zerrissen, als neue von Ihnen zu
              bekommen.",negative,emotions of rejection,anger
1727,GerDracor/lessing-der-freigeist.xml,108859,108928,"– Es mag Ihre Absicht gewesen sein, oder nicht: Sie sollen sie haben.",positive,emotions of joy,love
1728,GerDracor/lessing-der-freigeist.xml,108929,109030,"– Wollten Sie
              aber nicht etwa gern erfahren, warum ich sie nunmehr nicht bezahlen kann?",negative,emotional movement,emotional movement
1729,GerDracor/lessing-der-freigeist.xml,109031,109035,Nun?,emotional movement,emotional movement,emotional movement
1730,GerDracor/lessing-der-freigeist.xml,109036,109074,Weil ich die Bürgschaften nicht liebe.,positive,emotions of affection,love
1731,GerDracor/lessing-der-freigeist.xml,109075,109092,Die Bürgschaften?,emotional movement,emotional movement,emotional movement
1732,GerDracor/lessing-der-freigeist.xml,109093,109194,"Ja; und weil ich Ihrer Rechten nichts geben mag, was ich aus Ihrer Linken nehmen
              müßte.",positive,emotions of rejection,"hate, disgust"
1733,GerDracor/lessing-der-freigeist.xml,109195,109205,bei Seite.,negative,emotional movement,emotional movement
1734,GerDracor/lessing-der-freigeist.xml,109206,109254,Der Wechsler hat mir nicht reinen Mund gehalten!,negative,emotions of rejection,anger
1735,GerDracor/lessing-der-freigeist.xml,109255,109279,Sie verstehen mich doch?,positive,emotional movement,emotional movement
1736,GerDracor/lessing-der-freigeist.xml,109280,109318,Ich kann es nicht mit Gewißheit sagen.,emotional movement,emotions of fear,fear
1737,GerDracor/lessing-der-freigeist.xml,109319,109532,"Ich gebe mir alle Mühe, Ihnen auf keine Weise verbunden zu sein: muß es mich also
              nicht verdrießen, daß Sie mich in den Verdacht bringen, als ob ich es gleichwohl zu
              sein Ursache hätte?",negative,emotions of rejection,anger
1738,GerDracor/lessing-der-freigeist.xml,109533,109634,"Ich erstaune über Ihre Geschicklichkeit, alles auf der schlimmsten Seite zu
              betrachten.",emotional movement,emotions of rejection,emotional movement
1739,GerDracor/lessing-der-freigeist.xml,109635,109762,"Und wie Sie gehört haben, so bin ich über die Ihrige erstaunt, diese schlimme Seite
              so vortrefflich zu verbergen.",emotional movement,emotions of rejection,emotional movement
1740,GerDracor/lessing-der-freigeist.xml,109763,109842,"Noch weiß ich selbst nicht eigentlich, was ich davon
              denken soll.",emotional movement,emotional movement,emotional movement
1741,GerDracor/lessing-der-freigeist.xml,109843,109895,Weil Sie das Natürlichste davon nicht denken wollen.,negative,emotions of rejection,love
1742,GerDracor/lessing-der-freigeist.xml,109896,109977,"Dieses Natürlichste, meinen Sie vielleicht, wäre das,  Sie haben doch wohl Recht.",positive,emotions of joy,anger
1743,GerDracor/lessing-der-freigeist.xml,109978,110104,"Denn wie wäre es immer möglich, daß ein Mann von meinem
              Stande nur halb so menschliche Gesinnungen haben könnte?",positive,emotions of rejection,admiration
1744,GerDracor/lessing-der-freigeist.xml,110105,110156,Lassen Sie uns Ihren Stand einmal bei Seite setzen.,emotional movement,emotional movement,emotional movement
