,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
202,GerDracor/lessing-die-juden.xml,14160,14199,Der Termin ist sehr liebreich bestimmt.,positive,emotions of affection,joy
203,GerDracor/lessing-die-juden.xml,14200,14311,"Alsdann wollten Sie mir, mitten im Winter, die
            Türe weisen; und bei dem unbequemsten Wetter – – Ei!",emotional movement,emotions of rejection,anger
204,GerDracor/lessing-die-juden.xml,14312,14325,wer sagt das?,negative,emotions of rejection,anger
205,GerDracor/lessing-die-juden.xml,14326,14433,"Ich sage nur, daß Sie alsdann, des Wohlstands halber, etwa einmal an
            die Abreise denken können.",negative,emotions of rejection,joy
206,GerDracor/lessing-die-juden.xml,14434,14559,"Wir werden Sie deswegen nicht fort lassen; wir wollen Sie
            schon bitten – – Vielleicht auch des Wohlstands halber?",negative,emotions of rejection,anger
207,GerDracor/lessing-die-juden.xml,14560,14563,Ei!,emotional movement,emotional movement,emotional movement
208,GerDracor/lessing-die-juden.xml,14564,14645,"seht, man sollte nicht glauben, daß ein so ehrliches Gesicht auch spotten könnte.",positive,emotions of rejection,anger
209,GerDracor/lessing-die-juden.xml,14646,14665,"–
            – Ah!",positive,emotions of joy,joy
210,GerDracor/lessing-die-juden.xml,14666,14684,da kömmt der Papa.,negative,emotional movement,joy
211,GerDracor/lessing-die-juden.xml,14685,14698,Ich muß fort!,negative,emotions of rejection,anger
212,GerDracor/lessing-die-juden.xml,14699,14761,"Sagen Sie ja nicht, daß ich bei Ihnen gewesen
            bin.",positive,emotions of rejection,anger
213,GerDracor/lessing-die-juden.xml,14762,14828,"Er wirft mir so oft genug vor, daß ich gern um Mannspersonen wäre.",negative,emotions of rejection,anger
214,GerDracor/lessing-die-juden.xml,14829,14839,Der Baron.,negative,emotional movement,admiration
215,GerDracor/lessing-die-juden.xml,14840,14853,Der Reisende.,negative,emotional movement,emotional movement
216,GerDracor/lessing-die-juden.xml,14854,14888,War nicht meine Tochter bei Ihnen?,emotional movement,emotional movement,emotional movement
217,GerDracor/lessing-die-juden.xml,14889,14921,Warum läuft denn das wilde Ding?,emotional movement,emotional movement,emotional movement
218,GerDracor/lessing-die-juden.xml,14922,14995,"Das Glück ist unschätzbar, eine so angenehme und muntre Tochter zu haben.",positive,emotions of joy,joy
219,GerDracor/lessing-die-juden.xml,14996,15129,"Sie bezaubert
            durch ihre Reden, in welchen die liebenswürdigste Unschuld, der ungekünsteltste Witz
            herrschet.",positive,emotions of affection,admiration
220,GerDracor/lessing-die-juden.xml,15130,15160,Sie urteilen zu gütig von ihr.,positive,emotions of affection,admiration
221,GerDracor/lessing-die-juden.xml,15161,15397,"Sie ist wenig unter ihres gleichen gewesen, und besitzt
            die Kunst zu gefallen, die man schwerlich auf dem Lande erlernen kann, und die doch oft
            mehr, als die Schönheit selbst vermag, in einem sehr geringen Grade.",positive,emotions of affection,admiration
222,GerDracor/lessing-die-juden.xml,15398,15466,"Es ist alles bei
            ihr noch die sich selbst gelaßne Natur.",positive,emotions of joy,love
223,GerDracor/lessing-die-juden.xml,15467,15544,"Und diese ist desto einnehmender, je weniger man sie in den Städten antrifft.",positive,emotions of affection,love
224,GerDracor/lessing-die-juden.xml,15545,15603,"Alles ist
            da verstellt, gezwungen und erlernt.",negative,emotions of suffering,suffering
225,GerDracor/lessing-die-juden.xml,15604,15733,"Ja, man ist schon so weit darin gekommen, daß man
            Dummheit, Grobheit und Natur für gleichviel bedeutende Wörter hält.",negative,emotions of rejection,"hate, disgust"
226,GerDracor/lessing-die-juden.xml,15734,15850,"Was könnte mir angenehmer sein, als daß ich sehe, wie unsre Gedanken und Urteile so
            sehr übereinstimmen?",positive,emotions of joy,joy
227,GerDracor/lessing-die-juden.xml,15851,15853,O!,emotional movement,emotions of suffering,emotional movement
228,GerDracor/lessing-die-juden.xml,15854,15927,"daß ich nicht längst einen Freund Ihres gleichen gehabt
            habe!",positive,emotions of affection,friendship
229,GerDracor/lessing-die-juden.xml,15928,15976,Sie werden ungerecht gegen Ihre übrigen Freunde.,negative,emotions of rejection,anger
230,GerDracor/lessing-die-juden.xml,15977,16016,"Gegen meine übrigen Freunde, sagen Sie?",positive,emotions of affection,friendship
231,GerDracor/lessing-die-juden.xml,16017,16109,"Ich bin fünfzig Jahr alt; – – Bekannte habe ich
            gehabt, aber noch keinen Freund.",positive,emotions of affection,suffering
232,GerDracor/lessing-die-juden.xml,16110,16244,"Und niemals ist mir die Freundschaft so reizend
            vorgekommen, als seit den wenigen Stunden, da ich nach der Ihrigen strebe.",positive,emotions of affection,friendship
233,GerDracor/lessing-die-juden.xml,16245,16288,"Wodurch kann
            ich sie verdienen?",emotional movement,emotions of rejection,emotional movement
234,GerDracor/lessing-die-juden.xml,16289,16417,"Meine Freundschaft bedeutet so wenig, daß das bloße Verlangen darnach ein genugsames
            Verdienst ist, sie zu erhalten.",positive,emotions of affection,friendship
235,GerDracor/lessing-die-juden.xml,16418,16485,"Ihre Bitte ist weit mehr wert, als das, was Sie
            bitten.",positive,emotions of affection,emotional movement
236,GerDracor/lessing-die-juden.xml,16486,16579,"O, mein Herr, die Freundschaft eines Wohltäters – – Erlauben Sie, – – ist keine Freundschaft.",negative,emotions of rejection,friendship
237,GerDracor/lessing-die-juden.xml,16580,16682,"Wenn Sie mich unter dieser falschen Gestalt
            betrachten, so kann ich Ihr Freund nicht sein.",negative,emotions of rejection,friendship
238,GerDracor/lessing-die-juden.xml,16683,16859,"Gesetzt einen Augenblick, ich wäre Ihr
            Wohltäter: würde ich nicht zu befürchten haben, daß Ihre Freundschaft nichts, als eine
            wirksame Dankbarkeit wäre?",positive,emotions of fear,friendship
239,GerDracor/lessing-die-juden.xml,16860,16902,Sollte sich beides nicht verbinden lassen?,emotional movement,emotional movement,emotional movement
240,GerDracor/lessing-die-juden.xml,16903,16915,Sehr schwer!,negative,emotions of suffering,suffering
