,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
2022,GerDracor/quistorp-der-hypochondrist.xml,103675,103684,Heinrich!,emotional movement,emotional movement,emotional movement
2023,GerDracor/quistorp-der-hypochondrist.xml,103685,103711,kommt Ihr denn noch nicht?,emotional movement,emotional movement,suffering
2024,GerDracor/quistorp-der-hypochondrist.xml,103712,103770,"Der Mensch kann einen recht in Ängsten
            lassen!",negative,emotions of fear,fear
2025,GerDracor/quistorp-der-hypochondrist.xml,103771,103810,O Himmel ...  Er läuft ängstlich herum.,negative,emotions of fear,fear
2026,GerDracor/quistorp-der-hypochondrist.xml,103811,103826,Ernst Gotthart.,emotional movement,emotional movement,emotional movement
2027,GerDracor/quistorp-der-hypochondrist.xml,103827,103852,Heinrich mit einem Buche.,positive,emotional movement,suffering
2028,GerDracor/quistorp-der-hypochondrist.xml,103853,103875,"Nun, kommt Ihr einmal?",positive,emotions of joy,joy
2029,GerDracor/quistorp-der-hypochondrist.xml,103876,103889,Böser Mensch!,negative,emotions of rejection,anger
2030,GerDracor/quistorp-der-hypochondrist.xml,103890,103932,kommt her geschwinde und kleidet mich aus!,emotional movement,emotions of suffering,fear
2031,GerDracor/quistorp-der-hypochondrist.xml,103933,103956,"O
              Himmel!",negative,emotions of suffering,fear
2032,GerDracor/quistorp-der-hypochondrist.xml,103957,103976,wie ist mir zumute!,negative,emotional movement,emotional movement
2033,GerDracor/quistorp-der-hypochondrist.xml,103977,104002,"Nun, da sehen Sie einmal!",positive,emotions of joy,joy
2034,GerDracor/quistorp-der-hypochondrist.xml,104003,104037,So machen es die Herren Gelehrten.,negative,emotions of rejection,anger
2035,GerDracor/quistorp-der-hypochondrist.xml,104038,104175,"Sie kaufen sich ganze
              Stuben voller Bücher und lesen doch ihr Leben lang nicht den sechsten Teil davon
              durch.",negative,emotions of suffering,joy
2036,GerDracor/quistorp-der-hypochondrist.xml,104176,104283,"Ich wollte wohl drauf schwören, daß Sie nicht einmal wissen, ob dies Ihr Buch
              ist oder nicht?",negative,emotions of rejection,anger
2037,GerDracor/quistorp-der-hypochondrist.xml,104284,104299,"Ei, Bücher hin!",emotional movement,emotional movement,emotional movement
2038,GerDracor/quistorp-der-hypochondrist.xml,104300,104311,Bücher her!,negative,emotions of rejection,emotional movement
2039,GerDracor/quistorp-der-hypochondrist.xml,104312,104354,"Macht nur, daß ich Luft bekomme, Heinrich!",negative,emotions of rejection,anger
2040,GerDracor/quistorp-der-hypochondrist.xml,104355,104359,Wie?,emotional movement,emotional movement,emotional movement
2041,GerDracor/quistorp-der-hypochondrist.xml,104360,104389,Ist's schon wieder unrichtig?,emotional movement,emotional movement,emotional movement
2042,GerDracor/quistorp-der-hypochondrist.xml,104390,104417,nun es eben zum Essen geht?,negative,emotions of rejection,anger
2043,GerDracor/quistorp-der-hypochondrist.xml,104418,104464,"Ich glaube wahrhaftig,
              Ihr  Ach!",negative,emotions of suffering,suffering
2044,GerDracor/quistorp-der-hypochondrist.xml,104465,104516,"so arg ist es noch nie gewesen, als es diesmal ist!",negative,emotions of suffering,suffering
2045,GerDracor/quistorp-der-hypochondrist.xml,104517,104540,"Ja, so sagen Sie immer!",positive,emotions of affection,anger
2046,GerDracor/quistorp-der-hypochondrist.xml,104541,104574,Aber was ist's denn schon wieder?,emotional movement,emotional movement,emotional movement
2047,GerDracor/quistorp-der-hypochondrist.xml,104575,104579,Ach!,negative,emotions of suffering,suffering
2048,GerDracor/quistorp-der-hypochondrist.xml,104580,104597,was wird es sein?,negative,emotional movement,emotional movement
