,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
858,GerDracor/raimund-die-gefesselte-phantasie.xml,44490,44517,Die Torflügel springen auf.,emotional movement,emotional movement,emotional movement
859,GerDracor/raimund-die-gefesselte-phantasie.xml,44518,44542,Arrogantia tritt hervor.,negative,emotions of rejection,"hate, disgust"
860,GerDracor/raimund-die-gefesselte-phantasie.xml,44543,44550,Vorige.,positive,emotions of rejection,emotional movement
861,GerDracor/raimund-die-gefesselte-phantasie.xml,44551,44580,"Wer wagt es, anzupochen hier?",negative,emotions of rejection,fear
862,GerDracor/raimund-die-gefesselte-phantasie.xml,44581,44595,So ists recht.,positive,emotions of joy,joy
863,GerDracor/raimund-die-gefesselte-phantasie.xml,44596,44680,"Eine war nicht gnug zu meiner Qual, die Fortsetzung kommt auch
              heraus.",negative,emotions of suffering,suffering
864,GerDracor/raimund-die-gefesselte-phantasie.xml,44681,44731,"Was willst du, Übergang vom Affen zu den Menschen?",emotional movement,emotional movement,emotional movement
865,GerDracor/raimund-die-gefesselte-phantasie.xml,44732,44831,"Da haben wirs, ich habs ja gwußt, der zweite Teil ist immer schlechter als der
              erste.",negative,emotions of rejection,"hate, disgust"
866,GerDracor/raimund-die-gefesselte-phantasie.xml,44832,44936,"Wie kannst du den beschimpfen, den mein Blick aus Millionen sich zum Werkzeug hat
              erkoren?",negative,emotions of rejection,"hate, disgust"
867,GerDracor/raimund-die-gefesselte-phantasie.xml,44937,45046,"Just mich hat s' erwischt, das ist ein solches Glück, als wenn der zehnte Mann
              erschossen wird.",positive,emotions of joy,joy
868,GerDracor/raimund-die-gefesselte-phantasie.xml,45047,45125,"Hier stell ich dir den Helden dieses Tags, den künft'gen Schach der Insel vor.",positive,emotions of joy,joy
869,GerDracor/raimund-die-gefesselte-phantasie.xml,45126,45157,Welch eine herrliche Karikatur!,positive,emotions of joy,joy
870,GerDracor/raimund-die-gefesselte-phantasie.xml,45158,45247,"Hahaha, Freund, du bist die schönste Mißgestalt, die
              ich erblickt noch hab.",positive,emotions of rejection,"hate, disgust"
