,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
493,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,32917,33013,"Doch das geht nicht so leicht, er wird fragen, wo wir die schönen
              Möbel her haben.",emotional movement,emotional movement,anger
494,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33014,33049,Dann wird ihm die Fackel auffallen.,negative,emotions of fear,anger
495,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33050,33056,Still!,negative,emotional movement,emotional movement
496,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33057,33074,klopft von außen.,negative,emotional movement,emotional movement
497,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33075,33089,Nu aufgemacht.,positive,emotional movement,emotional movement
498,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33090,33121,"Ich weiß, daß wer zu Hause ist.",negative,emotions of rejection,anger
499,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33122,33137,"Gleich, gleich.",emotional movement,emotional movement,emotional movement
500,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33139,33148,Heimlich.,negative,emotions of rejection,emotional movement
501,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33149,33156,ebenso.,negative,emotions of suffering,anger
502,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33157,33261,"Geben Sie mich für einen Engländer aus, dem die Möbel gehören und der für Sie zahlen
              will.",negative,emotions of rejection,"hate, disgust"
503,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33262,33310,"Ich schlage die Tür ein, wenn Er nicht aufmacht.",negative,emotions of rejection,anger
504,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33311,33352,"Richtig, fangen Sie nur zum möblieren an.",negative,emotions of rejection,anger
505,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33354,33359,Ruft.,emotional movement,emotional movement,emotional movement
506,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33360,33390,"Warten, du verdammter Bursche?",negative,emotions of rejection,anger
507,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33391,33438,"Wart du auf meinen Stock, wenn ich hineinkomme.",negative,emotions of rejection,anger
508,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33440,33451,erschrickt.,emotional movement,emotions of fear,fear
509,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33452,33475,Mich trifft der Schlag!,negative,emotions of suffering,suffering
510,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33476,33514,Das wird doch ein schöner Betrug sein.,negative,emotions of rejection,anger
511,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33515,33580,"Ich glücklicher
              Mensch, das ghört alles nicht mein.",negative,emotions of joy,joy
512,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33581,33714,"steckt die Fackel in die Kulisse, wo der Schreibtisch steht, setzt sich schnell
              dazu und stützt das Haupt auf die Hand.",negative,emotional movement,suffering
513,GerDracor/raimund-die-unheilbringende-zauberkrone.xml,33715,33730,Nun öffnen Sie!,positive,emotions of joy,emotional movement
