,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
185,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,14703,14844,"Was für 'ne marmorweiße Brust, Ein Sammelplaz von Lieb und Lust, Die Amors spielen drauf blinde Kuh Und reiten drauf 'rum auf Stekkenpferden.",positive,emotions of joy,joy
186,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,14845,14908,"O Du Marzipangeschöpfe Du, Möchte vor Liebe des Teufels werden.",positive,emotions of affection,love
187,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,14909,14946,O daß ich nur den Mund dürfte küssen!,positive,emotions of affection,love
188,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,14947,14978,Würde in Seeligkeit zerfließen.,positive,emotions of suffering,suffering
189,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,14979,15000,Wer wehrt Dir's denn?,negative,emotions of rejection,compassion
190,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15001,15020,Kannst'n ja küssen.,positive,emotions of affection,love
191,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15021,15026,küßt.,positive,emotions of affection,admiration
192,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15027,15060,Weib hast 'nen Mund von Marzipan.,negative,emotions of rejection,"hate, disgust"
193,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15061,15101,"Wo kömmst Du denn her, mein lieber Mann?",emotional movement,emotional movement,emotional movement
194,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15102,15137,"Komm von Berlin, meine gnädge Dame.",positive,emotions of suffering,joy
195,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15138,15177,"War da auf'm Theater, war sehr bekannt.",positive,emotions of affection,joy
196,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15178,15261,Haben Sie schon gehört von dem neuen Duodrame  Thut einen ganz herrlich divertiren.,positive,emotions of joy,joy
197,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15262,15361,"Gefällt es, gnädge Dame, Euch So können wir beide jezt sogleich Das berühmte Stük selbst aufführen.",positive,emotions of joy,joy
198,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15362,15408,"Wie machen wir denn das, liebs Schäzchen mein?",positive,emotional movement,emotional movement
199,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15409,15525,"Legen sich Euer Gnaden nur ins Bette hinein, So wird's sogleich zu Stande seyn – Doch muß ich mich legen mit hinein.",negative,emotions of suffering,emotional movement
200,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15526,15564,Will sogleich zu Deinen Diensten seyn.,positive,emotions of affection,friendship
201,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15565,15611,Legen sich zu Bett und führen das Duodram auf.,negative,emotions of suffering,suffering
202,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15612,15642,Stoffel Knips und die Vorigen.,emotional movement,emotions of rejection,anger
203,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15643,15659,Ein Schwerenoth!,negative,emotions of suffering,suffering
204,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15660,15709,was seh ich da Der Narr mit meiner Frau im Bette?,negative,emotions of rejection,emotional movement
205,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15710,15746,"Ha, Ihr Lumpenpak, was macht Ihr da?",negative,emotions of rejection,anger
206,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15747,15779,springt ohne Hosen aus dem Bett.,negative,emotional movement,emotional movement
207,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15780,15939,"Erzähl' ihr nur von 'ner Kommödia, In der ich erst neulich bin gewest, Es ist aus einem Duodram, In dem  Seine liebe  Und ihr den jungfräulichen Gürtel ablöst.",positive,emotions of affection,love
208,GerDracor/schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat.xml,15940,16014,"Ich will Dir jezt den Gürtel ablösen, Will Dich lehren schänden mein Haus.",negative,emotions of rejection,"hate, disgust"
