,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
706,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37189,37210,Nikolo und Albert ab.,negative,emotional movement,suffering
707,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37211,37248,"Bast, Constanzia, Clärchen und Trübe.",emotional movement,emotions of suffering,suffering
708,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37249,37268,von der Hauptthüre.,negative,emotions of fear,suffering
709,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37269,37297,Nun Freund der Wagen wartet.,negative,emotions of fear,emotional movement
710,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37298,37306,traurig.,negative,emotions of suffering,suffering
711,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37307,37332,So muß ich also scheiden.,negative,emotions of suffering,suffering
712,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37333,37347,Zu Constanzen.,positive,emotions of rejection,emotional movement
713,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37348,37370,Nun Kind so lebe wohl.,negative,emotions of suffering,suffering
714,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37371,37393,sich traurig stellend.,negative,emotions of suffering,suffering
715,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37394,37418,Ich muß Sie also meiden?,negative,emotions of rejection,anger
716,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37419,37445,Wer tröstet mich nun wohl!,negative,emotions of suffering,compassion
717,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37446,37525,Ich werde bey Dir bleiben Und Dir die Zeit vertreiben; Er kommt ja bald zurück.,positive,emotions of joy,Schadenfreude
718,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37526,37609,Nein einsam will ich bleiben Und mir die Zeit vertreiben Mit meinem künftgen Glück.,positive,emotions of joy,suffering
719,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37610,37622,zu einander.,positive,emotions of suffering,love
720,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37623,37743,Freund wer wird das wohl glauben Nichts kann Ihr Herz mir rauben Nichts kann Ihr Herz Dir rauben Sie liebt zu Engelrein.,positive,emotions of affection,love
721,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37744,37867,"zu einander, indem die erste sich stellt, als ob sie weinte und die andre sie
              tröstete; aber heimlich lachen.",positive,emotions of joy,suffering
722,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37868,37973,O wär' Er nur schon ferne Ich möchte gar zu / Sie möchten doch wohl gerne Bey meinem / Ihrem Albert seyn.,positive,emotions of affection,love
723,GerDracor/stephanie-die-liebe-im-narrenhause.xml,37974,38003,traurig ihr die Hand küssend.,negative,emotions of suffering,suffering
724,GerDracor/stephanie-die-liebe-im-narrenhause.xml,38004,38013,Nun Kind!,negative,emotions of suffering,fear
725,GerDracor/stephanie-die-liebe-im-narrenhause.xml,38014,38029,auf Wiedersehn!,positive,emotions of affection,joy
