,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
335,GerDracor/tieck-die-theegesellschaft.xml,22356,22384,"O ja, das schlag ich nie ab.",positive,emotions of affection,joy
336,GerDracor/tieck-die-theegesellschaft.xml,22386,22454,"Setzt sich auf der andern Seite neben Julien am
              Tisch.",positive,emotional movement,suffering
337,GerDracor/tieck-die-theegesellschaft.xml,22455,22491,Kömmt die Frau Geheime Räthin nicht?,negative,emotional movement,emotional movement
338,GerDracor/tieck-die-theegesellschaft.xml,22492,22573,"Sie ist unpaß; sie hat immer ihre Streiche im Kopf, von Migraine und dergleichen.",negative,emotions of rejection,emotional movement
339,GerDracor/tieck-die-theegesellschaft.xml,22574,22602,"–
               Zu Ahlfeld.",negative,emotional movement,emotional movement
340,GerDracor/tieck-die-theegesellschaft.xml,22603,22629,"Passabel, es muß gut sein.",negative,emotions of rejection,admiration
341,GerDracor/tieck-die-theegesellschaft.xml,22630,22649,Ist das Butterbrod?,emotional movement,emotional movement,emotional movement
342,GerDracor/tieck-die-theegesellschaft.xml,22650,22716,"präsentirt es; er nimmt mehrere Stücke, und legt sie vor sich hin.",positive,emotions of joy,joy
343,GerDracor/tieck-die-theegesellschaft.xml,22717,22756,"Gehorsamster Diener, Herr Geheime Rath!",positive,emotions of affection,admiration
344,GerDracor/tieck-die-theegesellschaft.xml,22757,22764,essend.,negative,emotions of suffering,suffering
345,GerDracor/tieck-die-theegesellschaft.xml,22765,22768,Ah!,positive,emotional movement,emotional movement
346,GerDracor/tieck-die-theegesellschaft.xml,22769,22778,– Diener!,negative,emotions of affection,admiration
347,GerDracor/tieck-die-theegesellschaft.xml,22779,22786,Diener!,negative,emotions of affection,admiration
348,GerDracor/tieck-die-theegesellschaft.xml,22787,22796,– Munter?,positive,emotions of joy,emotional movement
349,GerDracor/tieck-die-theegesellschaft.xml,22797,22818,setzt sich neben ihn.,positive,emotional movement,emotional movement
350,GerDracor/tieck-die-theegesellschaft.xml,22819,22831,Aufzuwarten.,emotional movement,emotional movement,emotional movement
351,GerDracor/tieck-die-theegesellschaft.xml,22832,22929,"– Haben der Herr Geheime Rath schon die Akten, in denen ich arbeiten
            mußte, erhalten?",negative,emotional movement,emotional movement
352,GerDracor/tieck-die-theegesellschaft.xml,22930,22936,Akten?,emotional movement,emotional movement,emotional movement
353,GerDracor/tieck-die-theegesellschaft.xml,22937,22942,– Ah!,positive,emotional movement,joy
354,GerDracor/tieck-die-theegesellschaft.xml,22943,23005,"das ist in dem Ehescheidungsprozeß, – ja, – habe sie erhalten.",negative,emotions of joy,suffering
355,GerDracor/tieck-die-theegesellschaft.xml,23006,23054,"– Das ist
            eine närrische Geschichte.",negative,emotional movement,"hate, disgust"
356,GerDracor/tieck-die-theegesellschaft.xml,23055,23103,"– Hören Sie doch 'mal, wie ist denn der Umstand.",emotional movement,emotional movement,emotional movement
357,GerDracor/tieck-die-theegesellschaft.xml,23104,23147,"–  Er
              redet leise mit Berger.",negative,emotional movement,emotional movement
358,GerDracor/tieck-die-theegesellschaft.xml,23148,23196,"Herr Baron, wie finden Sie heut Juliens Aufsatz?",emotional movement,emotional movement,joy
359,GerDracor/tieck-die-theegesellschaft.xml,23197,23207,Excellent!,positive,emotions of joy,joy
360,GerDracor/tieck-die-theegesellschaft.xml,23208,23222,Ganz charmant!,positive,emotions of affection,joy
361,GerDracor/tieck-die-theegesellschaft.xml,23223,23256,Man kann nichts reizenderes sehn!,positive,emotions of affection,joy
362,GerDracor/tieck-die-theegesellschaft.xml,23257,23264,Vorige.,positive,emotions of rejection,emotional movement
363,GerDracor/tieck-die-theegesellschaft.xml,23265,23274,Rothmann.,emotional movement,emotions of rejection,emotional movement
364,GerDracor/tieck-die-theegesellschaft.xml,23275,23367,"tritt sehr verlegen herein, grüßt, läßt den Hut fallen, kneift die
            Augenbraunen.",negative,emotional movement,emotional movement
365,GerDracor/tieck-die-theegesellschaft.xml,23368,23398,"Ergebenster, – Sie haben – Ah!",positive,emotions of joy,admiration
366,GerDracor/tieck-die-theegesellschaft.xml,23399,23422,"sieh da, Herr Rothmann!",positive,emotions of joy,joy
367,GerDracor/tieck-die-theegesellschaft.xml,23423,23462,"– Nur näher, Herr Gelehrter, nur näher!",negative,emotional movement,emotional movement
368,GerDracor/tieck-die-theegesellschaft.xml,23463,23510,Ich bitte –  Er stellt sich hinter einen Stuhl.,emotional movement,emotional movement,emotional movement
369,GerDracor/tieck-die-theegesellschaft.xml,23511,23548,"Ist's nicht gefällig, sich zu setzen?",positive,emotional movement,anger
370,GerDracor/tieck-die-theegesellschaft.xml,23549,23578,Ich bitte recht sehr – lacht.,positive,emotions of joy,joy
371,GerDracor/tieck-die-theegesellschaft.xml,23579,23590,"Ha, ha, ha!",positive,emotions of joy,joy
372,GerDracor/tieck-die-theegesellschaft.xml,23591,23636,"– Ja da haben Sie Recht, das ist sehr kurios!",emotional movement,emotions of joy,emotional movement
373,GerDracor/tieck-die-theegesellschaft.xml,23637,23684,"– Aber was sagt denn der
            Gegenpart?",emotional movement,emotional movement,emotional movement
374,GerDracor/tieck-die-theegesellschaft.xml,23685,23711,"Na, lassen Sie 'mal hören.",negative,emotions of rejection,joy
375,GerDracor/tieck-die-theegesellschaft.xml,23713,23757,"Spricht wieder leise mit
            Berger.",negative,emotional movement,suffering
376,GerDracor/tieck-die-theegesellschaft.xml,23758,23776,Legen Sie doch ab.,negative,emotions of suffering,suffering
377,GerDracor/tieck-die-theegesellschaft.xml,23778,23875,"Er will Rothmann den Hut abnehmen; beide laufen nach der
              andern Seite des Theaters.",negative,emotions of rejection,anger
378,GerDracor/tieck-die-theegesellschaft.xml,23876,23922,"Ihnen gehorsamst aufzuwarten, – hier sind sie.",positive,emotions of affection,admiration
379,GerDracor/tieck-die-theegesellschaft.xml,23924,23938,Giebt sie ihm.,positive,emotions of joy,love
380,GerDracor/tieck-die-theegesellschaft.xml,23939,24035,"Sie müssen's mir einigemal vorrecitiren oder declamiren, daß sie mir bekannt
            werden.",negative,emotions of rejection,anger
381,GerDracor/tieck-die-theegesellschaft.xml,24036,24062,Sie haben nur zu befehlen.,negative,emotions of rejection,admiration
382,GerDracor/tieck-die-theegesellschaft.xml,24063,24098,"Nun, es findet sich wohl eine Zeit.",negative,emotions of joy,suffering
383,GerDracor/tieck-die-theegesellschaft.xml,24099,24122,– Es soll schon werden.,positive,emotions of joy,joy
384,GerDracor/tieck-die-theegesellschaft.xml,24123,24140,Trinken Sie Thee?,positive,emotional movement,emotional movement
385,GerDracor/tieck-die-theegesellschaft.xml,24141,24190,Ich danke gehorsamst – Machen Sie keine Umstände.,positive,emotions of affection,joy
386,GerDracor/tieck-die-theegesellschaft.xml,24191,24245,"Nun, wenn ich also bitten darf – Julie präsentirt ihm.",positive,emotions of joy,emotional movement
