,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1026,TextGrid/-Der_niederlaendische_Bauer.xml,86778,86824,Wer Sünde thut / der soll auch Straffe leiden.,negative,emotions of suffering,anger
1027,TextGrid/-Der_niederlaendische_Bauer.xml,86825,86891,Er henge mich dort hin / Die Jungfer soll den Strick zerschneiden.,negative,emotions of rejection,"hate, disgust"
1028,TextGrid/-Der_niederlaendische_Bauer.xml,86892,86971,Wer sich im Leben / Mit Narren behängt / Dieser wird eben Mit Qvarge besprengt.,negative,emotions of rejection,"hate, disgust"
1029,TextGrid/-Der_niederlaendische_Bauer.xml,86972,87010,So will ich wissen wer das Jawort gab.,negative,emotions of joy,anger
1030,TextGrid/-Der_niederlaendische_Bauer.xml,87011,87080,Hier steht der Mann / Der legt die Schuldigkeit mit wahren Worten ab.,positive,emotions of rejection,anger
1031,TextGrid/-Der_niederlaendische_Bauer.xml,87081,87187,Ach seelig soll der seyn / ihr Nymfen kommt heran / Das ist ein Haupt / Dadurch die Wohlfarth wachsen kan.,positive,emotions of joy,joy
1032,TextGrid/-Der_niederlaendische_Bauer.xml,87188,87297,Ihr beyde lebt vergnügt / und wenn ihr künfftig blüht / So denckt / daß GOtt und Welt die Freude gerne sieht.,positive,emotions of joy,joy
1033,TextGrid/-Der_niederlaendische_Bauer.xml,87342,87350,Geht ab.,negative,emotions of rejection,emotional movement
1034,TextGrid/-Der_niederlaendische_Bauer.xml,87351,87506,"Ich komme noch davon / doch weil die Liebe blüht / So bin ich so ein Narr / der lieber Schaden sieht / 
                                           Geht ab.",negative,emotions of rejection,"hate, disgust"
1035,TextGrid/-Der_niederlaendische_Bauer.xml,87548,87569,"Amandus, der Liebste.",positive,emotions of affection,love
1036,TextGrid/-Der_niederlaendische_Bauer.xml,87570,87595,"Burgundia, die Princeßin.",negative,emotional movement,admiration
1037,TextGrid/-Der_niederlaendische_Bauer.xml,87596,87620,Find ich mein Eigenthum?,emotional movement,emotions of joy,emotional movement
1038,TextGrid/-Der_niederlaendische_Bauer.xml,87621,87649,Und find ich mein Verlangen?,negative,emotions of affection,emotional movement
