,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
182,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,15854,15897,Schlampampe mit einem Pack Damaske in Arme.,negative,emotions of rejection,"hate, disgust"
183,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,15899,15981,"Nun, so wahr ich eine ehrliche Frau bin, das ist vor hundert und zehen Taler Ware.",positive,emotions of rejection,admiration
184,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,15982,16133,"Hätte ich's den Rabenäsern nicht gekauft, so wahr ich eine ehrliche Frau bin, sie hätten mich aus den Hause gejagt, was hätte ich denn wollen anfangen?",negative,emotional movement,anger
185,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16134,16213,"Ja es glaubt mir's auch kein Mensche, was ich von meinen Kindern ausstehen muß.",negative,emotions of rejection,"hate, disgust"
186,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16214,16226,Was macht's?,emotional movement,emotional movement,emotional movement
187,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16227,16340,"Wie ich vor gesagt habe: die Rabenäser wissen, daß sie ihr gut Auskommen haben, drum geben sie mir kein gut Wort.",negative,emotions of rejection,anger
188,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16342,16348,Rufet.,emotional movement,emotional movement,emotional movement
189,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16390,16407,hinter der Szene.,emotional movement,emotional movement,emotional movement
190,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16409,16426,Frau Schlampampe?,negative,emotions of rejection,anger
191,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16428,16437,Komm her.,negative,emotions of rejection,emotional movement
192,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16476,16497,Ursille kommt heraus.,emotional movement,emotional movement,emotional movement
193,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16499,16517,Was will Sie denn?,emotional movement,emotional movement,emotional movement
194,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16519,16544,Wo sind denn die Mädchen?,emotional movement,emotional movement,emotional movement
195,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16546,16640,"Sie sind drin in der Stube, und ich weiß nicht, wer Charlotten muß was getan haben, sie weint.",negative,emotions of suffering,suffering
196,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16642,16714,Die Rabenäser werden sich gewiß einmal wieder miteinander gezankt haben.,negative,emotions of rejection,anger
197,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16716,16751,"Nein, sie haben sich nicht gezankt.",negative,emotions of rejection,anger
198,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16753,16777,Rufe sie geschwinde her.,emotional movement,emotions of rejection,anger
199,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16779,16797,Clärchen auch mit?,positive,emotional movement,emotional movement
200,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16799,16808,Freilich.,negative,emotions of rejection,anger
201,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16809,16866,Da habe ich nun den Rabenäsern zu neuen Kleidern geholet.,positive,emotions of joy,Schadenfreude
202,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16868,16883,"Ach, ihr Leute!",negative,emotions of rejection,suffering
203,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16884,16903,Das ist schön Zeug.,positive,emotions of joy,joy
204,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16905,16926,Es kostet auch genug.,negative,emotions of suffering,suffering
205,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16928,16959,Was hat Sie denn dafür gegeben?,emotional movement,emotions of affection,emotional movement
206,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,16961,17017,"Wie du es da siehest, so kostet es hundertundzehn Taler.",negative,emotions of rejection,anger
207,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17019,17034,"Ach, ihr Leute!",negative,emotions of rejection,suffering
208,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17035,17043,So viel?,emotional movement,emotional movement,emotional movement
209,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17045,17128,"Ich dächte, ich hätte bald drüber geweinet, wie ich das schöne Geld ausgeben mußte.",negative,emotions of suffering,suffering
210,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17130,17160,Es siehet aber überaus schöne.,positive,emotions of affection,admiration
211,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17161,17175,Damask ist es?,emotional movement,emotional movement,emotional movement
212,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17177,17195,Das siehest du ja.,positive,emotions of joy,anger
213,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17196,17244,Geh fein geschwind und rufe mir die Mädchen her.,positive,emotions of joy,emotional movement
214,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17245,17276,Ich muß einen Gang wohin gehen.,negative,emotions of fear,emotional movement
215,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17278,17317,"Gleich will ich sie holen,  Will gehen.",negative,emotions of fear,anger
216,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17356,17393,"Clarille fröhlich, Charlotte traurig.",negative,emotions of suffering,joy
217,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17395,17441,"Frau Mutter, ist das zu unsern neuen Kleidern?",negative,emotions of joy,emotional movement
218,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17443,17465,"Ich dächte, es wär es.",negative,emotional movement,love
219,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17466,17499,"Was fehlt denn dir, Charlottchen?",negative,emotions of suffering,compassion
220,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17501,17561,"Frau Mutter, Sie denke doch nur, Edward hieß mich eine Hure.",negative,emotions of rejection,"hate, disgust"
221,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17603,17642,schlägt die Hände überm Kopfe zusammen.,emotional movement,emotional movement,emotional movement
222,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17644,17680,"Je, daß Gott im hohen Himmel erbarm!",negative,emotions of affection,despair
223,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17681,17826,"Man denke doch nur, ein Mädchen, die ihr gut Auskommen hat und ehrlicher Leute Kind ist, von so einen geringen Kerl eine Hure geheißen zu werden.",negative,emotions of rejection,suffering
224,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17827,17867,Wann's doch noch was Rechts getan hätte!,negative,emotions of rejection,anger
225,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17868,17968,"Nun gib dich nur zufrieden, Charlottchen, siehe, da will ich dir auch ein schön Kleid machen lassen.",positive,emotions of joy,Schadenfreude
226,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,17970,18012,"Frau Mutter, wie hoch kömmt denn die Elle?",emotional movement,emotional movement,emotional movement
227,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,18014,18093,"So wahr ich eine ehrliche Frau bin, es kostet allzusammen hundertundzehn Taler.",negative,emotions of suffering,anger
228,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,18095,18185,"Frau Mutter, Sie leide nur Edwarden nicht länger im Hause, sondern sage ihm die Stube auf.",negative,emotions of suffering,suffering
229,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,18187,18297,"Sobald er mich bezahlet hat, soll er fort, und ich will auch gar keinen Studenten mehr in meinen Hause leiden.",negative,emotions of rejection,anger
230,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,18299,18334,Ist er Ihr denn noch viel schuldig?,negative,emotions of affection,emotional movement
231,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,18336,18473,"Er ist mir ein ganz halb Jahr Stubenzins schuldig, und anderthalben Taler habe ich ihn böse Geld gegeben, dafür soll er mir gutes zahlen.",negative,emotions of rejection,anger
232,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,18474,18521,"Wenn ich erstlich dieses habe, so soll er fort.",negative,emotions of rejection,anger
233,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,18523,18619,"Ich habe dir's aber gesagt, Charlotte, du sollst dich mit den Studenten nicht so gemeine machen.",negative,emotions of rejection,anger
234,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,18621,18746,"Du Narre, was schiert's denn dich, sage ich doch dir nichts, wenn du den Kerlen Bänder sticken lässest und ihnen spendierest.",negative,emotions of rejection,anger
235,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,18748,18867,"Ach, die kosten noch lange nicht so viel, als wenn ich mich lasse abkonterfeien und mein Bildnis den Studenten verehre.",negative,emotions of affection,joy
236,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,18869,19005,"O du gute Schwester, sie haben noch keinmal die Bier- und Tobaktische damit abgewischt, als sie mit deinen gestickten Bande getan haben.",positive,emotions of affection,Schadenfreude
237,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,19007,19091,"Charlotte, ich sage dir, halt's Maul, oder wir werden fürwahr nicht Freunde bleiben.",negative,emotions of rejection,anger
238,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,19093,19126,"Haltet die Mäuler, ihr Rabenäser.",negative,emotions of rejection,anger
239,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,19128,19165,"Frau Mutter, was schiert Sie es aber?",negative,emotions of suffering,fear
240,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,19167,19197,"Ich will dich scheren, du Aas.",negative,emotions of rejection,"hate, disgust"
241,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,19198,19256,"Ist das der Dank, daß ich dir lasse ein neue Kleid machen?",positive,emotions of joy,joy
242,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,19258,19312,Meinthalben mag Sie mir eins machen lassen oder nicht.,negative,emotions of affection,Schadenfreude
243,TextGrid/-L_Honnete_Femme_oder_die_Ehrliche_Frau_zu_Plissine.xml,19314,19331,Da denke man nur!,negative,emotional movement,suffering
