,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/schiller-maria-stuart.xml,0,40, Im Schloß zu Fotheringhay – Ein Zimmer.,emotional movement,emotions of suffering,suffering
1,GerDracor/schiller-maria-stuart.xml,41,176,"Hanna Kennedy, Amme der Königin von Schottland, in heftigem Streit mit Paulet, der
            im Begriff ist, einen Schrank zu öffnen.",emotional movement,emotions of rejection,anger
2,GerDracor/schiller-maria-stuart.xml,177,233,"Drugeon Drury, sein Gehilfe, mit
            Brecheisen.",negative,emotions of fear,anger
3,GerDracor/schiller-maria-stuart.xml,234,253,"Was macht Ihr, Sir?",emotional movement,emotional movement,emotional movement
4,GerDracor/schiller-maria-stuart.xml,254,278,Welch neue Dreistigkeit!,negative,emotions of rejection,anger
5,GerDracor/schiller-maria-stuart.xml,279,305,Zurück von diesem Schrank!,negative,emotions of rejection,anger
6,GerDracor/schiller-maria-stuart.xml,306,329,Wo kam der Schmuck her?,emotional movement,emotional movement,emotional movement
7,GerDracor/schiller-maria-stuart.xml,330,452,"Vom obern Stock ward er herabgeworfen, Der Gärtner hat bestochen werden sollen Mit diesem Schmuck – Fluch über Weiberlist!",negative,emotions of rejection,"hate, disgust"
8,GerDracor/schiller-maria-stuart.xml,453,531,"Trotz meiner Aufsicht, meinem scharfen Suchen,  Sich über den Schrank machend.",positive,emotional movement,anger
9,GerDracor/schiller-maria-stuart.xml,532,569,"Wo das gesteckt hat, liegt noch mehr!",negative,emotions of rejection,emotional movement
10,GerDracor/schiller-maria-stuart.xml,570,588,"Zurück, Verwegner!",negative,emotions of rejection,anger
11,GerDracor/schiller-maria-stuart.xml,589,626,Hier liegen die Geheimnisse der Lady.,positive,emotions of affection,admiration
12,GerDracor/schiller-maria-stuart.xml,627,645,Die eben such ich.,negative,emotions of joy,emotional movement
13,GerDracor/schiller-maria-stuart.xml,646,670,Schriften hervorziehend.,emotional movement,emotional movement,emotional movement
14,GerDracor/schiller-maria-stuart.xml,671,757,"Unbedeutende Papiere, bloße Übungen der Feder, Des Kerkers traurge Weile zu verkürzen.",negative,emotions of rejection,suffering
15,GerDracor/schiller-maria-stuart.xml,758,797,In müßger Weile schafft der böse Geist.,negative,emotions of rejection,"hate, disgust"
16,GerDracor/schiller-maria-stuart.xml,798,829,Es sind französische Schriften.,negative,emotions of joy,emotional movement
17,GerDracor/schiller-maria-stuart.xml,830,846,Desto schlimmer!,negative,emotions of suffering,suffering
18,GerDracor/schiller-maria-stuart.xml,847,880,Die Sprache redet Englands Feind.,negative,emotions of rejection,"hate, disgust"
19,GerDracor/schiller-maria-stuart.xml,881,929,Konzepte Von Briefen an die Königin von England.,negative,emotional movement,emotional movement
20,GerDracor/schiller-maria-stuart.xml,930,955,Die überliefr ich – Sieh!,negative,emotions of rejection,suffering
21,GerDracor/schiller-maria-stuart.xml,956,975,Was schimmert hier?,emotional movement,emotions of affection,emotional movement
22,GerDracor/schiller-maria-stuart.xml,976,1084,"Er hat einen geheimen Ressort geöffnet, und zieht aus einem verborgnen Fach
              Geschmeide hervor.",positive,emotional movement,emotional movement
23,GerDracor/schiller-maria-stuart.xml,1085,1171,"Ein königliches Stirnband, reich an Steinen, Durchzogen mit den Lilien von Frankreich!",positive,emotions of joy,admiration
24,GerDracor/schiller-maria-stuart.xml,1172,1200,Er gibt es seinem Begleiter.,positive,emotions of rejection,anger
25,GerDracor/schiller-maria-stuart.xml,1201,1218,"Verwahrts, Drury.",negative,emotions of rejection,suffering
26,GerDracor/schiller-maria-stuart.xml,1219,1240,Legts zu dem übrigen!,negative,emotions of rejection,anger
27,GerDracor/schiller-maria-stuart.xml,1241,1255,Drury geht ab.,negative,emotions of rejection,fear
28,GerDracor/schiller-maria-stuart.xml,1256,1296,"O schimpfliche Gewalt, die wir erleiden!",negative,emotions of suffering,suffering
29,GerDracor/schiller-maria-stuart.xml,1297,1382,"Solang sie noch besitzt, kann sie noch schaden, Denn alles wird Gewehr in ihrer Hand.",negative,emotions of affection,love
30,GerDracor/schiller-maria-stuart.xml,1383,1399,"Seid gütig, Sir.",positive,emotions of affection,admiration
31,GerDracor/schiller-maria-stuart.xml,1400,1453,Nehmt nicht den letzten Schmuck Aus unserm Leben weg!,negative,emotions of affection,love
32,GerDracor/schiller-maria-stuart.xml,1454,1550,"Die Jammervolle Erfreut der Anblick alter Herrlichkeit, Denn alles andre habt Ihr uns entrissen.",negative,emotions of suffering,suffering
33,GerDracor/schiller-maria-stuart.xml,1551,1574,Es liegt in guter Hand.,positive,emotions of affection,admiration
34,GerDracor/schiller-maria-stuart.xml,1575,1625,Gewissenhaft Wird es zu seiner Zeit zurückgegeben!,positive,emotions of affection,joy
35,GerDracor/schiller-maria-stuart.xml,1626,1692,"Wer sieht es diesen kahlen Wänden an, Daß eine Königin hier wohnt?",positive,emotions of affection,admiration
36,GerDracor/schiller-maria-stuart.xml,1693,1732,Wo ist Die Himmeldecke über ihrem Sitz?,positive,emotions of fear,emotional movement
37,GerDracor/schiller-maria-stuart.xml,1733,1812,Muß sie den zärtlich weichgewöhnten Fuß Nicht auf gemeinen rauhen Boden setzen?,negative,emotions of suffering,love
38,GerDracor/schiller-maria-stuart.xml,1813,1898,"Mit grobem Zinn, die schlechtste Edelfrau Würd es verschmähn, bedient man ihre Tafel.",negative,emotions of rejection,anger
39,GerDracor/schiller-maria-stuart.xml,1899,1978,"So speiste sie zu Sterlyn ihren Gatten, Da sie aus Gold mit ihrem Buhlen trank.",positive,emotions of joy,joy
40,GerDracor/schiller-maria-stuart.xml,1979,2022,Sogar des Spiegels kleine Notdurft mangelt.,negative,emotions of suffering,suffering
41,GerDracor/schiller-maria-stuart.xml,2023,2108,"Solang sie noch ihr eitles Bild beschaut, Hört sie nicht auf, zu hoffen und zu wagen.",positive,emotions of fear,love
42,GerDracor/schiller-maria-stuart.xml,2109,2153,"An Büchern fehlts, den Geist zu unterhalten.",negative,emotions of suffering,joy
43,GerDracor/schiller-maria-stuart.xml,2154,2198,"Die Bibel ließ man ihr, das Herz zu bessern.",positive,emotions of suffering,suffering
44,GerDracor/schiller-maria-stuart.xml,2199,2238,Selbst ihre Laute ward ihr weggenommen.,negative,emotions of suffering,emotional movement
45,GerDracor/schiller-maria-stuart.xml,2239,2280,Weil sie verbuhlte Lieder drauf gespielt.,negative,emotions of rejection,anger
46,GerDracor/schiller-maria-stuart.xml,2281,2426,"Ist das ein Schicksal für die Weicherzogne, Die in der Wiege Königin schon war, Am üppgen Hof der Mediceerin In jeder Freuden Fülle aufgewachsen.",positive,emotions of suffering,suffering
47,GerDracor/schiller-maria-stuart.xml,2427,2509,"Es sei genug, daß man die Macht ihr nahm, Muß man die armen Flitter ihr mißgönnen?",negative,emotions of suffering,compassion
48,GerDracor/schiller-maria-stuart.xml,2510,2590,"In  Sich endlich finden, aber wehe tuts, Des Lebens kleine Zierden zu entbehren.",negative,emotions of suffering,suffering
49,GerDracor/schiller-maria-stuart.xml,2591,2665,"Sie wenden nur das Herz dem Eitlen zu, Das in sich gehen und bereuen soll.",positive,emotions of suffering,suffering
50,GerDracor/schiller-maria-stuart.xml,2666,2739,Ein üppig lastervolles Leben büßt sich In Mangel und Erniedrigung allein.,negative,emotions of suffering,suffering
51,GerDracor/schiller-maria-stuart.xml,2740,2856,"Wenn ihre zarte Jugend sich verging, Mag sies mit Gott abtun und ihrem Herzen, In England ist kein Richter über sie.",negative,emotions of affection,love
52,GerDracor/schiller-maria-stuart.xml,2857,2893,"Sie wird gerichtet, wo sie frevelte.",negative,emotions of rejection,anger
53,GerDracor/schiller-maria-stuart.xml,2894,2932,Zum Freveln fesseln sie zu enge Bande.,negative,emotions of affection,love
54,GerDracor/schiller-maria-stuart.xml,2933,3104,"Doch wußte sie aus diesen engen Banden Den Arm zu strecken in die Welt, die Fackel Des Bürgerkrieges in das Reich zu schleudern, Und gegen unsre Königin, die Gott Erhalte!",negative,emotions of rejection,"hate, disgust"
55,GerDracor/schiller-maria-stuart.xml,3105,3132,Meuchelrotten zu bewaffnen.,negative,emotions of rejection,"hate, disgust"
56,GerDracor/schiller-maria-stuart.xml,3133,3245,Erregte sie aus diesen Mauern nicht Den Böswicht Parry und den Babington Zu der verfluchten Tat des Königsmords?,negative,emotions of rejection,"hate, disgust"
57,GerDracor/schiller-maria-stuart.xml,3246,3323,"Hielt dieses Eisengitter sie zurück, Das edle Herz des Norfolk zu umstricken?",negative,emotions of suffering,admiration
58,GerDracor/schiller-maria-stuart.xml,3324,3522,"Für sie geopfert fiel das beste Haupt Auf dieser Insel unterm Henkerbeil – Und schreckte dieses jammervolle Beispiel Die Rasenden zurück, die sich wetteifernd Um ihrentwillen in den Abgrund stürzen?",negative,emotions of suffering,compassion
59,GerDracor/schiller-maria-stuart.xml,3523,3671,"Die Blutgerüste füllen sich für sie Mit immer neuen Todesopfern an, Und das wird nimmer enden, bis sie selbst, Die Schuldigste, darauf geopfert ist.",negative,emotions of rejection,"hate, disgust"
60,GerDracor/schiller-maria-stuart.xml,3672,3779,"– O Fluch dem Tag, da dieses Landes Küste Gastfreundlich diese  Gastfreundlich hätte England sie empfangen?",negative,emotions of suffering,emotional movement
61,GerDracor/schiller-maria-stuart.xml,3780,4046,"Die Unglückselige, die seit dem Tag, Da sie den Fuß gesetzt in dieses Land, Als eine Hilfeflehende, Vertriebne Bei der Verwandten Schutz zu suchen kam, Sich wider Völkerrecht und Königswürde Gefangen sieht, in enger Kerkerhaft Der Jugend schöne Jahre muß vertrauern.",negative,emotions of suffering,suffering
62,GerDracor/schiller-maria-stuart.xml,4047,4254,"– Die jetzt, nachdem sie alles hat erfahren, Was das Gefängnis Bittres hat, gemeinen Verbrechern gleich, vor des Gerichtes Schranken Gefodert wird und schimpflich angeklagt Auf Leib und Leben – eine Königin!",negative,emotions of rejection,"hate, disgust"
63,GerDracor/schiller-maria-stuart.xml,4255,4378,"Sie kam ins Land als eine Mörderin, Verjagt von ihrem Volk, des Throns entsetzt, Den sie mit schwerer Greueltat geschändet.",negative,emotions of rejection,"hate, disgust"
64,GerDracor/schiller-maria-stuart.xml,4379,4534,"Verschworen kam sie gegen Englands Glück, Der spanischen Maria blutge Zeiten Zurückzubringen, Engelland katholisch Zu machen, an den Franzmann zu verraten.",negative,emotions of rejection,suffering
