,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/sturz-julie.xml,0,9, O poggi!,negative,emotions of rejection,anger
1,GerDracor/sturz-julie.xml,10,18,o valli!,negative,emotions of suffering,suffering
2,GerDracor/sturz-julie.xml,19,27,o fiumi!,negative,emotions of suffering,emotional movement
3,GerDracor/sturz-julie.xml,28,36,o selve!,positive,emotions of suffering,suffering
4,GerDracor/sturz-julie.xml,37,45,o campi!,negative,emotions of suffering,suffering
5,GerDracor/sturz-julie.xml,46,114,O testimon della mia grave vita Quante volte m'udiste chiamar morte!,negative,emotions of suffering,suffering
6,GerDracor/sturz-julie.xml,115,172,Der Schauplatz ist in dem Landhause des Herrn von Wohlau.,positive,emotions of suffering,suffering
7,GerDracor/sturz-julie.xml,173,198,"Julie, Frau von Wichmann.",emotional movement,emotional movement,emotional movement
8,GerDracor/sturz-julie.xml,199,450,"In diesem Hause ist nun alles so traurig, Julie, wenn ich an die Freude denke, die
              sonst hier herrschte, so geht es mir nahe – und besonders deswegen geht es mir nahe,
              liebes Kind, weil du wirklich allein Schuld daran bist.",negative,emotions of suffering,suffering
9,GerDracor/sturz-julie.xml,451,663,"Ich habe dich nicht immer so
              eigensinnig gekannt, Julie, und ich hätte ein wenig mehr Folgsamkeit von dir erwartet,
              eine mehr nachgebende Liebe gegen deinem Vater – Ach, liebste Tante!",negative,emotions of affection,love
10,GerDracor/sturz-julie.xml,664,1164,"ich habe meine Kräfte versucht, wenn Sie mich gesehen hätten, wie
              ich in langen schlaflosen Nächten gerungen und gekämpft habe – gewiß, Sie würden mir,
              Sie könnten mir Ihr Mitleiden nicht versagen – ich kann es nicht zwingen, sagen  Nein, ich kenne ihn nicht, armes Kind – aber man hat mir viel gutes von Ihm gesagt –
              indessen ist der Mann, den man dir bestimmt, doch auch ein würdiger tugendhafter Mann
              – und o, wie beugst du sein Herz, Julie.",negative,emotions of suffering,compassion
