,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,TextGrid/-Liberata.xml,0,411,"  Der annotierte Datenbestand der Digitalen Bibliothek inklusive Metadaten sowie
                                   davon einzeln zugängliche Teile sind eine Abwandlung des Datenbestandes von
                                   www.editura.de durch TextGrid und werden unter der Lizenz Creative Commons
                                   Namensnennung 3.0 Deutschland Lizenz (by-Nennung TextGrid) veröffentlicht.",positive,emotions of joy,admiration
1,TextGrid/-Liberata.xml,412,621,"Die
                                   Lizenz bezieht sich nicht auf die der Annotation zu Grunde liegenden
                                   allgemeinfreien Texte (Siehe auch Punkt 2 der Lizenzbestimmungen).",negative,emotions of joy,"hate, disgust"
2,TextGrid/-Liberata.xml,718,886,Hochlöblichen Herren Fürsten und Ständen Jm Hertzogthum Ober- und Nieder-Schlesien / Meinen Genädigsten Fürsten und Herren / Auch Genädigen und Hoch-GeEhrtesten Herren.,positive,emotions of affection,admiration
3,TextGrid/-Liberata.xml,887,1051,"Dje allerunterthänigste APPLICATION dieses Schau-Spiels / als worinnen  
                                  Durchlauchtigkeiten / Ewrer Excellentz / Genaden / Gestr.",negative,emotions of joy,admiration
4,TextGrid/-Liberata.xml,1052,1100,Und meiner HochgeEhrtesten Herren Breßlau den 6.,positive,emotions of affection,admiration
5,TextGrid/-Liberata.xml,1101,1107,April.,positive,emotions of rejection,suffering
6,TextGrid/-Liberata.xml,1108,1118,Anno 1700.,positive,emotions of rejection,anger
7,TextGrid/-Liberata.xml,1119,1199,Unterthänigster Gehorsamster Und verbundnester Diener Johann Christian Hallmann.,positive,emotions of affection,admiration
8,TextGrid/-Liberata.xml,1200,1554,"Der heidnische König ALPHONSUS in Portugal hatte eine eintzige Tochter / Nahmens LIBERATA, von solcher ungemeinen Schönheit / daß Er Selbte nicht allein unterschiedlichen umb sie werbenden Königlichen Printzen gäntzlich versagte / sondern sich auch selbsten mit ihr / weil seine Gemahlin die Königin ISABELLA Todes verblichen war / zuvermählen entschloß.",positive,emotions of affection,love
9,TextGrid/-Liberata.xml,1555,1946,Alldieweilen aber die Printzeßin LIBERATA ihrem Herrn Vater solch unanständiges Begehren mit höchster Bescheidenheit und Vernunfft verweigerte / zugleich aber auch Jhme / daß Sie eine Christin wäre / und ihrem Himmlischen Bräutigam CHRJSTO JESU treu verbleiben wolte / freymüthig entdeckte /ließ sie der König / umb auff andere Gedancken zu gerathen / in ein wohlverwahrtes Gefängnüß setzen.,negative,emotions of rejection,anger
10,TextGrid/-Liberata.xml,1947,2161,Jn diesem Orte nun bath die Printzeßin den Allmächtigen GOtt mit Thränen / daß Er doch ein Mittel schicken wolte / wodurch der König von solcher ungebührlichen Liebe möchte abgehalten werden: Welches auch geschach.,negative,emotions of suffering,suffering
11,TextGrid/-Liberata.xml,2162,2444,Denn als ALPHONSUS wiederumb zu der Printzeßin ins Gefängnüß kam / und sie so wol zu seiner Verehligung als auch zu Verlassung deß Christlichen Glaubens bereden wolte / dauchte ihn nicht anders / als wann sich ihr Schnee-weisses Gesichte in einen schwartzen Mohren verwandelt hätte.,negative,emotions of rejection,"hate, disgust"
12,TextGrid/-Liberata.xml,2445,2542,Welche Verwandelung aber nur bloß dem Könige / nicht aber auch den andern Menschen / also vorkam.,negative,emotions of suffering,"hate, disgust"
13,TextGrid/-Liberata.xml,2543,2833,"Worauff der halb-rasende König / solche abscheuliche Veränderung vor eine Zauberey haltende /die unschuldige Printzeßin LIBERATAM, besonders auch weil auff ihr andächtiges Gebethe der Donner das Götzen-Bild deß Jupiters / dem sie opffern solte /in viel Stücke zerschlug /  Erster Aufftritt.",negative,emotions of rejection,suffering
14,TextGrid/-Liberata.xml,2834,3377,"Der heidnische König ALPHONSUS in Portugal hält mit seinen geheimsten Geist- und Weltlichen Räthen zu Lisabona Rath / wie Er seine Regirung glückseelig befestigen möge / welche / ausser dem PALAMEDES einmüthig dahin stimmen / daß der König keinen eintzigen Christen in seinem Königreich beym Leben lassen / und dann seine eintzige Tochter / die Prinzeßin LIBERATAM, weil kein männlicher Kron-Erbe verbanden / einem auß denen dreyen umb sie werbenden Königlichen Printzen / nemlich deme auß Sicilien /Egypten / oder Persien / verehlichen solle.",positive,emotions of joy,joy
15,TextGrid/-Liberata.xml,3378,3480,Deren ersteren Vorschlag zwar der König genädigst anhöret /den letzteren aber in Ungenaden vermercket.,negative,emotions of rejection,anger
16,TextGrid/-Liberata.xml,3481,3499,Zweyter Aufftritt.,emotional movement,emotional movement,emotional movement
17,TextGrid/-Liberata.xml,3500,3657,Der in die Schönheit der Prinzeßin LIBERATA heimlich verliebte König sinnet auff Mittel und Wege / die umb sie anhaltende drey Printzen mit Manir abzuweisen.,positive,emotions of affection,love
18,TextGrid/-Liberata.xml,3658,3676,Dritter Aufftritt.,positive,emotional movement,emotional movement
19,TextGrid/-Liberata.xml,3677,3975,"Der Sicilianische Printz FERDINANDUS ersuchet den König umb gnädige Einwilligung in seine gegen der Prinzeßin tragende Eheliche Liebe / wird aber durch unverhoffte Ankunfft seiner zwey Neben-Buhler / nemlich deß Egyptischen Printzens ARIMANTES, und deß Persianischen Gesandtens  Vierdter Aufftritt.",positive,emotions of rejection,love
20,TextGrid/-Liberata.xml,3977,4278,"und TIRIDATES verlangen von dem Könige / daß Er die Printzeßin LIBERATAM, auß Väterlicher Gewalt entweder zu einem gewissen Ja-Worte zwinge / oder aber selbsten Sie einem unter ihnen zweyen ehelich versprechen wolle / welch unförmliches Begehren aber der König höchstungenädig empfindet und entweicht.",negative,emotions of rejection,emotional movement
21,TextGrid/-Liberata.xml,4279,4298,Fünffter Aufftritt.,positive,emotional movement,suffering
22,TextGrid/-Liberata.xml,4300,4426,und TIRIDATES entschliessen sich die Printzeßin selbsten dessentwegen anzureden / und ihre eigentliche Erklährung zuvernehmen.,negative,emotions of rejection,emotional movement
23,TextGrid/-Liberata.xml,4427,4446,Sechster Aufftritt.,positive,emotions of rejection,emotional movement
24,TextGrid/-Liberata.xml,4447,4972,"Die in einem Pagen-Habit / unter dem Nahmen INFORTUNIO, verkleidete JULIANA, beklaget sich über ihres Herren deß Printzens FERDINANDI, Untreu / und erzehlet die zwischen Jhm und Jhr / als einer Römischen Printzeßin / vorgegangene Liebes-Begebenheit / wie Er Jhr / nemlich zu Rom die Ehe versprochen / und Sie hernachmals treuloß verlassen /weßwegen Sie Jhme in Pagen-Habit nachgezogen /und Dienste bey ihm angenommen; Entschleußt sich dannenhero Jhm als ein Geist zu erscheinen / umb die Beständigkeit seiner Liebe zu prüfen.",negative,emotions of suffering,suffering
25,TextGrid/-Liberata.xml,4973,4993,Siebender Aufftritt.,positive,emotions of rejection,emotional movement
26,TextGrid/-Liberata.xml,4994,5172,"Die Königliche Hof-Dame AURORA bemühet sich die verkleidete Printzeßin JULIANA, in der Meynung / daß sie ein rechter Page sey / zu ihrer Gegen-Liebe zu bewegen / aber vergeblich.",positive,emotions of affection,love
27,TextGrid/-Liberata.xml,5211,5277,Sjnnet dannenhero auff allerhand Mittel diesen Zweck zu erreichen.,negative,emotions of rejection,anger
28,TextGrid/-Liberata.xml,5278,5297,Neundter Aufftritt.,positive,emotions of joy,emotional movement
29,TextGrid/-Liberata.xml,5298,5449,Dje Printzeßin LIBERATA dancket dem Drey-Einigen GOtte vor die Erleuchtung im Christlichen Glauben / und beklaget die grausame Verfolgung der Christen.,negative,emotions of suffering,compassion
30,TextGrid/-Liberata.xml,5450,5469,Zehender Aufftritt.,negative,emotional movement,emotional movement
31,TextGrid/-Liberata.xml,5471,5675,"versichert den ihr auffwartenden Printz FERDINAND, daß / im Fall Sie heyrathen würde /kein anderer als Er Jhrer theilhafftig werden solte; Allein Sie werde durch eine hochwichtige Sache hieran verhindert.",positive,emotions of affection,admiration
32,TextGrid/-Liberata.xml,5676,5695,Eilffter Aufftritt.,emotional movement,emotional movement,emotional movement
33,TextGrid/-Liberata.xml,5697,5789,und TIRIDATES bemühen sich zwar auch umb der Printzeßin LIBERATÆ Gewogenheit /aber umbsonst.,negative,emotions of rejection,admiration
34,TextGrid/-Liberata.xml,5790,5810,Zwölffter Aufftritt.,positive,emotional movement,emotional movement
35,TextGrid/-Liberata.xml,5812,5935,erzehlet dem Könige die Beunruhigung dieser dreyen Liebhaber / und daß Sie allen eine abschlägliche Antwort ertheilet habe.,negative,emotional movement,fear
36,TextGrid/-Liberata.xml,5936,5959,Dreyzehender Aufftritt.,negative,emotions of rejection,emotional movement
37,TextGrid/-Liberata.xml,5960,6088,Der hierüber höchst-erfreute König hoffet wegen solcher Verweigerung desto eher die Printzeßin zu seiner Gegen-Liebe zu bewegen.,positive,emotions of joy,joy
38,TextGrid/-Liberata.xml,6127,6144,Erster Aufftritt.,positive,emotional movement,emotional movement
39,TextGrid/-Liberata.xml,6146,6311,entschleust sich den fürnehmsten Königlichen Rath OCTAVIUM durch Versprechung eines Persianischen Fürstenthums zu der Entführung der Printzessin LIBERATÆ zu bereden.,negative,emotions of rejection,"hate, disgust"
40,TextGrid/-Liberata.xml,6312,6329,Zweyter Auftritt.,negative,emotions of rejection,emotional movement
41,TextGrid/-Liberata.xml,6330,6420,Welcher Anschlag ihm auch gelinget / indem beyde dessentwegen einander einen Eyd schweren.,negative,emotions of suffering,suffering
42,TextGrid/-Liberata.xml,6421,6438,Dritter Auftritt.,positive,emotional movement,emotional movement
43,TextGrid/-Liberata.xml,6439,6549,"Die Reue und die Ehrsucht bekämpffen vortrefflich die Seele deß OCTAVII, selbte aber wird von dieser besieget.",positive,emotions of suffering,suffering
44,TextGrid/-Liberata.xml,6550,6568,Vierdter Auftritt.,positive,emotions of joy,emotional movement
45,TextGrid/-Liberata.xml,6570,6638,wil durch Zauberey die Printzeßin LIBERATAM zur Gegen-Liebe bewegen.,positive,emotions of affection,love
46,TextGrid/-Liberata.xml,6639,6657,Fünffter Auftritt.,positive,emotions of joy,emotional movement
47,TextGrid/-Liberata.xml,6658,6813,Zu dem Ende giebt ihm die kluge CANIDIA einen gewissen Balsam / durch dessen Erwarmung in der LIBERATÆ lincken Hand sie Jhn ohnfehlbar werde lieben müssen.,positive,emotions of affection,love
48,TextGrid/-Liberata.xml,6814,6832,Sechster Auftritt.,positive,emotions of joy,emotional movement
49,TextGrid/-Liberata.xml,6834,6920,erweiset / daß dieses Kunst-Stück keine Zauberey / sondern in der Natur gegründet sey.,positive,emotions of affection,admiration
