,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/beer-struensee.xml,0,6, Sire!,negative,emotional movement,emotional movement
1,GerDracor/beer-struensee.xml,7,164,"Mit Schüchternheit und Bangen wagte ich, auf der Bühne der Residenz Eurer Königlichen
          Majestät dies ernste Spiel zuerst ins Leben treten zu lassen.",negative,emotions of fear,fear
2,GerDracor/beer-struensee.xml,165,282,"Es war das stille Bewußtsein
          der Schwächen meines Gedichts, das mich nicht ohne Beben ließ, als ich von Ew.",negative,emotions of suffering,suffering
3,GerDracor/beer-struensee.xml,283,445,"Majestät
          die huldvolle Versicherung empfing, daß Sie dies Trauerspiel lesen, daß Sie die
          Darstellung mit Ihrer hohen Gegenwart beehren würden.",positive,emotions of affection,admiration
4,GerDracor/beer-struensee.xml,446,502,Nur dies Bewußtsein konnte mich mit Bangigkeit erfüllen.,negative,emotions of fear,fear
5,GerDracor/beer-struensee.xml,503,530,Es war kein anderes Gefühl.,positive,emotions of affection,suffering
6,GerDracor/beer-struensee.xml,531,835,"Ich wußte, daß ich es wagen durfte, den Blicken Eurer Majestät die blutige Begebenheit zu
          zeigen, die ich zum Gegenstande meiner Aufgabe gemacht; daß ich es wagen durfte, ohne
          andere Empfindungen zu erregen als die, welche die Poesie in der menschlichen Brust
          erwecken darf.",negative,emotions of affection,love
7,GerDracor/beer-struensee.xml,836,943,"Ich fürchtete keinen Augenblick, von dem erhabenen Geiste Eurer Majestät
          mißverstanden zu werden.",positive,emotions of fear,fear
8,GerDracor/beer-struensee.xml,944,1480,"Ihnen Sire, und Ihrem freien Reiche steht die rasche Willkür des Einzelnen, der ohne
          anderes Gesetz als seine eigenen Wünsche emporsteigt und bald aufbaut, bald zerstört,
          herrscht und beherrscht wird, sich gegen den Stumpfsinn des Volkes auflehnt und sich doch
          den Launen dieses Volkes fügt, eben so fern als der zügellose Kampf der Intrigue und des
          Uebermuthes, die in entzweiten Parteien nicht des Herrschers und des Landes Bestes,
          sondern nur das ihrer selbstsüchtigen Zwecke wollen.",positive,emotions of rejection,"hate, disgust"
9,GerDracor/beer-struensee.xml,1482,1800,"In dem edlen Reiche Eurer Majestät strömt die Freiheit, wie das Licht, die Quelle alles
          Segens und Gedeihens aus dem Schooß des Himmels, von dem  In Ihres Volkes Herzen ruht das Vertrauen auf die Redlichkeit seines großsinnigen Königs
          – in dieses Königs Brust der Glaube an die Treue seines Volkes.",positive,emotions of affection,admiration
10,GerDracor/beer-struensee.xml,1801,1918,"In dem Staate, wo diese
          Wechselwellen friedlich zu einander strömen, sind gewaltsame Umwälzungen unmöglich.",emotional movement,emotions of joy,joy
11,GerDracor/beer-struensee.xml,1919,1967,"Dort
          darf die Muse von ihnen erzählen.",positive,emotions of joy,joy
12,GerDracor/beer-struensee.xml,1968,2045,"Wo das Leben sie nie erzeugen wird, darf das Lied von
          ihnen singen.",positive,emotions of joy,love
13,GerDracor/beer-struensee.xml,2046,2294,"Dies glaubte ich, als ich es wagte, die Theilnahme Eurer Königlichen Majestät für die
          Gestalten dieser Tragödie in Anspruch zu nehmen – und die huldvollen Aeußerungen
          Königlicher Gnade haben meinen kühnen Glauben gerechtfertigt.",positive,emotions of affection,admiration
14,GerDracor/beer-struensee.xml,2295,2679,"Nun wird es mir vergönnt,
          mit dem erhabenen Namen Eurer Majestät diese Blätter schmücken zu dürfen – und ich lege
          sie beschämt zu Ihren Füßen, Sire, und fühle, daß es eines Lebens voll redlichen Wirkens,
          einer Zukunft reich an bessern Werken bedarf, um die unschätzbare Huld zu verdienen, die
          Eure Majestät meiner Jugend zu Theil werden lassen.",positive,emotions of affection,admiration
15,GerDracor/beer-struensee.xml,2680,2802,In tiefster Unterwürfigkeit ersterbe ich Eurer Königlichen Majestät allerunterthänigster Zeit der Handlung: im Jahre 1772.,positive,emotions of affection,admiration
16,GerDracor/beer-struensee.xml,2803,2874,Zimmer in Struensee's Wohnung im Schlosse Christiansburg in Kopenhagen.,positive,emotions of affection,suffering
17,GerDracor/beer-struensee.xml,2875,2925,"An einem
            offenen Fenster steht Detlev.",emotional movement,emotional movement,emotional movement
18,GerDracor/beer-struensee.xml,2926,2936,von außen.,negative,emotions of suffering,suffering
19,GerDracor/beer-struensee.xml,2937,2952,Der König lebe!,positive,emotions of affection,admiration
20,GerDracor/beer-struensee.xml,2953,2974,König Christian hoch!,positive,emotions of affection,admiration
21,GerDracor/beer-struensee.xml,2975,3004,"zu den Andern, hereintretend.",negative,emotional movement,suffering
22,GerDracor/beer-struensee.xml,3005,3028,"Ich sage, hieher kommt!",negative,emotions of rejection,anger
23,GerDracor/beer-struensee.xml,3029,3070,Ihr könnt's von hier aus am besten sehen.,positive,emotions of joy,joy
24,GerDracor/beer-struensee.xml,3071,3106,"Sieh da, Herr
              Detlev!",positive,emotions of joy,joy
25,GerDracor/beer-struensee.xml,3107,3222,"Ihr, der Liebling des Herrn, ihr wißt oft mehr von seinen Planen und
              Meinungen, als der König selbst.",positive,emotions of affection,admiration
26,GerDracor/beer-struensee.xml,3223,3368,"Sagt uns doch, was hat es zu bedeuten, daß man dort
              auf dem Platze vor dem Palast der schönen norwegschen Garde den Abschied giebt?",negative,emotional movement,suffering
27,GerDracor/beer-struensee.xml,3369,3412,"Es ist
              wahrlich Schade darum.",negative,emotions of suffering,compassion
28,GerDracor/beer-struensee.xml,3413,3462,In der ganzen Armee ist kein prächtiger Regiment.,positive,emotions of affection,admiration
29,GerDracor/beer-struensee.xml,3463,3522,"Mir waren die
              Norwegschen immer die liebsten.",positive,emotions of affection,love
30,GerDracor/beer-struensee.xml,3523,3565,"Ja, ja, erzählt, was haben sie verbrochen?",negative,emotions of rejection,anger
31,GerDracor/beer-struensee.xml,3566,3634,"Ich weiß nicht, ob ich euch thörichter oder vorwitziger nennen soll.",negative,emotions of rejection,anger
32,GerDracor/beer-struensee.xml,3635,3883,"Weil mir der
              Graf wohl will, sich freundlich meiner seit meiner Kindheit angenommen, meint ihr, er
              vertraue mir die geheimen Beweggründe seiner Handlungen, und weihe mich in die
              Geheimnisse des Staates ein.",positive,emotions of affection,friendship
33,GerDracor/beer-struensee.xml,3884,3990,"Seht, ich möchte mich kaum erkühnen, zu muthmaßen, wo ihr
              so klare, sichere Gewißheit wollt.",positive,emotions of fear,emotional movement
