,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
834,GerDracor/bernard-faust.xml,32864,32904,"um abzugehen, erblickt er seine Freunde.",positive,emotions of joy,joy
835,GerDracor/bernard-faust.xml,32905,32965,"Auf, meine Freunde, schmücket euch Zum frohen Hochzeitfeste.",positive,emotions of joy,joy
836,GerDracor/bernard-faust.xml,32966,32979,Will abgehen.,negative,emotions of rejection,fear
837,GerDracor/bernard-faust.xml,32980,33017,"hält ihn zurück, auf Röschen deutend.",positive,emotional movement,emotional movement
838,GerDracor/bernard-faust.xml,33018,33032,Verweile noch!,negative,emotional movement,fear
839,GerDracor/bernard-faust.xml,33033,33068,Es haben sich Bekannte eingefunden.,positive,emotional movement,joy
840,GerDracor/bernard-faust.xml,33069,33088,"(Wie, sie ist hier?",emotional movement,emotional movement,emotional movement
841,GerDracor/bernard-faust.xml,33089,33106,und g'rade jetzt?,emotional movement,emotional movement,emotional movement
842,GerDracor/bernard-faust.xml,33107,33160,"Ha, ich erkenne deine List, Du schadenfroher Teufel!)",negative,emotions of joy,Schadenfreude
843,GerDracor/bernard-faust.xml,33161,33172,zu Röschen.,positive,emotional movement,emotional movement
844,GerDracor/bernard-faust.xml,33173,33233,"Blick' hin, sieh' sein Erblassen, Und nenne mich Verleumder!",negative,emotions of rejection,suffering
845,GerDracor/bernard-faust.xml,33234,33253,Es kann nicht sein.,negative,emotions of fear,suffering
846,GerDracor/bernard-faust.xml,33254,33286,– Schüchtern sich Faust nähernd.,negative,emotions of fear,emotional movement
847,GerDracor/bernard-faust.xml,33287,33307,Mein theurer Freund!,positive,emotions of affection,friendship
848,GerDracor/bernard-faust.xml,33308,33317,verlegen.,negative,emotions of rejection,emotional movement
849,GerDracor/bernard-faust.xml,33318,33352,Dich find' ich hier so unverhofft!,emotional movement,emotions of joy,joy
850,GerDracor/bernard-faust.xml,33353,33383,Du konntest dich entschließen?,emotional movement,emotional movement,emotional movement
851,GerDracor/bernard-faust.xml,33384,33401,mit holder Scham.,negative,emotions of suffering,suffering
852,GerDracor/bernard-faust.xml,33402,33429,Bei dir nur kann ich leben.,positive,emotions of affection,love
853,GerDracor/bernard-faust.xml,33430,33481,"(Er ist verwirrt und kalt, Das muß sie überzeugen.)",emotional movement,emotional movement,emotional movement
854,GerDracor/bernard-faust.xml,33482,33516,"Du bist so fremd, das tödtet mich.",negative,emotions of suffering,despair
855,GerDracor/bernard-faust.xml,33517,33527,ergriffen.,negative,emotional movement,fear
856,GerDracor/bernard-faust.xml,33528,33538,Nein nein!,negative,emotions of rejection,suffering
857,GerDracor/bernard-faust.xml,33539,33554,Nur überrascht!,emotional movement,emotional movement,emotional movement
858,GerDracor/bernard-faust.xml,33555,33583,Sei herzlich mir willkommen!,positive,emotions of joy,joy
859,GerDracor/bernard-faust.xml,33584,33622,Doch nun – auf kurze Zeit verlaß mich!,negative,emotions of suffering,suffering
860,GerDracor/bernard-faust.xml,33623,33633,Zu Wagner.,positive,emotional movement,emotional movement
861,GerDracor/bernard-faust.xml,33634,33665,Begleite sie in uns're Wohnung!,positive,emotions of affection,joy
862,GerDracor/bernard-faust.xml,33666,33677,im Abgehen.,negative,emotions of suffering,emotional movement
863,GerDracor/bernard-faust.xml,33678,33726,Folg' bald und laß mich nicht In Angst vergehen!,negative,emotions of fear,fear
864,GerDracor/bernard-faust.xml,33727,33747,Alle außer Faust ab.,negative,emotions of rejection,anger
865,GerDracor/bernard-faust.xml,33748,33751,Nr.,negative,emotions of rejection,emotional movement
866,GerDracor/bernard-faust.xml,33752,33755,15.,positive,emotional movement,anger
867,GerDracor/bernard-faust.xml,33756,33766,Recitativ.,positive,emotional movement,emotional movement
868,GerDracor/bernard-faust.xml,33767,33779,Wie ist mir?,emotional movement,emotional movement,emotional movement
869,GerDracor/bernard-faust.xml,33780,33896,"– Welch ein Zwist erhebt Sich mächtig mir im Innern Und theilt mein Herz, daß beide Hälften Sich feindlich befehden?",negative,emotions of suffering,suffering
870,GerDracor/bernard-faust.xml,33897,33981,"– Zweifache Liebe, gleich stark und gewaltig, Bewegt und treibt mich hin und wieder!",positive,emotions of affection,love
871,GerDracor/bernard-faust.xml,33982,34019,"– Dorthin zeigend, wo Röschen abging.",negative,emotions of rejection,suffering
872,GerDracor/bernard-faust.xml,34020,34175,"Hier die süße Neigung Der kindlich reinen Seele,  Der Liebe ruhig Weben auf stiller Flur, Befreit von allen, mir verhaßten Banden – Kunigunden nachzeigend.",positive,emotions of affection,love
873,GerDracor/bernard-faust.xml,34176,34271,"Und dort – der hohen Schönheit Fülle, Mit allen Reizen der Unschuld, Ueppigen Lebens Vollgenuß!",positive,emotions of joy,joy
874,GerDracor/bernard-faust.xml,34272,34281,– Und ha!,positive,emotions of joy,joy
875,GerDracor/bernard-faust.xml,34282,34396,"(sich hoch hebend) daneben meiner Macht Anlockender Schimmer zu wirken, zu schaffen Großes, – Herrliches, – Gutes!",positive,emotions of joy,admiration
