,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
628,GerDracor/brawe-der-freigeist.xml,50710,50967,"Mit Entzücken würde ich für
              Sie das meinige aufopfern – Ihr Bezeigen, Klerdon, bes t nur zu sehr meine Furcht –
              Sie müssen etwas vor mir verhehlt halten – einen Verdacht, der mich in Ihren Augen zum
              Ungeheuer macht.",negative,emotions of affection,fear
629,GerDracor/brawe-der-freigeist.xml,50968,51017,Ihre Reden haben alles in mir in Aufruhr gesetzt.,emotional movement,emotional movement,emotional movement
630,GerDracor/brawe-der-freigeist.xml,51018,51098,"Klären Sie, ich beschwöre Sie, die
              fürchterlichen Geheimnisse auf.",negative,emotions of fear,fear
631,GerDracor/brawe-der-freigeist.xml,51099,51136,Möchte eine ewige Nacht sie begraben!,negative,emotions of suffering,suffering
632,GerDracor/brawe-der-freigeist.xml,51137,51204,"möchte ich diese Abscheulichkeiten nie erkannt
              haben!",negative,emotions of rejection,"hate, disgust"
633,GerDracor/brawe-der-freigeist.xml,51205,51250,"Grausamer Freund, daß du sie mir eröffnetest!",negative,emotions of affection,suffering
634,GerDracor/brawe-der-freigeist.xml,51251,51307,"Warum werde ich nicht unwissend
              ihr Opfer?",negative,emotions of fear,emotional movement
635,GerDracor/brawe-der-freigeist.xml,51308,51354,Können Sie gegen meine Bitten so fühllos seyn?,negative,emotions of suffering,emotional movement
636,GerDracor/brawe-der-freigeist.xml,51355,51555,"Wo Sie mich jemals geliebt haben,
              Klerdon, – und Sie versicherten mich ja, daß Sie mich noch liebten, so stillen Sie
              mein Verlangen, erklären Sie dieses traurige Geheimniß.",negative,emotions of affection,love
637,GerDracor/brawe-der-freigeist.xml,51556,51620,"Wo Sie es noch nicht wissen, so wünschen Sie es nie zu erfahren.",negative,emotions of rejection,love
638,GerDracor/brawe-der-freigeist.xml,51621,51713,"Graun und Entsetzen
              ruhen drauf, eine Hölle von Frevel ist darinnen beisammen.",negative,emotions of fear,despair
