,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
443,GerDracor/goethe-egmont.xml,30034,30057,"Liebe Mutter, seid gut!",positive,emotions of affection,compassion
444,GerDracor/goethe-egmont.xml,30058,30227,"– Das Volk, was das denkt, die Nachbarinnen, was die
              murmeln – Diese Stube, dieses kleine Haus ist ein Himmel, seit Egmonts Liebe drin
              wohnt.",positive,emotions of affection,love
445,GerDracor/goethe-egmont.xml,30228,30250,Man muß ihm hold sein!,positive,emotions of affection,friendship
446,GerDracor/goethe-egmont.xml,30251,30264,das ist wahr.,negative,emotions of suffering,suffering
447,GerDracor/goethe-egmont.xml,30265,30308,"Er ist immer so freundlich, frei und offen.",positive,emotions of affection,joy
448,GerDracor/goethe-egmont.xml,30309,30342,Es ist keine falsche Ader an ihm.,positive,emotions of affection,admiration
449,GerDracor/goethe-egmont.xml,30343,30390,"Seht, Mutter, und er ist doch der große Egmont.",positive,emotions of joy,joy
450,GerDracor/goethe-egmont.xml,30391,30458,"Und
              wenn er zu mir kommt, wie er so lieb ist, so gut!",positive,emotions of affection,love
451,GerDracor/goethe-egmont.xml,30459,30530,"wie er mir seinen Stand, seine
              Tapferkeit gerne verbärge!",positive,emotions of affection,admiration
452,GerDracor/goethe-egmont.xml,30531,30558,wie er um mich besorgt ist!,negative,emotions of fear,emotional movement
453,GerDracor/goethe-egmont.xml,30559,30613,"so nur Mensch, nur Freund, nur
              Liebster.",positive,emotions of affection,friendship
454,GerDracor/goethe-egmont.xml,30614,30634,Kommt er wohl heute?,emotional movement,emotional movement,emotional movement
455,GerDracor/goethe-egmont.xml,30635,30682,Habt Ihr mich nicht oft ans Fenster gehen sehn?,positive,emotions of suffering,joy
456,GerDracor/goethe-egmont.xml,30683,30763,"Habt Ihr nicht bemerkt, wie ich
              horche, wenn's an der Tür rauscht?",negative,emotions of rejection,anger
457,GerDracor/goethe-egmont.xml,30764,30901,"– Ob ich schon weiß, daß er vor Nacht nicht kommt,
              vermut ich ihn doch jeden Augenblick, von morgens an, wenn ich aufstehe.",negative,emotions of fear,love
458,GerDracor/goethe-egmont.xml,30902,30993,"Wär ich nur
              ein Bube und könnte immer mit ihm gehen, zu Hofe und überall hin!",positive,emotions of affection,love
459,GerDracor/goethe-egmont.xml,30994,31055,"Könnt ihm die Fahne
              nachtragen in der Schlacht!",positive,emotions of affection,admiration
460,GerDracor/goethe-egmont.xml,31056,31164,"Du warst immer so ein Springinsfeld; als ein kleines Kind schon, bald toll, bald
              nachdenklich.",positive,emotions of affection,emotional movement
461,GerDracor/goethe-egmont.xml,31165,31206,Ziehst du dich nicht ein wenig besser an?,negative,emotions of suffering,joy
462,GerDracor/goethe-egmont.xml,31207,31226,"Vielleicht, Mutter!",negative,emotional movement,fear
463,GerDracor/goethe-egmont.xml,31227,31252,wenn ich Langeweile habe.,negative,emotions of rejection,anger
464,GerDracor/goethe-egmont.xml,31253,31348,"– Gestern, denkt, gingen von seinen
              Leuten vorbei und sangen Lobliedchen auf ihn.",positive,emotions of affection,joy
465,GerDracor/goethe-egmont.xml,31349,31389,Wenigstens war sein Name in den Liedern!,negative,emotions of affection,joy
466,GerDracor/goethe-egmont.xml,31404,31441,das übrige konnte ich nicht verstehn.,emotional movement,emotional movement,emotional movement
467,GerDracor/goethe-egmont.xml,31442,31478,Das Herz schlug mir bis an den Hals.,negative,emotions of suffering,suffering
468,GerDracor/goethe-egmont.xml,31479,31564,"– Ich hätte
              sie gern zurückgerufen, wenn ich mich nicht geschämt hätte.",negative,emotions of suffering,"hate, disgust"
469,GerDracor/goethe-egmont.xml,31565,31583,Nimm dich in acht!,positive,emotions of rejection,fear
470,GerDracor/goethe-egmont.xml,31584,31680,"Dein heftiges Wesen verdirbt noch alles; du verrätst dich offenbar
              vor den Leuten.",negative,emotions of rejection,anger
471,GerDracor/goethe-egmont.xml,31681,31815,"Wie neulich bei dem Vetter, wie du den Holzschnitt und die
              Beschreibung fandst und mit einem Schrei riefst: Graf Egmont!",negative,emotions of rejection,emotional movement
472,GerDracor/goethe-egmont.xml,31816,31836,– Ich ward feuerrot.,negative,emotions of fear,fear
473,GerDracor/goethe-egmont.xml,31837,31868,Hätt ich nicht schreien sollen?,negative,emotions of fear,fear
474,GerDracor/goethe-egmont.xml,31869,32300,"Es war die Schlacht bei Gravelingen, und ich finde
              oben im Bilde den Buchstaben C. und suche unten in der Beschreibung C. Steht da: ›Graf
              Egmont, dem das Pferd unter dem Leibe totgeschossen wird.‹ Mich überlief's – und
              hernach mußt ich lachen Über den holzgeschnitzten Egmont, der so groß war als der Turm
              von Gravelingen gleich dabei und die englischen Schiffe an der Seite.",positive,emotions of joy,joy
475,GerDracor/goethe-egmont.xml,32301,32577,"– Wenn ich mich
              manchmal erinnere, wie ich mir sonst eine Schlacht vorgestellt, und was ich mir als
              Mädchen für ein Bild vom Grafen Egmont machte, wenn sie von ihm erzählten, und von
              allen Grafen und Fürsten – und wie mir's jetzt ist!",positive,emotions of suffering,emotional movement
476,GerDracor/goethe-egmont.xml,32579,32611,"Brackenburg
              kommt.",emotional movement,emotions of joy,joy
477,GerDracor/goethe-egmont.xml,32612,32624,Wie steht's?,emotional movement,emotional movement,emotional movement
478,GerDracor/goethe-egmont.xml,32625,32650,Man weiß nichts Gewisses.,emotional movement,emotions of fear,fear
479,GerDracor/goethe-egmont.xml,32651,32782,"In Flandern soll neuerdings ein Tumult entstanden sein; die
              Regentin soll besorgen, er möchte sich hieher verbreiten.",negative,emotional movement,emotional movement
480,GerDracor/goethe-egmont.xml,32783,32896,"Das Schloß ist stark
              besetzt, die Bürger sind zahlreich an den Toren, das Volk summt in den Gassen.",negative,emotional movement,joy
481,GerDracor/goethe-egmont.xml,32897,32956,"– Ich
              will nur schnell zu meinem alten Vater.",negative,emotions of fear,emotional movement
482,GerDracor/goethe-egmont.xml,32957,32976,Als wollt er gehen.,negative,emotional movement,anger
483,GerDracor/goethe-egmont.xml,32977,32999,Sieht man Euch morgen?,positive,emotions of joy,emotional movement
484,GerDracor/goethe-egmont.xml,33000,33033,Ich will mich ein wenig anziehen.,negative,emotions of joy,anger
485,GerDracor/goethe-egmont.xml,33034,33101,"Der Vetter kommt, und ich
              sehe gar zu liederlich aus.",negative,emotions of rejection,Schadenfreude
486,GerDracor/goethe-egmont.xml,33102,33137,"Helft mir einen Augenblick, Mutter!",negative,emotional movement,emotional movement
487,GerDracor/goethe-egmont.xml,33138,33226,"– Nehmt das Buch mit,
              Brackenburg, und bringt mir wieder so eine Historie!",positive,emotions of joy,Schadenfreude
488,GerDracor/goethe-egmont.xml,33227,33237,Lebt wohl.,negative,emotions of suffering,suffering
489,GerDracor/goethe-egmont.xml,33238,33258,seine Hand reichend.,positive,emotions of affection,admiration
490,GerDracor/goethe-egmont.xml,33259,33269,Eure Hand!,negative,emotions of affection,love
491,GerDracor/goethe-egmont.xml,33270,33290,ihre Hand versagend.,negative,emotions of suffering,suffering
492,GerDracor/goethe-egmont.xml,33291,33312,Wenn Ihr wiederkommt.,positive,emotions of joy,joy
493,GerDracor/goethe-egmont.xml,33313,33335,Mutter und Tochter ab.,negative,emotional movement,suffering
494,GerDracor/goethe-egmont.xml,33336,33343,allein.,negative,emotions of suffering,suffering
495,GerDracor/goethe-egmont.xml,33344,33485,"Ich hatte mir vorgenommen, gerade wieder fortzugehn, und da sie es dafür aufnimmt und
              mich gehen läßt, möcht ich rasend werden.",negative,emotions of rejection,anger
496,GerDracor/goethe-egmont.xml,33486,33502,– Unglücklicher!,negative,emotions of suffering,suffering
497,GerDracor/goethe-egmont.xml,33503,33566,"und dich rührt deines
              Vaterlandes Geschick nicht?",negative,emotions of suffering,suffering
498,GerDracor/goethe-egmont.xml,33567,33594,der wachsende Tumult nicht?,negative,emotions of rejection,suffering
499,GerDracor/goethe-egmont.xml,33595,33737,"– und gleich ist dir Landsmann
                 Er zieht ein
                Fläschchen aus der  Jetter und ein Zimmermeister treten zusammen.",negative,emotional movement,joy
500,GerDracor/goethe-egmont.xml,33738,33762,Sagt ich's nicht voraus?,negative,emotions of fear,fear
501,GerDracor/goethe-egmont.xml,33763,33851,"Noch vor acht Tagen auf der Zunft sagt ich, es würde schwere
              Händel geben.",negative,emotions of suffering,suffering
502,GerDracor/goethe-egmont.xml,33852,33918,"Ist's denn wahr, daß sie die Kirchen in Flandern geplündert haben?",negative,emotions of rejection,anger
503,GerDracor/goethe-egmont.xml,33919,33982,Ganz und gar zugrunde gerichtet haben sie Kirchen und Kapellen.,negative,emotions of suffering,suffering
504,GerDracor/goethe-egmont.xml,33983,34055,"Nichts als die vier
              nackten Wände haben sie stehen lassen.",negative,emotions of suffering,suffering
