,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
2589,GerDracor/grabbe-napoleon.xml,171928,171934,Alarm!,negative,emotions of fear,emotional movement
2590,GerDracor/grabbe-napoleon.xml,171935,171975,Alle Truppen vorgeschoben nach Waterloo!,negative,emotions of fear,fear
2591,GerDracor/grabbe-napoleon.xml,171976,171994,Geliebte – Bleibe!,positive,emotions of affection,love
2592,GerDracor/grabbe-napoleon.xml,171995,172004,Darf ich?,negative,emotional movement,emotional movement
2593,GerDracor/grabbe-napoleon.xml,172005,172055,– Schon rasseln meine Batterien über das Pflaster!,negative,emotions of fear,suffering
2594,GerDracor/grabbe-napoleon.xml,172056,172099,"O, diese Räder – Sie gehen durch mein Herz!",positive,emotions of suffering,love
2595,GerDracor/grabbe-napoleon.xml,172100,172322,"Adeline, auch durch das meinige – Doch ich muß, ich muß – Wehe mir, die Rosenhimmel
              der Liebe auf deinen Wangen erbleichen – Welch ein schmerzliches Bild nehm ich mit in
              den Kampf – – Lebe wohl!",negative,emotions of suffering,suffering
2596,GerDracor/grabbe-napoleon.xml,172323,172354,Vielleicht sehn wir uns wieder!,positive,emotions of joy,joy
2597,GerDracor/grabbe-napoleon.xml,172355,172415,"– Diener, meine Braut zu
              ihrer Mutter geführt!",negative,emotions of affection,admiration
2598,GerDracor/grabbe-napoleon.xml,172416,172461,"Ab, – Adeline, in Ohnmacht, wird fortgeführt.",negative,emotions of suffering,suffering
2599,GerDracor/grabbe-napoleon.xml,172462,172549,"– Draußen marschiert Kavallerie,
              Artillerie, Infanterie, unter letzterer.",negative,emotions of fear,fear
2600,GerDracor/grabbe-napoleon.xml,172550,172590,singend unter Begleitung der Sackpfeife.,positive,emotions of joy,joy
2601,GerDracor/grabbe-napoleon.xml,172591,172667,"Clan Douglas, Clan Douglas, Die Mutter, sie weint –  Dort trotzet der Feind!",negative,emotions of suffering,suffering
2602,GerDracor/grabbe-napoleon.xml,172668,172733,"Clan Douglas, Clan Douglas, Fluß Avon blinkt schön – Was »schön«!",negative,emotions of joy,joy
2603,GerDracor/grabbe-napoleon.xml,172734,172757,Die Sachsen dran stehn!,negative,emotions of rejection,Schadenfreude
2604,GerDracor/grabbe-napoleon.xml,172758,172819,"Clan Douglas, Clan Douglas, Wie stürzt er Berg ab – Was »ab«!",negative,emotional movement,emotional movement
2605,GerDracor/grabbe-napoleon.xml,172820,172841,Wir kühn in das Grab!,negative,emotions of fear,despair
2606,GerDracor/grabbe-napoleon.xml,172842,172906,"Clan Douglas, Clan Douglas, Was jammert die Braut – Was »Braut«!",negative,emotions of suffering,compassion
2607,GerDracor/grabbe-napoleon.xml,172907,172932,Der Feind ist schon laut!,negative,emotions of rejection,fear
2608,GerDracor/grabbe-napoleon.xml,172933,172997,"Clan Douglas, Clan Douglas, Wie steil unser Stieg – Was »Stieg«!",emotional movement,emotions of suffering,emotional movement
2609,GerDracor/grabbe-napoleon.xml,172998,173058,"Zu Rache und Sieg, Clan Douglas, Clan Douglas, Clan Douglas!",positive,emotions of joy,"hate, disgust"
2610,GerDracor/grabbe-napoleon.xml,173059,173259,"Wetter, die Bergschotten sind eine brave, treue Nation, – Lieder auf die sächsischen
              Eroberer de anno 500 nach Christi Geburt begeistern sie noch heute gegen die
              Franzosen.",positive,emotions of joy,joy
2611,GerDracor/grabbe-napoleon.xml,173260,173405,"– – Meine Herren vom Generalstabe: Bonaparte hat uns getäuscht und
              überrascht, aber das alles läßt sich gutmachen durch Festigkeit.",negative,emotions of affection,joy
2612,GerDracor/grabbe-napoleon.xml,173406,173672,"Wir waren eben im
              Tanz begriffen, und sehr heiter, – seien wir in der Schlacht auch so, und die
              Franzosen sollen bestürzt aussehen, wenn sie ihre Erbfeinde nicht im Tanz, sondern
              gewaffnet und ruhig sich gegenüber erblicken.",positive,emotions of joy,joy
2613,GerDracor/grabbe-napoleon.xml,173673,173786,"Verteilen Sie sich in den Kantonnements,
              sorgen Sie, daß jeder Befehlshaber seine Schuldigkeit tut.",negative,emotions of rejection,anger
2614,GerDracor/grabbe-napoleon.xml,173787,173946,"Ja keine Unordnung unter
              den Truppen, – die strengste Disziplin geübt, – aber den Leuten Lebensmittel gegeben,
              soviel aufzutreiben.",negative,emotions of suffering,anger
2615,GerDracor/grabbe-napoleon.xml,173947,173953,Adieu!,negative,emotions of suffering,anger
2616,GerDracor/grabbe-napoleon.xml,173954,173986,"Ab, – die Offiziere gleichfalls.",negative,emotional movement,suffering
2617,GerDracor/grabbe-napoleon.xml,173987,174017,Abgeräumt – Das Volk ist fort.,negative,emotions of rejection,suffering
2618,GerDracor/grabbe-napoleon.xml,174018,174092,Alle Reste in die Tasche – Da Kuchen  Halbvolle Weinflaschen stehen dabei.,positive,emotions of rejection,joy
2619,GerDracor/grabbe-napoleon.xml,174093,174154,"Nehmt und trinkt sie aus mit den
              Hausmamsellen.",positive,emotions of rejection,Schadenfreude
2620,GerDracor/grabbe-napoleon.xml,174155,174164,Für sich.,positive,emotions of suffering,emotional movement
2621,GerDracor/grabbe-napoleon.xml,174165,174243,"Ah, da find ich eine Brillantnadel – Himmel, wie das marschiert und trottiert!",positive,emotions of joy,joy
