,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
195,GerDracor/heine-almansor.xml,17691,17707,"Gut, Señor, gut.",positive,emotions of joy,joy
196,GerDracor/heine-almansor.xml,17708,17767,Aly und ein Ritter treten in der Türe den Vorigen entgegen.,positive,emotions of joy,fear
197,GerDracor/heine-almansor.xml,17768,17797,er faßt Don Enrique beim Arm.,positive,emotions of affection,love
198,GerDracor/heine-almansor.xml,17798,17881,"Nein, liebe Clara, laß mir deinen Bräut'gam; Hier Don Rodrigo führet dich zum Saal.",negative,emotions of rejection,suffering
199,GerDracor/heine-almansor.xml,17882,17919,"Zuleima, vom Ritter geführt, geht ab.",negative,emotions of fear,suffering
200,GerDracor/heine-almansor.xml,17920,17949,Die Mitteltüre schließt sich.,negative,emotional movement,suffering
201,GerDracor/heine-almansor.xml,17950,17974,Ich wundre mich – ernst.,negative,emotions of suffering,suffering
202,GerDracor/heine-almansor.xml,17975,18111,"Erinnert Ihr Euch nicht, Daß ich noch ein Geheimnis für Euch habe, Das ich versprach, noch vor dem Hochzeitstag Euch mitzuteilen, Señor?",positive,emotions of affection,joy
203,GerDracor/heine-almansor.xml,18112,18139,neugierig und schmeichelnd.,positive,emotions of affection,emotional movement
204,GerDracor/heine-almansor.xml,18140,18270,"Ach, ihr habt So vieles schon für mich getan – Ich nichts, Nur, nur von Doña Clara hing es ab, Ob sie die Hand Euch reichen wollt.",negative,emotions of affection,love
205,GerDracor/heine-almansor.xml,18271,18322,"Nein, Señor, Nur Eure Stimme, die des Vaters, galt.",positive,emotions of affection,love
206,GerDracor/heine-almansor.xml,18323,18377,"Wohl hatt ich Gründe, Claras Hand Euch nicht Zu geben.",positive,emotions of affection,suffering
207,GerDracor/heine-almansor.xml,18378,18409,Doch ich hatte nicht das Recht.,negative,emotions of rejection,suffering
208,GerDracor/heine-almansor.xml,18410,18450,Denn wisset: Claras Vater bin ich nicht.,negative,emotions of joy,love
209,GerDracor/heine-almansor.xml,18451,18461,kleinlaut.,emotional movement,emotions of suffering,anger
210,GerDracor/heine-almansor.xml,18462,18478,Ihr Vater nicht?,emotional movement,emotional movement,emotional movement
211,GerDracor/heine-almansor.xml,18479,18488,lächelnd.,positive,emotions of joy,joy
212,GerDracor/heine-almansor.xml,18489,18512,"Seid ohne Sorge, Señor.",negative,emotions of fear,fear
213,GerDracor/heine-almansor.xml,18513,18592,Urkundlich und durch Testamentes Kraft Hab ich sie anerkannt als eigne Tochter.,positive,emotions of affection,love
214,GerDracor/heine-almansor.xml,18594,18625,Verfügen konnte über ihre Hand.,positive,emotions of affection,love
215,GerDracor/heine-almansor.xml,18626,18698,"Doch merkt's Euch, niemand hier, sie selber nicht, Kennt dies Geheimnis.",positive,emotions of affection,love
216,GerDracor/heine-almansor.xml,18699,18769,"Señor, staunen muß ich – Mitteilen aber muß ich's Euch, dem Bräut'gam.",emotional movement,emotional movement,emotional movement
217,GerDracor/heine-almansor.xml,18770,18937,"Doch erst gelobt mir, daß Ihr es verschweigt, Sogar vor Eurer Braut, damit ich ihr Den großen Schmerz erspare, und die Ruh' Aus ihrem süßen Herzchen nicht verscheuche.",negative,emotions of suffering,suffering
218,GerDracor/heine-almansor.xml,18938,18962,gibt ihm den Handschlag.,positive,emotions of affection,admiration
219,GerDracor/heine-almansor.xml,18963,19005,Mit meinem Ritterwort gelob ich Schweigen.,negative,emotions of affection,admiration
220,GerDracor/heine-almansor.xml,19006,19050,"Ihr wißt, ich hieß nicht immer Don Gonzalvo.",positive,emotions of rejection,Schadenfreude
221,GerDracor/heine-almansor.xml,19051,19135,"Nicht minder schön und herrlich war der Name, Den jedermann Euch gab, dem guten Aly.",positive,emotions of affection,joy
222,GerDracor/heine-almansor.xml,19136,19143,"Ja, ja!",positive,emotions of joy,anger
223,GerDracor/heine-almansor.xml,19144,19173,den guten Aly nannt man mich!,positive,emotions of affection,joy
224,GerDracor/heine-almansor.xml,19174,19236,Doch hätt man mich mit besserm Recht genannt: Den glücklichen.,positive,emotions of joy,joy
225,GerDracor/heine-almansor.xml,19237,19302,"Denn Aly war einst glücklich, Durch Freundschaft und durch Liebe.",positive,emotions of affection,joy
226,GerDracor/heine-almansor.xml,19303,19358,"Einen Freund, Den seltensten der Schätze, gab mir Gott.",positive,emotions of affection,friendship
227,GerDracor/heine-almansor.xml,19359,19537,"Und auch ein Weib, ein Weib, so schön, so mild – Nein, Sünde ist es, sie ein Weib zu nennen – Ein Engel lag an meinem sel'gen Herzen; Und auch noch Vaterfreuden sollt ich fühlen.",positive,emotions of affection,love
228,GerDracor/heine-almansor.xml,19538,19633,Mein holdes Weib gebar mir einen Knaben; Sie selber aber wurde bleich und bleicher – Und starb.,negative,emotions of suffering,suffering
229,GerDracor/heine-almansor.xml,19635,19794,"Und da sein Weib, just zu derselben Zeit, Ein Töchterchen gebar, hat diese Gute Zu sich genommen mein verwaistes Kind, Und großgesäugt und mütterlich gepflegt.",positive,emotions of suffering,love
230,GerDracor/heine-almansor.xml,19795,19950,"Doch als ich wieder zu mir nahm ins Schloß Den Schmerzensohn, ergriff, bei seinem Anblick, Mich jedesmal aufs neu' der alte Schmerz Ob seiner toten Mutter.",negative,emotions of suffering,suffering
