,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
478,GerDracor/leisewitz-julius-von-tarent.xml,41708,41724,Ist das Vorwurf?,negative,emotions of rejection,anger
479,GerDracor/leisewitz-julius-von-tarent.xml,41725,41831,"– – Wissen Sie es, Aspermonte, jeder hat seine eigne Vernunft, wie
              seinen eignen Regenbogen!",positive,emotions of joy,joy
480,GerDracor/leisewitz-julius-von-tarent.xml,41832,41908,"– Ich die Vernunft der Liebe; – Sie die Vernunft der
              Trägheit!",positive,emotions of rejection,love
481,GerDracor/leisewitz-julius-von-tarent.xml,41909,42069,"– – Wenn wir keinen Augenblick von Leidenschaften frei sind, und die
              Leidenschaften über uns herrschen, was ist der eingebildete göttliche Funken?",emotional movement,emotional movement,emotional movement
482,GerDracor/leisewitz-julius-von-tarent.xml,42070,42206,"da
              dunsten aus dem kochenden Herzen feinere und kraftlosere Teile – steigen ins Gehirn,
              und heißen Vernunft.",negative,emotional movement,suffering
483,GerDracor/leisewitz-julius-von-tarent.xml,42207,42252,Aber eben deswegen müssen wir nicht streiten.,negative,emotions of rejection,anger
484,GerDracor/leisewitz-julius-von-tarent.xml,42253,42437,"Hören Sie lieber
              das Resultat meiner Entschließungen – ich kann, ich kann diesen fürchterlichen Monat
              nicht aushalten – Morgen will ich mit Blanka von hier.",negative,emotions of suffering,suffering
485,GerDracor/leisewitz-julius-von-tarent.xml,42438,42445,Morgen?,emotional movement,emotional movement,emotional movement
486,GerDracor/leisewitz-julius-von-tarent.xml,42446,42456,Ja morgen!,negative,emotions of joy,anger
487,GerDracor/leisewitz-julius-von-tarent.xml,42457,42462,– Ha!,emotional movement,emotional movement,emotional movement
488,GerDracor/leisewitz-julius-von-tarent.xml,42463,42558,"mir ist in Tarent so bange, als wenn die Mauren über mich
              zusammenstürzen würden.",negative,emotions of fear,fear
489,GerDracor/leisewitz-julius-von-tarent.xml,42559,42724,"Heute früh wollten Sie noch einen ganzen Monat abwarten, und itzt keinen Tag, und
              doch haben Sie keinen einzigen Grund zur Flucht mehr, als heute früh.",negative,emotions of fear,fear
490,GerDracor/leisewitz-julius-von-tarent.xml,42725,42743,Keinen Grund mehr?,negative,emotions of rejection,anger
491,GerDracor/leisewitz-julius-von-tarent.xml,42744,42780,Hab ich sie denn nicht weinen sehen?,negative,emotions of suffering,suffering
492,GerDracor/leisewitz-julius-von-tarent.xml,42781,43026,"Ziehen Sie hin, und lassen Sie Ihren Vater in seinem Sterbezimmer umsonst nach einem
              Sohne suchen – Ach, Sie wissen es noch nicht, was es für eine Wollust ist, einem
              kranken Vater die Küssen zu legen – Ziehen Sie hin!",negative,emotions of joy,joy
