,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
286,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,16449,16510,"– Oder – sind es Grab und Tod, Die mir ihre Schrecken senden?",negative,emotions of fear,fear
287,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,16511,16580,"– Komm' ich nicht, um hier zu  (Nachdem er einige Schritte gegangen.)",negative,emotional movement,suffering
288,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,16581,16621,Dem  Wo er dem Boden frisch entsprossen.,positive,emotions of joy,joy
289,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,16622,16681,"Stets weiter eilt die  Vom Felsenquell, dem sie entflossen.",positive,emotions of fear,suffering
290,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,16682,16733,Die Bahn der  Der  Stirbt freudig nur im Vaterland.,negative,emotions of joy,joy
291,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,16734,16838,"Erkoren für die Ewigkeit, Malt er im Lauf, den er vollbringet,  Die Schlange, die zum Kreis sich ringet.",positive,emotions of rejection,admiration
292,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,16839,16927,"Das Ende an den Anfang schlinget Sein Thun, und glücklich, wenn er fand Das  Der Fremde.",positive,emotions of joy,joy
293,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,16928,16974,"Walter mit Wein, Sophie mit Gläsern und Imbiß.",positive,emotional movement,joy
294,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,16975,17072,"Emil setzt sich in einen
          Lehnstuhl im Hintergrunde, und sieht in das Licht der Laterne.",emotional movement,emotional movement,suffering
295,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17073,17120,"Dann löscht er es aus und
          entschläft.",negative,emotions of suffering,suffering
296,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17121,17133,Trinkt denn!,negative,emotions of suffering,compassion
297,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17134,17157,Wein erneut die Kräfte.,negative,emotions of suffering,suffering
298,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17158,17165,Prosit!,positive,emotions of joy,joy
299,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17166,17171,Dank!,negative,emotions of joy,joy
300,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17172,17192,– Nun zum Geschäfte.,negative,emotions of rejection,anger
301,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17193,17233,der mit Waltern sich an den Tisch setzt.,emotional movement,emotional movement,suffering
302,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17234,17241,Gleich!,negative,emotional movement,anger
303,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17242,17276,– Ihr hattet in Amerika Einen Ohm?,emotional movement,emotional movement,emotional movement
304,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17277,17280,Hm!,emotional movement,emotional movement,emotional movement
305,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17281,17298,"Vatersbruder, ja.",positive,emotions of joy,anger
306,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17299,17330,Hab' als Kind ihn noch gekannt.,positive,emotions of affection,love
307,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17331,17423,"Möchtet Ihr ihn nicht  Wer sein Brod weiß zu erwerben, Wünscht nicht todt, was ihm verwandt.",negative,emotions of affection,love
308,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17424,17459,"– Was Gott will, das wird geschehn.",positive,emotions of joy,joy
309,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17460,17520,"'s  Ob er Euch schon wenig kannte,  mit mißtrauischem Blick.",negative,emotions of rejection,"hate, disgust"
310,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17521,17524,So?,emotional movement,emotional movement,emotional movement
311,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17525,17537,am Jagdnetz.,negative,emotions of rejection,anger
312,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17538,17555,Das wär ja schön.,positive,emotions of joy,joy
313,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17556,17580,Euch und Eure Schwester.,positive,emotions of suffering,compassion
314,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17581,17585,Wen?,emotional movement,emotional movement,emotional movement
315,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17586,17618,– Ihr seyd irr': ich habe keine.,emotional movement,emotions of joy,emotional movement
316,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17619,17623,Wie?,emotional movement,emotional movement,emotional movement
317,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17624,17641,Ihr wißt nicht –?,negative,emotional movement,emotional movement
318,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17642,17656,Hatt' sie nie.,negative,emotions of affection,love
319,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17657,17666,vor sich.,negative,emotions of suffering,suffering
320,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17667,17732,Fährt es mir doch plötzlich wie Fieberfrost durch Mark und Beine!,negative,emotions of suffering,suffering
321,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17733,17746,– Armes Kind!,negative,emotions of suffering,compassion
322,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17747,17759,– Verlaßnes!,negative,emotions of suffering,fear
323,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17760,17766,– Nun?,negative,emotional movement,emotional movement
324,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17767,17802,Wollt Ihr nicht Bescheid mehr thun?,negative,emotions of rejection,anger
325,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17803,17872,– Weiter könnt Ihr hier nichts fischen Mit der Nachricht aus Amerika.,negative,emotions of rejection,suffering
326,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17873,17917,"Ihr versteht's nicht, Mährchen aufzutischen.",negative,emotions of rejection,anger
327,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17918,17940,zieht die Brieftasche.,emotional movement,emotional movement,emotional movement
328,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17941,17948,Walter!,emotional movement,emotional movement,emotional movement
329,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17949,17975,– Ihr habt eine Schwester!,positive,emotions of affection,love
330,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17976,17992,– Da Der Beweis.,negative,emotions of joy,anger
331,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,17993,18016,Des Vaters Handschrift.,negative,emotional movement,emotional movement
332,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18017,18057,"– Na, Das soll mich doch sehr verlangen.",negative,emotions of rejection,anger
333,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18058,18069,(er liest.),emotional movement,emotional movement,emotional movement
334,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18070,18079,zur Frau.,negative,emotions of suffering,love
335,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18080,18105,"Höret, wie es zugegangen!",positive,emotions of suffering,anger
336,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18106,18187,Jacob Horst vermählte sich Mit der ält'sten Tochter des Königlichen Falkenierers.,positive,emotions of joy,joy
337,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18188,18196,Richtig!,negative,emotions of rejection,anger
338,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18197,18234,Mit der zeugt' er  Und sonst niemand.,positive,emotions of affection,love
339,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18235,18293,Ja – indeß – In die Stricke des Verführers Fiel sein Herz.,positive,emotions of affection,love
340,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18294,18414,"– Des Schwiegervaters jüngres Kind,  Ward ihm lieb bey einem Schmause, Den der Falkner gab, weil Horst's Geburtstag war.",positive,emotions of joy,joy
341,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18415,18477,Er beging ihn – wie die Menschen  Immer hoch: denn er war rar.,negative,emotions of suffering,admiration
342,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18478,18553,"'s war der neun- und zwanzigste im Februar, Der nur kömmt um's vierte Jahr.",positive,emotions of joy,joy
343,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18554,18568,Der ist heute.,positive,emotions of joy,joy
344,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18569,18618,"erschrickt und blickt nach der Thür: Ja, fürwahr!",negative,emotions of fear,fear
345,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18619,18678,"– Auch sein  Ein schlimmer Tag im Jahr, das sag' ich immer.",negative,emotions of suffering,suffering
346,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18679,18777,"'s ist kein Tag, den  Thöricht  Keinen Tag gibt's, unter allen, Wo der Mensch nicht könnte fallen!",negative,emotions of suffering,joy
347,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18778,18801,Agnes  Eurer Schwester.,positive,emotions of affection,love
348,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18802,18938,"Euer Ohm, Damals Schulherr in Gemind, Sah – nach heimlichem Gebähren – An der Brust das Schmerzenskind, Sie zur Seel'gen sich verklären.",negative,emotions of suffering,suffering
349,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18939,18947,freudig.,positive,emotions of joy,joy
350,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18948,18960,"Ja, fürwahr!",positive,emotions of suffering,suffering
351,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18961,18970,– Sophie!,emotional movement,emotional movement,emotional movement
352,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,18971,19251,"Er schreibt Seinem Bruder hier: »Beweibt – Schmerzlich geh' es ihm zwar ein, Daß es also solle seyn – Dennoch müß' er drauf bestehen, Daß die Frucht verbotner Liebe Fern von ihm, und streng verborgen bliebe, Bis sein Weib einst, oder er, Würde heim zum Vater gehen.« ihn umarmend.",negative,emotions of suffering,suffering
353,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,19252,19269,"Heil uns, Walter!",positive,emotions of joy,suffering
354,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,19270,19277,Sophie!,emotional movement,emotional movement,emotional movement
355,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,19278,19290,zum Fremden.,negative,emotional movement,emotional movement
356,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,19291,19327,"Her Euren Mund, ich muß Euch küssen.",positive,emotions of affection,love
357,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,19328,19339,überrascht.,emotional movement,emotional movement,emotional movement
358,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,19340,19356,Junges Weibchen!,positive,emotions of joy,emotional movement
359,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,19357,19478,"Ihr sollt wissen: Einen Stein, der Centnerschwer Uns zwölf Jahre lang beklommen, Habt Ihr heut von unsrer Brust genommen!",negative,emotions of suffering,love
360,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,19479,19501,ihm die Hand drückend.,positive,emotions of affection,admiration
361,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,19502,19517,"Ja, mein' Seel!",positive,emotions of joy,compassion
362,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,19518,19542,Dank für die frohe Mähr!,positive,emotions of joy,joy
