,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1918,GerDracor/muellner-koenig-yngurd.xml,121024,121045,Mit steigendem Eifer.,emotional movement,emotional movement,anger
1919,GerDracor/muellner-koenig-yngurd.xml,121046,121051,Nein.,emotional movement,emotions of joy,emotional movement
1920,GerDracor/muellner-koenig-yngurd.xml,121052,121057,Nein!,emotional movement,emotions of rejection,emotional movement
1921,GerDracor/muellner-koenig-yngurd.xml,121058,121174,"Der süße Zitherschläger weiß, Daß Kron' und Haupt Eins sind beim Helden; denn Sprach er's nicht selber aus im Lager?",positive,emotions of affection,love
1922,GerDracor/muellner-koenig-yngurd.xml,121175,121218,"Wenn Er um mein Leben spielen will, wohlan!",negative,emotions of rejection,fear
1923,GerDracor/muellner-koenig-yngurd.xml,121219,121257,"Ich bin bereit, er setze seines d'ran.",negative,emotions of fear,fear
1924,GerDracor/muellner-koenig-yngurd.xml,121258,121440,"Auf eines Knechtes würfelhaften Sinn Gilt unsre Wett', und Eins steht gegen Drei Zu Oskars Vortheil: Muth und Witz und Treu:  Wenn Eins ihm  Wer sagt, daß ich ein feiger Spieler bin?",positive,emotions of rejection,Schadenfreude
1925,GerDracor/muellner-koenig-yngurd.xml,121441,121445,Wer?,emotional movement,emotional movement,emotional movement
1926,GerDracor/muellner-koenig-yngurd.xml,121446,121485,– Jeder Pulsschlag in den vollen Adern.,negative,emotions of suffering,emotional movement
1927,GerDracor/muellner-koenig-yngurd.xml,121486,121728,"Gespannt nur hab' ich erst den Bogen, noch Ist's nur Gedank', ist ungeschehn; und doch Fängt Herz und Hirn so mächtig an zu hadern In mir, daß ich's nicht tragen könnte, wenn Ich nicht gewiß wär':  Jetzt ist er sicher unter'm Aug' der Frauen.",negative,emotional movement,emotional movement
1928,GerDracor/muellner-koenig-yngurd.xml,121729,121751,Wär's nur vorbei erst!,negative,emotions of suffering,compassion
1929,GerDracor/muellner-koenig-yngurd.xml,121752,121834,"–  Die wird vorbei seyn einst; ein rollend Rad Geht alles, was geschieht, vorüber.",negative,emotions of suffering,suffering
