,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
675,GerDracor/schlegel-canut.xml,54463,54512,"Ein Sieg ist nicht genug, um Helden zu vergnügen.",positive,emotions of joy,joy
676,GerDracor/schlegel-canut.xml,54513,54563,Sie sammlen Sieg zu Sieg und wählen in den Siegen.,positive,emotions of joy,joy
677,GerDracor/schlegel-canut.xml,54564,54572,Und wie?,emotional movement,emotional movement,emotional movement
678,GerDracor/schlegel-canut.xml,54573,54719,"ich zöge hin in ein barbarisch Land,  Canut, der sich dadurch vor mir gesichert glaubet, Meynt, daß man mir so leicht die Macht zu schaden raubet.",negative,emotions of rejection,"hate, disgust"
679,GerDracor/schlegel-canut.xml,54720,54768,"Wen man zu fürchten hat, dem gebe man kein Heer.",negative,emotions of fear,fear
680,GerDracor/schlegel-canut.xml,54769,54828,Canut nur ist mein Feind: sonst kein Sieg reitzt mich mehr.,negative,emotions of rejection,"hate, disgust"
681,GerDracor/schlegel-canut.xml,54829,54930,"Nun geh ich freudenvoll, die Wunden zu verbinden, Ich will mit größrem Ruhm bald wieder andre finden.",positive,emotions of joy,joy
682,GerDracor/schlegel-canut.xml,54931,54948,"Estrithe, Haqvin.",emotional movement,emotional movement,emotional movement
683,GerDracor/schlegel-canut.xml,54949,54953,Wie?,emotional movement,emotional movement,emotional movement
684,GerDracor/schlegel-canut.xml,54954,55551,"da mir selbst Canut die frohe Bothschaft bringt, Daß endlich seine Huld des Ulfo Haß bezwingt; Da mein Gemahl beschämt die Ehrsucht, die ihn qvälet, Zu besserm Zwecke lenkt und fremde Feinde wählet; Da er voll Ungeduld schon seine Völker zählt, Und ihm, vergnügt zu seyn, nur noch sein Aufbruch fehlt: So kömmst du noch, Haqvin, den Grund von seinem Herzen Bey seinem Könige durch Argwohn anzuschwärzen, Verklagest nun zu späth die schon gestillte Wut, Entdeckst, er rühme sich als Sieger des Canut, Und muntre durch das Lob von seinen eignen Thaten Viel hundert Helden auf die Treue zu verrathen?",negative,emotions of joy,joy
