,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
165,GerDracor/sturz-julie.xml,19370,19517,"Getroffen – und dennoch ist es der artigste Herr von der Welt, der jedermann und auch
              unser einem  Was mag ihr denn in Kopfe stecken?",positive,emotions of rejection,admiration
166,GerDracor/sturz-julie.xml,19518,19551,vielleicht ein älterer Liebhaber?,emotional movement,emotions of affection,emotional movement
167,GerDracor/sturz-julie.xml,19552,20009,"Da liegt es eben, denn wie das Gemurmel im Hause geht, so hat sich die gute Fräulein
              verplempert, wie man zu sagen pflegt, Sie hat sich in einen jungen Menschen vergafft,
              dem mein Herr aus Barmherzigkeit das liebe Brod gegeben hatte, und der nun in der Welt
              herum streift, oder irgend wo in einem Stockhause sitzt, Gott weiß wo; wenn man ihn
              ertappen könnte, ich möchte den Lohn nicht mit ihm theilen.",negative,emotions of rejection,anger
168,GerDracor/sturz-julie.xml,20010,20055,"So – Hier guter Freund, auf meine Gesundheit.",positive,emotions of affection,friendship
169,GerDracor/sturz-julie.xml,20057,20072,Giebt ihm Geld.,negative,emotions of rejection,anger
170,GerDracor/sturz-julie.xml,20073,20212,"O ich bitte schönstens – Hingenommen, und das soll das letzte nicht seyn – aber um einen kleinen Gegendienst
              will ich bitten.",negative,emotions of suffering,anger
171,GerDracor/sturz-julie.xml,20213,20252,"O Sie haben zu befehlen, gnädiger Herr!",negative,emotions of rejection,anger
172,GerDracor/sturz-julie.xml,20253,20646,"Er muß mir den Gefallen thun, und von allem Nachricht geben, was diese Hochzeit
              angeht, alles was vorfällt, Freund, und wenn es noch so gering wäre; ich werde mich
              noch einige Tage hier im Wirthshause aufhalten; ich möchte doch wohl wissen, was die
              Sache für ein Ende nähme, und ein tiefes Geheimniß, hört Er – niemand darf darum
              wissen.",positive,emotional movement,anger
173,GerDracor/sturz-julie.xml,20647,20670,Er soll belohnt werden.,positive,emotions of joy,joy
174,GerDracor/sturz-julie.xml,20671,20750,"Sie können sich darauf verlassen, gnädiger Herr, ich werde mir alle Mühe geben.",negative,emotions of affection,admiration
175,GerDracor/sturz-julie.xml,20751,20786,"Sie
              sind allzugnädig.",negative,emotions of affection,compassion
176,GerDracor/sturz-julie.xml,20787,20818,Verbeugt sich tief und geht ab.,positive,emotions of affection,admiration
177,GerDracor/sturz-julie.xml,20819,20839,Belmont und Werneck.,emotional movement,emotions of rejection,emotional movement
178,GerDracor/sturz-julie.xml,20840,21047,"Hier Werneck, hier ist Freundschaft vonnöthen, hier müssen Sie rathen – handeln –
              alles thun – denn ich kann nichts – ich kenne keinen Weg kein Mittel – es ist dunkel
              vor mir her.",negative,emotions of fear,suffering
179,GerDracor/sturz-julie.xml,21049,21068,Geht unruhig herum.,emotional movement,emotional movement,emotional movement
180,GerDracor/sturz-julie.xml,21069,21227,"Was ich Ihnen immer sage, Gedult haben, lassen Sie Ihre Freundin handeln, Sie liebt
              Sie viel zu zärtlich, als daß Sie jemals einwilligen sollte.",positive,emotions of affection,love
181,GerDracor/sturz-julie.xml,21228,21242,Sagen Sie das?,negative,emotions of fear,anger
182,GerDracor/sturz-julie.xml,21243,21383,"Sie liebt mich zu zärtlich, sagen Sie, und seit sechs Monat keinen
              Laut von Ihr, könnte Sie weniger thun, wenn Sie mich haßte.",negative,emotions of affection,love
183,GerDracor/sturz-julie.xml,21384,21415,Weiß Sie Ihren Aufenthalt auch?,positive,emotional movement,emotional movement
184,GerDracor/sturz-julie.xml,21416,21484,"Ohne Zweifel, wenn ihr mein letzter Brief in die Hände gekommen ist.",negative,emotions of suffering,suffering
185,GerDracor/sturz-julie.xml,21485,21595,"Sie vermuthen wohl ohne meine Erinnerung, daß man sich alle Mühe giebt, ihre Briefe
              aufzufangen!",negative,emotions of joy,anger
186,GerDracor/sturz-julie.xml,21596,21902,"O trösten Sie mich nicht mit Vermuthung, mit Möglichkeiten, erinnern Sie sich, daß
              Julie zum Gehorsam, zur Sklaverey gewöhnt ist, daß ihr Oncle ein wilder Bösewicht ist,
              der ihren Vater verhärtet, und jeder Empfindung der Menschlichkeit in sein Herz zurück
              treibt!",negative,emotions of fear,suffering
187,GerDracor/sturz-julie.xml,21903,22038,"o ich zittere, wenn ich dran denke, wenn Sie gehorcht, Freund, wenn Sie
              gehorcht, ha so – bin ich im Abgrunde des Elends.",negative,emotions of fear,fear
188,GerDracor/sturz-julie.xml,22039,22049,Mein Gott!,negative,emotions of fear,fear
189,GerDracor/sturz-julie.xml,22050,22140,"wie trübe Sie alles sehen, haben Sie nicht eben von ihrem Widerstand
              gehört?",negative,emotions of suffering,suffering
190,GerDracor/sturz-julie.xml,22141,22204,trauen Sie ihr nach so langen Kämpfen keine Standhaftigkeit zu?,negative,emotions of rejection,emotional movement
191,GerDracor/sturz-julie.xml,22205,22573,"Kämpfe sind es, Werneck, das ist wahr, gegen einen Vater den Sie liebt, gegen einen
              Oncle den Sie fürchtet, zum Vortheile eines Liebhabers, der nach ihrer Meynung weit
              von Ihr ist, den Sie nicht sieht, dessen Stimme Sie nicht hört, der todt seyn kann;
              wenn man meine Briefe auffängt, womit sollte sich diese Liebe wohl nähren?",positive,emotions of affection,love
192,GerDracor/sturz-julie.xml,22574,22727,"wie kann
              sie immer stark genug seyn, sich gegen Drohungen, gegen da noch weit mehr mächtige
              Bitten Ihres Vaters zu behaupten?",emotional movement,emotions of suffering,emotional movement
193,GerDracor/sturz-julie.xml,22728,22957,"Nein Werneck, schmeicheln Sie mir nicht mit einer
              betrügerischen Hoffnung, gewöhnen Sie mich lieber nach und nach auf die Donnerwolke zu
              sehen, die über meinem Haupt hängt, die mich zerschmettern wird.",positive,emotions of fear,suffering
194,GerDracor/sturz-julie.xml,22958,23054,"Aber was das für ein
              Mann seyn muß – dieser Woldemar – verabscheuen Sie ihn nicht?",negative,emotions of rejection,"hate, disgust"
195,GerDracor/sturz-julie.xml,23055,23220,"Weil Er Ihre Julie eben so liebenswürdig findet als Sie – weil Er eine Verbindung
              vollziehen will, die schon so lange unter den Vätern geschlossen ist?",positive,emotions of affection,love
196,GerDracor/sturz-julie.xml,23221,23231,verachten?,negative,emotions of rejection,"hate, disgust"
197,GerDracor/sturz-julie.xml,23232,23350,"ich
              kann das nicht sagen, Belmont, man sagt, daß er ein verdienstvoller Mann ist – Sind Sie mein Freund?",positive,emotions of affection,friendship
198,GerDracor/sturz-julie.xml,23351,23638,"nennen Sie den einen verdienstvollen Mann, der sich mit dem
              Ansehen eines  Belmont – Sie werden gewiß mit dieser Hitze noch alles verderben – was das für
              Ausbrüche sind – wenn Sie noch länger meinen Rath erwarten – so müssen Sie gelassener
              seyn.",negative,emotions of rejection,anger
199,GerDracor/sturz-julie.xml,23639,23749,"Gebieten Sie dem Sturmwind zu säuseln – und der Flamme zu säumen; mir gebieten Sie
              Gelassenheit?",emotional movement,emotional movement,emotional movement
200,GerDracor/sturz-julie.xml,23750,24029,"o Werneck – Sie sind kalt – Sie kennen die Leidenschaft nicht – Und ich sage Ihnen, liebster Belmont, alle Umstände, die Sie bisher wissen, sind
              nicht nachtheilig – ein Mägdchen, das so lange Muth gehabt hat, ist  Lassen Sie mich – Sie muß wissen, daß ich hier bin.",negative,emotions of affection,emotional movement
