,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/tieck-ritter-blaubart.xml,0,219," Der Zauberstab des Dichters schließt uns oft Die fernsten, wundervollsten Welten auf, Und trunken kehrt der Blick aus Sonnenschein Aus fremden Blumen, schöngeformten Bäumen Und Kriegen, Schlachten zu uns selbst zurück.",positive,emotions of joy,joy
1,GerDracor/tieck-ritter-blaubart.xml,220,342,"Doch fernab, heimlich im Gebüsch versteckt, Liegt eine alte Grotte, lange nicht Geöffnet, kaum ist noch die Tür zu kennen.",negative,emotions of suffering,suffering
2,GerDracor/tieck-ritter-blaubart.xml,343,535,"So dick von Efeu alles überwachsen, Und wilde Nelken hängen rot herüber, Und drinnen hört man seltsam leise Töne, Die manchmal toben und dann musikalisch Verhallen, wie gefangne Tiere winseln.",positive,emotions of suffering,suffering
3,GerDracor/tieck-ritter-blaubart.xml,536,698,"– Es ist der Kindheit zauberreiche Grotte, In der der Schreck und liebe Albernheit Verschlungen sitzen, dem, der nähertritt, Ein altes Lied im leisen Tone summen.",positive,emotions of joy,joy
4,GerDracor/tieck-ritter-blaubart.xml,699,819,"Vergönnt dem Dichter, diese Tür zu öffnen, Hört gerne zu dem lispelnden Gesang, Der sich in wilden dunkeln Blumen wiegt.",positive,emotions of joy,joy
5,GerDracor/tieck-ritter-blaubart.xml,820,1030,"Seht, wie mit Steinen und mit Muschelwerk Die Wand ein eigensinn'ger Fleiß geputzt, Wie Schatten auf- und abwärts schweben, laßt Durch Traumgestalten euch ergötzen, stört Mit hartem Ernste nicht die Gaukelnden.",positive,emotions of joy,joy
6,GerDracor/tieck-ritter-blaubart.xml,1031,1063,Saal auf dem Schlosse Wallenrod.,negative,emotions of joy,joy
7,GerDracor/tieck-ritter-blaubart.xml,1064,1181,"Ritter Heymon von Wallenrod, sein Bruder Ritter Konrad, ihr Vetter Martin von
            Felsberg und andere Ritter.",negative,emotions of rejection,Schadenfreude
8,GerDracor/tieck-ritter-blaubart.xml,1182,1211,Sind wir nun alle versammelt?,emotional movement,emotional movement,emotional movement
9,GerDracor/tieck-ritter-blaubart.xml,1212,1229,Es fehlt niemand.,negative,emotions of affection,joy
10,GerDracor/tieck-ritter-blaubart.xml,1230,1337,"So sage ich denn noch einmal öffentlich, wie ich es schon jedem besonders gesagt
              habe: Krieg!",negative,emotions of rejection,"hate, disgust"
11,GerDracor/tieck-ritter-blaubart.xml,1338,1344,Fehde!,negative,emotions of rejection,anger
12,GerDracor/tieck-ritter-blaubart.xml,1345,1428,"– Wer ist der Peter Berner, daß er unsere Gebiete brandschatzen
              darf?",negative,emotions of rejection,anger
13,GerDracor/tieck-ritter-blaubart.xml,1429,1521,"Sollten wir immer in Furcht und Sorgen leben vor einem solchen
              Nichtswürdigen?",negative,emotions of fear,fear
14,GerDracor/tieck-ritter-blaubart.xml,1522,1572,"Vor einem Kerl, der nicht lesen, nicht beten kann?",negative,emotions of rejection,emotional movement
15,GerDracor/tieck-ritter-blaubart.xml,1573,1629,"Vor einem Kerl, der einen blauen
              Bart hat?",emotional movement,emotions of rejection,"hate, disgust"
16,GerDracor/tieck-ritter-blaubart.xml,1630,1691,"Vor einem, den Gott auf eine wunderbare Weise gezeichnet hat?",positive,emotions of affection,admiration
17,GerDracor/tieck-ritter-blaubart.xml,1692,1705,Wie sagt Ihr?,emotional movement,emotional movement,emotional movement
18,GerDracor/tieck-ritter-blaubart.xml,1706,1733,Er hätte einen blauen Bart?,emotional movement,emotional movement,emotional movement
19,GerDracor/tieck-ritter-blaubart.xml,1734,1837,"Freilich, und der sitzt ihm an einem verhenkerten Gesicht, an einem wahren
              Galgengesicht.",negative,emotions of rejection,"hate, disgust"
20,GerDracor/tieck-ritter-blaubart.xml,1838,1854,Ordentlich blau?,emotional movement,emotional movement,emotional movement
21,GerDracor/tieck-ritter-blaubart.xml,1855,1877,Was man so blau nennt?,emotional movement,emotional movement,emotional movement
22,GerDracor/tieck-ritter-blaubart.xml,1878,1980,"Ihr wundert Euch mit Recht, Vetter, und mein Bruder da hat ihn ganz richtig
              beschrieben.",emotional movement,emotional movement,emotional movement
23,GerDracor/tieck-ritter-blaubart.xml,1981,2050,"Er ist ein wilder, unumgänglicher Mensch und sieht aus wie der Satan.",negative,emotions of rejection,"hate, disgust"
24,GerDracor/tieck-ritter-blaubart.xml,2051,2147,"Wie ihn Euch mein Bruder da eben ganz recht beschreibt, wie der leibhaftige
              Satan.",negative,emotions of rejection,"hate, disgust"
25,GerDracor/tieck-ritter-blaubart.xml,2148,2181,Gottes Werke sind doch wunderbar!,positive,emotions of joy,joy
26,GerDracor/tieck-ritter-blaubart.xml,2182,2250,"– Hab' ich mein Lebtage von einem blauen Barte
              gehört?",negative,emotional movement,emotional movement
27,GerDracor/tieck-ritter-blaubart.xml,2251,2355,"Aber Bruder, ehe wir unsern Zug unternehmen, sollten wir doch noch unsern Ratgeber
              fragen.",negative,emotions of rejection,anger
28,GerDracor/tieck-ritter-blaubart.xml,2356,2368,Wer ist das?,emotional movement,emotional movement,emotional movement
29,GerDracor/tieck-ritter-blaubart.xml,2369,2525,"Ein alter Mann und ganz weitläufiger Verwandter, er ist schon wie gesagt etwas stumpf
              und bei Jahren, und da hat er sich aufs Ratgeben gelegt.",negative,emotions of suffering,suffering
30,GerDracor/tieck-ritter-blaubart.xml,2526,2599,"Aber er gibt Euch trefflichen
              Rat, das versichere ich Euch.",positive,emotions of affection,friendship
31,GerDracor/tieck-ritter-blaubart.xml,2600,2717,"Er hat schon manchen wackern Rat gegeben, von dem es wohl gut gewesen wäre, wenn man
              ihn befolgt hätte.",positive,emotions of affection,anger
32,GerDracor/tieck-ritter-blaubart.xml,2718,2739,Da kommt er eben her.,negative,emotions of joy,anger
33,GerDracor/tieck-ritter-blaubart.xml,2740,2766,Der Ratgeber kommt herein.,positive,emotional movement,emotional movement
34,GerDracor/tieck-ritter-blaubart.xml,2767,2795,"Nun, setzt Euch, setzt Euch!",negative,emotional movement,emotional movement
35,GerDracor/tieck-ritter-blaubart.xml,2796,2937,"– Jetzt also, meine versammelten Freunde, sind wir in
              der Absicht zusammengekommen, ein vernünftiges Wort miteinander zu reden!",positive,emotions of joy,friendship
36,GerDracor/tieck-ritter-blaubart.xml,2938,2967,"–  Es
                klopft.",emotional movement,emotional movement,emotional movement
37,GerDracor/tieck-ritter-blaubart.xml,2968,3109,"Klaus, der Narr, tritt auf, er ist klein und ungestaltet, bucklig und hinkt auf
              einem Beine, geht sehr behende an einer Krücke.",negative,emotions of rejection,"hate, disgust"
38,GerDracor/tieck-ritter-blaubart.xml,3110,3113,Ah!,positive,emotional movement,emotional movement
39,GerDracor/tieck-ritter-blaubart.xml,3114,3132,Es ist unser Narr!,negative,emotions of rejection,"hate, disgust"
40,GerDracor/tieck-ritter-blaubart.xml,3133,3181,Ihr habt ja eine recht vollständige Haushaltung.,positive,emotions of joy,anger
41,GerDracor/tieck-ritter-blaubart.xml,3182,3190,Gottlob!,positive,emotions of joy,emotional movement
42,GerDracor/tieck-ritter-blaubart.xml,3191,3220,Wir lassen uns nichts abgehn.,positive,emotions of rejection,anger
43,GerDracor/tieck-ritter-blaubart.xml,3221,3352,"Ein kleiner Mann, der Narr, wie Ihr ihn da vor
              Euch seht, aber einen vortrefflichen, dauerhaften Witz hat er an sich.",negative,emotions of rejection,"hate, disgust"
44,GerDracor/tieck-ritter-blaubart.xml,3353,3460,"Man kann  Ist es erlaubt, ihr Herren, daß ein Narr in eine vernünftige Ratsversammlung
              kommt?",negative,emotions of rejection,anger
45,GerDracor/tieck-ritter-blaubart.xml,3461,3497,Wenn du dich ruhig verhalten willst.,negative,emotions of rejection,anger
46,GerDracor/tieck-ritter-blaubart.xml,3498,3513,Du lieber Gott!,negative,emotions of fear,love
47,GerDracor/tieck-ritter-blaubart.xml,3514,3610,"Er ist ein Narr, man muß ihm doch auch ein kleines, unschuldiges
              Vergnügen gönnen.",negative,emotions of joy,"hate, disgust"
48,GerDracor/tieck-ritter-blaubart.xml,3611,3695,"– Setz dich, Narr, und wir andern Verständigen wollen uns auch
              setzen.",negative,emotions of rejection,anger
49,GerDracor/tieck-ritter-blaubart.xml,3697,3714,Alle setzen sich.,emotional movement,emotional movement,anger
50,GerDracor/tieck-ritter-blaubart.xml,3715,3828,"Nun, so rate ich also noch einmal zum Kriege, damit wir diesen überlästigen Peter
              Berner loswerden.",negative,emotions of rejection,"hate, disgust"
51,GerDracor/tieck-ritter-blaubart.xml,3829,3995,"Er steht jetzt eben im Felde gegen Hermann Worbsen, laßt uns schnell
              hinziehen, so ereilen wir ihn noch, ehe er nach seinem festen Schlosse zurückkehrt.",negative,emotions of joy,fear
52,GerDracor/tieck-ritter-blaubart.xml,3996,4043,"–
              Was meint Ihr, Vetter Ratgeber?",negative,emotional movement,emotional movement
53,GerDracor/tieck-ritter-blaubart.xml,4044,4225,"Wenn ich Euch denn meinen guten Rat geben soll – so meine ich unmaßgeblich, daß Ihr
              recht habt, angesehen Ihr ein verständiger, vollkommen ausgewachsener Ritter, seid.",positive,emotions of affection,admiration
54,GerDracor/tieck-ritter-blaubart.xml,4226,4285,"–
              Ihr habt recht, ich bin ganz Eurer Meinung.",positive,emotions of joy,friendship
55,GerDracor/tieck-ritter-blaubart.xml,4286,4426,"Wenn wir ihn denn nun besiegt haben, so bestürmen wir sein Schloß, nehmen seine Frau
              gefangen und teilen uns seine Reichtümer.",positive,emotions of rejection,Schadenfreude
