,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
718,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73140,73171,"Jetzt, jetzt sind sie zusammen.",positive,emotions of affection,love
719,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73172,73187,Welch ein Stoß!,negative,emotions of suffering,suffering
720,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73188,73206,Sie brechen durch.,negative,emotions of fear,fear
721,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73207,73210,Ha!,emotional movement,emotional movement,emotional movement
722,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73211,73227,sind das Männer?,negative,emotional movement,emotional movement
723,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73228,73277,"Sind Das Wellen, die des Schwimmers Arm zerwirft?",negative,emotions of suffering,emotional movement
724,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73278,73311,Durchbrochen ist das erste Glied.,negative,emotions of fear,emotional movement
725,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73312,73339,Schon tritt Das zweite vor.,positive,emotions of suffering,joy
726,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73340,73366,"Seht mir den Werner, seht!",positive,emotions of affection,Schadenfreude
727,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73367,73534,"Ein Todesengel, uns zum Hort gesandt, Ragt er aus allen vor; sein blitzend Schwert Fährt aus den Wolken, nicht den einzeln Mann Schlägt er, er schlägt die ganze Schar.",negative,emotions of rejection,"hate, disgust"
728,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73535,73589,"Wer liegt Am Boden dort, zerspellt den blanken Schild?",negative,emotions of fear,suffering
729,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73590,73608,Der Mangold ist's.,positive,emotions of rejection,anger
730,GerDracor/uhland-ernst-herzog-von-schwaben.xml,73609,73666,Er rafft sich wieder auf; Er führt die dritte Reih heran.,positive,emotions of joy,emotional movement
