,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1335,TextGrid/-Cleopatra.xml,85991,86233,Wir schweren beim Osir / der See und Erde mahlet / Beim grossen Jupiter / der Zepter nimmt und gibt; Cleopatra sol sein von uns geehrt / gelibt; Cleopatra sol uns und unsrer Macht gebitten; So lang uns Clotho nicht den Fadem hat verschnitten.,negative,emotions of affection,admiration
1336,TextGrid/-Cleopatra.xml,86234,86372,Wir schlagen kurtz und rund des Keysers Vorschlag aus / Und wünschen ausser ihr uns selbst in Asch und Graus / Das Reich im Staub zu sehn.,negative,emotions of rejection,"hate, disgust"
1337,TextGrid/-Cleopatra.xml,86373,86493,Des milden Himmels Gütte Verleihe Glück und Sieg dem edelsten Gemütte / Dem das Verhängnüß selbst sich unterwerffen muß!,positive,emotions of affection,joy
1338,TextGrid/-Cleopatra.xml,86494,86546,Wer aber / Fürst und Herr / besigelt uns den Schluß?,negative,emotions of rejection,fear
1339,TextGrid/-Cleopatra.xml,86547,86606,Schnur-stracks sol Proculej so schlechten Abschied kriegen.,negative,emotions of suffering,suffering
1340,TextGrid/-Cleopatra.xml,86607,86661,Anton kan noch durch was uns Trost / ihm Heil zufügen.,positive,emotions of affection,joy
1341,TextGrid/-Cleopatra.xml,86662,86696,Entdeckt / mein Schatz / wordurch?,emotional movement,emotional movement,emotional movement
1342,TextGrid/-Cleopatra.xml,86697,86742,Wenn Artabazens Haupt Die Untreu uns bezahlt.,negative,emotions of suffering,"hate, disgust"
1343,TextGrid/-Cleopatra.xml,86743,86751,Gar wol!,negative,emotions of rejection,emotional movement
1344,TextGrid/-Cleopatra.xml,86752,86850,ihr sey erlaubt Sein wie Jamblichens Kopf Stracks / Hauptmann / laß den Kopff dem Artabaz abhauen.,negative,emotions of rejection,"hate, disgust"
1345,TextGrid/-Cleopatra.xml,86851,86948,Dis Schauspiel mag zugleich dem Feinde deuten an: Daß auch Anton noch itzt den Keyser pochen kan.,positive,emotions of rejection,Schadenfreude
1346,TextGrid/-Cleopatra.xml,86949,87170,Mein Fürst; es wird dis Haupt der Meder Haupt bewegen Für unser Reich und Heil den Harnisch anzulegen; Der bis auf diesen Tag es hinterzogen hat / Weil er Zeither umbsonst umb dessen Schedel bath / Der ihn und uns betrog.,negative,emotions of rejection,"hate, disgust"
1347,TextGrid/-Cleopatra.xml,87171,87197,Last den Verräther leiden!,negative,emotions of rejection,"hate, disgust"
1348,TextGrid/-Cleopatra.xml,87198,87251,Wir gehen: umb alsbald die Bothschafft zu bescheiden.,positive,emotions of suffering,joy
1349,TextGrid/-Cleopatra.xml,87290,87297,allein.,negative,emotions of suffering,suffering
1350,TextGrid/-Cleopatra.xml,87298,87344,O Strudel-reiches Meer der jammer-vollen Welt!,negative,emotions of suffering,suffering
1351,TextGrid/-Cleopatra.xml,87345,87447,Die Segel stehn gespannt / die Netze sind gestellt Uns in den Hafen / Ihn ins Garn und Grab zu führen.,negative,emotions of fear,fear
1352,TextGrid/-Cleopatra.xml,87448,87551,Die Lorbern mögen stets die klugen Frauen zieren / Für welchen Männer-Witz meist muß zu scheitern gehn!,negative,emotions of affection,Schadenfreude
1353,TextGrid/-Cleopatra.xml,87552,87664,Schaut: auf was Grunde nun die Liebes-Ancker stehn / Die durch Verleumbdungs-Wind schon auf den Trüb-Sand kamen.,negative,emotions of joy,love
1354,TextGrid/-Cleopatra.xml,87665,87716,Wo sind die Nebel hin / die uns das Licht benahmen?,negative,emotions of fear,emotional movement
1355,TextGrid/-Cleopatra.xml,87717,87768,Die Sonne der Vernunfft vertreibt den eiteln Dunst.,positive,emotions of suffering,suffering
1356,TextGrid/-Cleopatra.xml,87769,87818,Anton gibt Thron und Kron für einer Frauen Gunst.,positive,emotions of affection,admiration
1357,TextGrid/-Cleopatra.xml,87819,87840,Jedoch wo segeln wir?,emotional movement,emotions of fear,emotional movement
1358,TextGrid/-Cleopatra.xml,87841,87871,sol Glück und Zeit verrauchen?,positive,emotions of joy,joy
1359,TextGrid/-Cleopatra.xml,87872,87924,Ein kluger Booßmann muß des Wetters sich gebrauchen.,negative,emotions of rejection,anger
1360,TextGrid/-Cleopatra.xml,87925,88085,Anton ist zwar nunmehr durch unser Hold besigt / Und durch der Schönheit Reitz als schlaffend eingewigt; Kan aber nicht ein West auch bald ein Sturmwind werden?,positive,emotions of suffering,admiration
1361,TextGrid/-Cleopatra.xml,88086,88207,Ein flatternd Hertze gleicht mit Wanckel-muth den Pferden / Die ein geschwancker Zaum bald recht- bald linckwerts lenckt.,negative,emotional movement,emotional movement
1362,TextGrid/-Cleopatra.xml,88208,88353,Der für zwei Stunden ihm die Ehr-sucht eingesenckt / Kan / eh Aurora wird die braunen Wellen küssen / Ihm grössre Fantasy in sein Gehirne gissen.,positive,emotions of joy,joy
1363,TextGrid/-Cleopatra.xml,88395,88447,Behält man dennoch nicht recht sicher in der Schooß.,negative,emotions of joy,emotional movement
1364,TextGrid/-Cleopatra.xml,88448,88611,Man muß den giftgen Fleck von den Verleumbdungs-Pfeilen / Die Wunden des Verdachts mit solchen Salben heilen: Daß keine Narbe man / kein Merckmal man nicht schaut.,negative,emotions of affection,"hate, disgust"
1365,TextGrid/-Cleopatra.xml,88612,88676,Denn / dem ist nicht zu traun / der gleichfalls uns nicht traut.,negative,emotions of rejection,fear
1366,TextGrid/-Cleopatra.xml,88677,88936,Gunst / Liebe / Freundschafft gleicht sich zarten Berg-Kristallen / Die keine Kunst ergäntzt / sind einmal sie zerfallen: Stillt auch Versöhnung gleich zuweilen Wund und Blutt / Sie bricht erhitzter auf und schärffet Gall und Glutt / Die in dem Hertzen kocht.,positive,emotions of affection,friendship
