,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/kotzebue-menschenhass-und-reue.xml,0,23, Eine ländliche Gegend.,negative,emotions of suffering,suffering
1,GerDracor/kotzebue-menschenhass-und-reue.xml,24,111,"Tief im Hintergrunde eine armselige Hütte, zwischen einigen
          Bäumen versteckt.",negative,emotions of suffering,suffering
2,GerDracor/kotzebue-menschenhass-und-reue.xml,112,180,"jagt einem Schmetterling nach, den er endlich mit dem Hute erhascht.",positive,emotions of joy,joy
3,GerDracor/kotzebue-menschenhass-und-reue.xml,181,185,Aha!,positive,emotional movement,joy
4,GerDracor/kotzebue-menschenhass-und-reue.xml,186,210,– dich hab ich erwischt.,positive,emotions of joy,joy
5,GerDracor/kotzebue-menschenhass-und-reue.xml,211,261,"Ei, der ist gewaltig schön, rot und blau und gelb.",positive,emotions of joy,admiration
6,GerDracor/kotzebue-menschenhass-und-reue.xml,279,334,Er spießt ihn an eine Nadel und steckt ihn auf den Hut.,negative,emotions of rejection,"hate, disgust"
7,GerDracor/kotzebue-menschenhass-und-reue.xml,335,375,Im Begriff zu gehn und wieder umkehrend.,negative,emotions of suffering,emotional movement
8,GerDracor/kotzebue-menschenhass-und-reue.xml,376,405,Er zieht einen Beutel heraus.,negative,emotions of rejection,emotional movement
9,GerDracor/kotzebue-menschenhass-und-reue.xml,406,437,Der Unbekannte – Franz – Peter.,emotional movement,emotional movement,emotional movement
10,GerDracor/kotzebue-menschenhass-und-reue.xml,438,500,Unbekannter mit verschränkten Armen und niederhängendem Kopfe.,negative,emotional movement,suffering
11,GerDracor/kotzebue-menschenhass-und-reue.xml,501,583,"Als er Peter
            erblickt, bleibt er stehn und betrachtet ihn mißtrauisch.",negative,emotional movement,emotional movement
12,GerDracor/kotzebue-menschenhass-und-reue.xml,584,634,Peter steht ihm gegenüber und sperrt das Maul auf.,negative,emotions of rejection,anger
13,GerDracor/kotzebue-menschenhass-und-reue.xml,635,726,"Endlich zieht er den Hut ab,
            macht eine linke Verbeugung und geht in die Hütte.",positive,emotions of affection,admiration
14,GerDracor/kotzebue-menschenhass-und-reue.xml,727,746,Wer ist der Mensch?,negative,emotional movement,emotional movement
15,GerDracor/kotzebue-menschenhass-und-reue.xml,747,771,Der Sohn des Verwalters.,negative,emotional movement,anger
16,GerDracor/kotzebue-menschenhass-und-reue.xml,772,789,Auf dem Schlosse?,emotional movement,emotional movement,emotional movement
17,GerDracor/kotzebue-menschenhass-und-reue.xml,790,793,Ja.,positive,emotions of joy,anger
18,GerDracor/kotzebue-menschenhass-und-reue.xml,794,811,nach einer Pause.,emotional movement,emotional movement,emotional movement
19,GerDracor/kotzebue-menschenhass-und-reue.xml,812,860,Du sprachst gestern abend – Von dem armen Bauer?,negative,emotions of suffering,compassion
20,GerDracor/kotzebue-menschenhass-und-reue.xml,861,872,Ganz recht.,positive,emotions of joy,joy
21,GerDracor/kotzebue-menschenhass-und-reue.xml,873,899,Sie antworteten mir nicht.,emotional movement,emotional movement,emotional movement
22,GerDracor/kotzebue-menschenhass-und-reue.xml,900,914,Sprich weiter!,negative,emotions of rejection,anger
23,GerDracor/kotzebue-menschenhass-und-reue.xml,915,926,Er ist arm.,negative,emotions of suffering,suffering
24,GerDracor/kotzebue-menschenhass-und-reue.xml,927,946,Woher weißt du das?,emotional movement,emotional movement,emotional movement
25,GerDracor/kotzebue-menschenhass-und-reue.xml,947,958,Er sagt es.,negative,emotions of rejection,anger
26,GerDracor/kotzebue-menschenhass-und-reue.xml,959,966,bitter.,negative,emotions of rejection,"hate, disgust"
27,GerDracor/kotzebue-menschenhass-und-reue.xml,967,995,O sie sagen und klagen viel.,negative,emotions of suffering,suffering
28,GerDracor/kotzebue-menschenhass-und-reue.xml,996,1014,Und betrügen viel.,negative,emotions of rejection,"hate, disgust"
29,GerDracor/kotzebue-menschenhass-und-reue.xml,1015,1023,Richtig.,negative,emotions of rejection,anger
