,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,0,411,"  Der annotierte Datenbestand der Digitalen Bibliothek inklusive Metadaten sowie
                                   davon einzeln zugängliche Teile sind eine Abwandlung des Datenbestandes von
                                   www.editura.de durch TextGrid und werden unter der Lizenz Creative Commons
                                   Namensnennung 3.0 Deutschland Lizenz (by-Nennung TextGrid) veröffentlicht.",positive,emotions of joy,admiration
1,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,412,621,"Die
                                   Lizenz bezieht sich nicht auf die der Annotation zu Grunde liegenden
                                   allgemeinfreien Texte (Siehe auch Punkt 2 der Lizenzbestimmungen).",negative,emotions of joy,"hate, disgust"
2,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,718,723,Aria.,emotional movement,emotional movement,emotional movement
3,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,765,928,"Chi'mi vuol son Cameriero 
                                        fòdi tutto, pian m'intendo 
                                        Ei quel tutto, che conviene.",negative,emotions of affection,love
4,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,970,1102,"Sonda bene, 
                                        Son sincera 
                                        non ambisco, non pretendo.",positive,emotions of affection,admiration
5,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1144,1174,E'mi àgiusto al mal è al bene.,positive,emotions of affection,joy
6,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1213,1221,Da Capo.,positive,emotions of joy,emotional movement
7,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1222,1329,"(Ich suche zwar ein Glück, doch ehrlich zu erlangen, Und durch den sauren Schweiß ein kleines Heyrath-Gut.)",positive,emotions of suffering,suffering
8,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1330,1426,"Herr  Pimpinone Er ist zwar nicht von edlem Blut, Doch reich und dumm, es wär ein Herr für mich.",negative,emotions of rejection,"hate, disgust"
9,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1427,1459,Gedult vielleichte fügt es sich.,negative,emotions of suffering,emotional movement
10,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1460,1537,"(Ein Reicher ist in Wahrheit übel dran, Es sucht ihn jedermann zu hintergehn.",negative,emotions of rejection,"hate, disgust"
11,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1538,1683,"Mein Haus soll künfftig nicht so vielen offen stehen, Könt ich ein artig's Kind zum Cammer-Mädgen kriegen, Würd es mich ungemein vergnügen;) Wie?",positive,emotions of joy,joy
12,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1684,1737,kan ich nicht  Vespetten (Ach stünd ich ihm doch an!),positive,emotions of rejection,suffering
13,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1738,1842,(Ach wolte sie zu mir) VESPETTA UND PIMPINONE Wie klüglich wolt ich mich in Seine / Ihre Weise schicken!,negative,emotions of affection,compassion
14,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1843,1877,"Mein artigs Kind, wie geht es ihr?",positive,emotions of suffering,compassion
15,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1878,1942,"Ihr Gnaden zürnen nicht, Ich habe sie in Wahrheit nicht gesehen.",positive,emotions of affection,admiration
16,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1943,1993,Wie artig weiß sie doch den Fuß und Leib zu drehn!,positive,emotions of affection,admiration
17,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,1994,2109,"Der Meister, so die Frau im Tantzen unterwiesen, War mir gewogen, und durch diesen, Erlangt ich ziemlichen Bericht.",positive,emotions of rejection,joy
18,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2110,2162,Beym Element die Frau muß vornehm seyn; Was vornehm?,negative,emotions of affection,admiration
19,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2163,2168,nein!,negative,emotions of rejection,suffering
20,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2210,2259,"Music 
                                     Aria.",positive,emotions of joy,emotional movement
21,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2260,2453,"Höflich Reden, lieblich Singen, Künstlich Spielen, fertig Springen, Sind schöner  Damen Spinnen, Knepplen, Stricken, Nähen, Fleipig auf die Wirthschaft sehen, Gehören nur für ein gemeines Weib.",positive,emotions of affection,admiration
22,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2492,2500,Da Capo.,positive,emotions of joy,emotional movement
23,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2501,2544,Doch was kan dieses wohl für Lust erwecken?,positive,emotions of joy,Schadenfreude
24,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2545,2608,Zum wenigsten lernt man Die Brust geschickt hervor zu strecken.,negative,emotions of suffering,suffering
25,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2609,2635,Gut dienet ihr nicht mehr?,positive,emotions of rejection,suffering
26,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2636,2732,"Als ich den Abschied jüngst begehrt, Ward er mir alsobald gewehrt, (Diß Wort erfreut mich sehr.)",positive,emotions of joy,joy
27,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2733,2758,Und was war Schuld daran?,negative,emotions of suffering,compassion
28,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2759,2787,Ich darff nicht alles sagen.,negative,emotions of rejection,anger
29,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2788,2818,Ey Possen zeigt es mir nur an.,negative,emotions of rejection,anger
30,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,2819,3024,"Es lieffen allzuofft so Brieff, als Blumen ein, Die Antwort sollte gleich zurück getragen, Und wohl bestellet seyn; Mehr Nachricht wird kein Mensch aus meinen Munde kriegen, Dann ich bin sehr verschwiegen.",negative,emotions of suffering,emotional movement
31,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3025,3066,Ich mercke schon; es waren Liebes-Sachen.,positive,emotions of affection,love
32,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3067,3091,Gesetzt daß es auch sey.,positive,emotions of rejection,joy
33,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3133,3170,Ein Unschuld volles Schertzen machen.,negative,emotions of joy,anger
34,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3171,3207,Wie starck war dann der Diener Zahl?,negative,emotional movement,emotional movement
35,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3208,3309,"Die Wahrheit zwingt mich dieses mahl, Zu ihrem Ruhme zu bekennen, Es ist bey kahlen sieben Geblieben.",positive,emotions of suffering,suffering
36,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3310,3416,"Diß sind nur Kleinigkeiten, Und haben wenig zubedeuten; Allein sie wolte mir kein freundlichs Auge gönnen.",negative,emotions of suffering,suffering
37,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3417,3423,Warum?,emotional movement,emotional movement,emotional movement
38,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3424,3558,"Ich war ihr alle Morgen Zu früh geputzt, diß setzte sie in Sorgen, Ich gieng ihr etwas ins Gehege, Dadurch ward alle Feindschaft rege.",negative,emotions of rejection,anger
39,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3559,3634,"Wie gut ist es, bey einem alten Mann zu seyn, Absonderlich, wann er allein.",positive,emotions of joy,joy
40,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3635,3791,"Ach gönnte mir ein günstiges Geschicke, Diß längst-verlangte Glücke; Doch jüngst erreicht ichs bald, Doch war mein Herr so ungestalt, So ungestalt, als ich?",positive,emotions of suffering,suffering
41,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3792,3910,"Kein Mensch ist auf der Welt, So höflich, klug, manierlich, Schön und zart, Und kurtz der mir so wohl gefällt, Als Er.",positive,emotions of affection,admiration
42,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3911,3931,O schöne Redens-Art!,positive,emotions of joy,joy
43,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,3970,3975,Aria.,emotional movement,emotional movement,emotional movement
44,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,4017,4527,"Ella mi vuol confondere, 
                                        Diro meglio, confondere, 
                                        Signora si, con troppa Cortesia, 
                                        Come giglio, come sole, 
                                        Da sue lodianzi onorato 
                                        (Jo son pur imbrogliato,) 
                                        
                                           
                                        Con la sua gran bonta.",positive,emotions of affection,admiration
45,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,4569,4742,"Costei m'hà colto tanto al improviso 
                                        Che non so, che mi dir non so, 
                                     Vespetta mi muove al riso.",negative,emotions of suffering,suffering
46,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,4784,5058,"Basta, non posso exprimere 
                                        L'obligatione mia, 
                                        A dir la Verita, 
                                        Etal, che per rispondere, 
                                        Non so trovar la Via.",negative,emotions of affection,admiration
47,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,5097,5105,Da Capo.,positive,emotions of joy,emotional movement
48,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,5106,5138,Was aber denckt ihr nun zu thun?,emotional movement,emotional movement,emotional movement
49,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,5139,5198,Ich suche nichts als einen Herrn; Was suchet ihr für einen?,positive,emotional movement,emotional movement
50,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,5199,5259,Ich wolte zum Exempel gern ... (Sie wird mich selber meinen.,negative,emotions of rejection,anger
51,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,5260,5305,Wie viel vermag ein schöner Kerl doch nicht!),positive,emotions of affection,admiration
52,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,5306,5495,"Es muß doch heraus Ich wolte gerne keinen, Als der ihm selber gleich, So höret mich: Mein Haus Ist einsam; ich bin reich: Gefällt es euch, So dient bey mir, und schliesset gleich den Kauff.",negative,emotions of affection,joy
53,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,5496,5670,"Er schertzet nur, mein Glück ist schon gemacht, Gebt mir die Hand darauf Ich neige mich von wegen solcher Ehre, 
                                     Er drucket ihr die Hand.",positive,emotions of affection,joy
54,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,5671,5712,"Sacht, sacht, Es schmertzet all zu sehre.",negative,emotions of suffering,suffering
55,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,5713,5749,(Sie muß in Wahrheit zärtlich seyn.),positive,emotions of affection,love
56,TextGrid/-Pimpinone_oder_Die_ungleiche_Heirat.xml,5750,5887,"Nehmt diese Schlüssel an zu Brod und Wein, Die Wirthschaft soll mir nicht forthin den Kopff verrücken, Ich seh auf euch in allen Stücken.",positive,emotions of affection,friendship
