,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
254,GerDracor/schlegel-alarcos.xml,23133,23219,"So lerne du von mir denn diese Klugheit, Wie ich mich deiner Kühnheit nachgeschwungen.",positive,emotions of rejection,Schadenfreude
255,GerDracor/schlegel-alarcos.xml,23220,23265,"Verschmäh' nicht, was so leicht, im Übermute.",negative,emotions of rejection,joy
256,GerDracor/schlegel-alarcos.xml,23266,23363,"Du stehst im hellen Glanz des höchsten Ruhmes, Den schnell ein einz'ger kleiner Fleck verdunkelt.",positive,emotions of suffering,admiration
257,GerDracor/schlegel-alarcos.xml,23364,23485,"O daß man nicht einst sagt aus einem Munde: Es fehlt ihm nur an dieser einen Tugend, Daß er sich selber hätte überwunden!",negative,emotions of suffering,suffering
258,GerDracor/schlegel-alarcos.xml,23486,23571,"Ja, handle mäßig, schonend und mit Ruhe; Behutsamkeit heilt oft die schlimmste Wunde.",negative,emotions of suffering,compassion
259,GerDracor/schlegel-alarcos.xml,23572,23706,"Es gibt der Dinge, die das Schwert nicht dulden, Und manches was er tat, weil er es mußte, Hüllt der Verständ'ge in ein weises Dunkel.",negative,emotions of suffering,suffering
260,GerDracor/schlegel-alarcos.xml,23707,23752,Vorsicht hat nie ein Unheil noch verschuldet.,negative,emotions of fear,fear
261,GerDracor/schlegel-alarcos.xml,23753,23809,"Nun lebe wohl, und nimm in diesem Kusse Der Liebe Pfand!",positive,emotions of affection,love
262,GerDracor/schlegel-alarcos.xml,23810,23884,"– Noch einmal sei umschlungen Von deinem treusten Freunde, Diener, Bruder.",positive,emotions of affection,friendship
263,GerDracor/schlegel-alarcos.xml,23885,23900,Alvaro geht ab.,negative,emotions of rejection,emotional movement
264,GerDracor/schlegel-alarcos.xml,23901,23916,Ja geh nur hin!,negative,emotions of affection,joy
265,GerDracor/schlegel-alarcos.xml,23917,24001,"– So milde wie du klüglich denkst, Wird dieses große Unheil wahrlich nicht geschehn.",negative,emotions of suffering,compassion
266,GerDracor/schlegel-alarcos.xml,24002,24144,"Dein Herz hat nie der Liebe Flammensturm bewegt; Drum ist die hohe Ehre dir ein kalt Gesetz; Und große Tat dir, so wie groß Verbrechen, fremd.",positive,emotions of affection,love
267,GerDracor/schlegel-alarcos.xml,24145,24455,"Ruhm, Liebe, Glorie, Lust sind mir des Lebens Herz, Wo hoch in Flammen all die Kraft vereinigt brennt; So lichter Fackel folgend, hab' ich stets gelebt, Fortan auch mutig will ich vorwärts ferner gehn, In Sturm mich selber reißend, achten keinen Schmerz, Ging auch durch Höll' und Pein und Blut der dunkle Weg!",positive,emotions of affection,joy
268,GerDracor/schlegel-alarcos.xml,24456,24612,"Des Todes Grimm quillt plötzlich aus der höchsten Lust, Schnell färbt sich rosenlichte Liebe oft in Blut, Und Leichen häuft auf Leichen zorn'ge Ehr' in Wut.",negative,emotions of rejection,"hate, disgust"
269,GerDracor/schlegel-alarcos.xml,24614,24758,"Und muß sie uneins zürnen gar dem eignen Tun, Reißt unaufhaltsam wachsend alles fort der Fluch, Macht in Verwüstung ihre Allmacht greulich kund.",negative,emotions of rejection,"hate, disgust"
270,GerDracor/schlegel-alarcos.xml,24759,24907,"Wie meine Burg dort glänzend glorreich oben thront, Der Väter Denkmal, sonst Alarcos hoher Stolz, Die nun als Wohnsitz grausen Unheils mich bedroht!",negative,emotions of fear,suffering
271,GerDracor/schlegel-alarcos.xml,24908,25162,"Vielleicht daß Donna Clara jetzt um mich besorgt, Auf jeden Fußtritt merkend, sorgsam leise horcht, Mit stiller Sehnsucht auf die Rückkehr dessen hofft, Der heimlich hingab ihrem Feind sein eisern Wort, Der eignen Brust ein ewig schneidendscharfer Dolch.",negative,emotions of fear,love
272,GerDracor/schlegel-alarcos.xml,25163,25375,"Bald öffnet nun die hohen Pforten dort das Schloß, Mit freud'gem Blick tritt Clara mir entgegen schon; Doch Gruß und Freude geben dem wohl keinen Trost, Der nichts mehr denkt und glaubt und sieht als bittern Tod.",negative,emotions of suffering,suffering
273,GerDracor/schlegel-alarcos.xml,25376,25476,"So ich verstummt nur tiefer, schweige immer noch, Bis einsam nächtlich alles still im ganzen Schloß.",negative,emotions of suffering,suffering
274,GerDracor/schlegel-alarcos.xml,25477,25579,"Da bricht der Schmerz aus tiefem Herzen endlich los; »Wie traurig, unglücksel'ge Gräfin, ist dein Los!",negative,emotions of suffering,suffering
275,GerDracor/schlegel-alarcos.xml,25580,25632,"Wie bitter ist dein Schicksal, fern von allem Trost!",negative,emotions of suffering,suffering
276,GerDracor/schlegel-alarcos.xml,25632,25643,'« – »Nein!,negative,emotions of rejection,emotional movement
277,GerDracor/schlegel-alarcos.xml,25644,25953,"glücklich, spricht sie, freudenreich ist wohl mein Los, Weil du zur glücklichen Genossin mich erkorst.« – »Das eben, Gräfin, raubt dir wahrlich allen Trost.« Und wie den Lippen diese herbe Red' entflohn, Da hält dann länger nicht der Schmerz, und sieh, es sproßt Aus vollen Augen zwiefach mir der heiße Strom.",positive,emotions of suffering,joy
278,GerDracor/schlegel-alarcos.xml,25954,26149,"O weh, es schwillt das Auge wahrer Tränen voll, Indes ich so in Träum' und Mitleid mich verlor; Schmerzübermannt fließt unaufhaltsam fort der Strom Der bittern Zähren aus des Herzens vollem Born.",negative,emotions of suffering,suffering
279,GerDracor/schlegel-alarcos.xml,26150,26159,Er weint.,negative,emotions of suffering,suffering
280,GerDracor/schlegel-alarcos.xml,26160,26203,"Wohlan, Alarcos, mutig nun der Burg genaht!",positive,emotions of fear,joy
281,GerDracor/schlegel-alarcos.xml,26204,26310,"Und wie dein Wort du rasch entschlossen zweimal gabst, So schreite jetzt auch mutig rasch zur dunkeln Tat.",negative,emotions of fear,fear
282,GerDracor/schlegel-alarcos.xml,26312,26437,"Die Mauern sehn mich an wie Grabessteine, Die hohen Fenster mit trübsel'gem Scheine: Es ist, als könnte da nur Unheil hausen.",negative,emotions of suffering,suffering
283,GerDracor/schlegel-alarcos.xml,26438,26602,"Und wie im Wind die alten Eichen sausen, Mehrt sich die Angst; ich sehe mich alleine, Die Schrecken alle drohend im Vereine, Und höre dumpf die Hölle unten brausen.",negative,emotions of fear,fear
284,GerDracor/schlegel-alarcos.xml,26603,26872,"Es ziehn herbei die schwarzen Geisterhorden, Hohnlachend, daß sie bald in Blut sich laben, Seh ich sie all' auf mich die Blicke richten; Im Wahnsinn will ich alles dann vernichten, Den Leib im Schutt der eignen Burg begraben, Und grausam selbst das treue Weib ermorden.",negative,emotions of rejection,"hate, disgust"
285,GerDracor/schlegel-alarcos.xml,26873,26897,Er geht auf die Burg zu.,negative,emotional movement,fear
286,GerDracor/schlegel-alarcos.xml,26898,26922,Ein Zimmer der Infantin.,negative,emotions of affection,emotional movement
287,GerDracor/schlegel-alarcos.xml,26923,26930,allein.,negative,emotions of suffering,suffering
288,GerDracor/schlegel-alarcos.xml,26931,27038,"Du bleicher Mond, der von dem hohen Himmel Allein mein einsam Leiden Mitleidig weinend anzuschauen würdigt!",negative,emotions of suffering,suffering
289,GerDracor/schlegel-alarcos.xml,27039,27592,"O sei mir freundlich, kühle diese Flammen, Die innerlich das heiße Blut entzünden, Daß ich die Arme glutverlangend öffne Nach dem, der treulos meiner Glut vergessen, Mein Diadem verschmähte, Ein tugendbleiches Kind mir vorgezogen, Statt königlich die Fürstenbraut zu wählen, Und stolz in meinem Sonnenglanz zu strahlen, Von Lust und Glorie trunken, An diese Brust zu sinken, Die ihn nur fühlt, und strebt mit heißen Schlägen  Umarmt an ihm zu hangen, Die Seele von den Lippen ihm zu trinken, In Glut gebadet, immer neu zu fühlen Das brennende Verlangen.",negative,emotions of suffering,suffering
290,GerDracor/schlegel-alarcos.xml,27593,27640,Du himmlisch freundlich milde Kraft des Mondes!,positive,emotions of affection,admiration
291,GerDracor/schlegel-alarcos.xml,27641,27799,"O träufle kühle Lind'rung Nur einen Tropfen, einen einz'gen Tropfen, In dieses Meer von Glut und Scham und Liebe, Das mir die volle Brust bedrängend schwellt!",positive,emotions of suffering,suffering
