,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
555,GerDracor/baeuerle-die-buerger-in-wien.xml,33672,33716,Wollen Sie mir wohl einen Gefallen erweisen?,positive,emotions of affection,emotional movement
556,GerDracor/baeuerle-die-buerger-in-wien.xml,33717,33764,"Warum denn nicht, wenn ich nur was davon hätte!",positive,emotions of joy,joy
557,GerDracor/baeuerle-die-buerger-in-wien.xml,33765,33804,Darauf soll es mir auch nicht ankommen!,negative,emotions of rejection,anger
558,GerDracor/baeuerle-die-buerger-in-wien.xml,33805,33918,"Ich will einen Balsam auf Ihre zerquetschten
              Finger legen – eine Maß guten Wein können Sie abholen.",negative,emotions of joy,compassion
559,GerDracor/baeuerle-die-buerger-in-wien.xml,33919,33941,Was befehlen Sie denn?,positive,emotional movement,emotional movement
560,GerDracor/baeuerle-die-buerger-in-wien.xml,33942,34046,"Sie werden bemerkt haben, welche Grobheiten dem scharmanten Herrn Müller widerfahren
              sind.",negative,emotions of rejection,anger
561,GerDracor/baeuerle-die-buerger-in-wien.xml,34047,34126,"Ich weiß alles, der Schliffel von einem Tiroler hat ihn zur Tür hinausgeworfen.",negative,emotions of rejection,anger
562,GerDracor/baeuerle-die-buerger-in-wien.xml,34127,34134,Leider!,negative,emotions of suffering,suffering
563,GerDracor/baeuerle-die-buerger-in-wien.xml,34135,34254,"Und an diesem schlechten Betragen ist mein Mann schuld, daher möchte ich mich
              gern bei ihm entschuldigen.",negative,emotions of suffering,compassion
564,GerDracor/baeuerle-die-buerger-in-wien.xml,34255,34354,"Ich werde ihm ein kleines Briefchen schreiben, wollen Sie
              ihm das zustecken, Staberl?",negative,emotional movement,anger
565,GerDracor/baeuerle-die-buerger-in-wien.xml,34355,34396,"Aber heimlich, daß's nur niemand bemerkt!",negative,emotions of affection,anger
566,GerDracor/baeuerle-die-buerger-in-wien.xml,34397,34444,"Das will ich, und zwar auf eine sehr feine Art.",positive,emotions of affection,anger
567,GerDracor/baeuerle-die-buerger-in-wien.xml,34445,34613,"Ich muß ihm grad sein Parapluie
              zurückbringen – er hat den Stiel abgebrochen, nun ist's aber wieder gemacht –, da hab
              ich eine gute Ausrede.",positive,emotions of joy,anger
568,GerDracor/baeuerle-die-buerger-in-wien.xml,34614,34783,"Gut, ich gehe, den Brief zu schreiben; warten Sie indessen hier – Warten kann ich nicht, denn ich muß in meine Uniform kriechen, aber ich komme wieder
              her.",negative,emotions of rejection,anger
