,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/gellert-die-betschwester.xml,0,17, Jungfer Lorchen.,negative,emotions of joy,emotional movement
1,GerDracor/gellert-die-betschwester.xml,18,33,Herr Ferdinand.,emotional movement,emotional movement,emotional movement
2,GerDracor/gellert-die-betschwester.xml,34,53,Was ich Ihnen sage.,negative,emotions of rejection,anger
3,GerDracor/gellert-die-betschwester.xml,54,100,Sie können die Frau Muhme itzt nicht sprechen.,negative,emotions of affection,love
4,GerDracor/gellert-die-betschwester.xml,101,136,"Sie hat ihre
              Andacht.",positive,emotions of suffering,love
5,GerDracor/gellert-die-betschwester.xml,137,251,"Und ich wollte nicht viel nehmen; im engeren Sinn ist Geld nehmen = sich
              bestechen lassen (Adelung.)",negative,emotions of rejection,anger
6,GerDracor/gellert-die-betschwester.xml,252,262,Mein Gott!,negative,emotions of fear,fear
7,GerDracor/gellert-die-betschwester.xml,263,277,die gute Frau.,positive,emotions of affection,joy
8,GerDracor/gellert-die-betschwester.xml,278,333,"Ich mag kommen, wenn ich will, so hat sie ihre Andacht.",positive,emotions of affection,love
9,GerDracor/gellert-die-betschwester.xml,348,401,Heute Vormittage wollte ich zu ihr; da war Betstunde.,negative,emotional movement,emotional movement
10,GerDracor/gellert-die-betschwester.xml,402,476,"Nun komme ich nach Tische; so
              hat sie wieder ihre Betstunde.",negative,emotions of joy,suffering
11,GerDracor/gellert-die-betschwester.xml,477,497,Es ist nicht anders.,negative,emotions of suffering,suffering
12,GerDracor/gellert-die-betschwester.xml,498,534,Ihr Leben ist ein beständiges Gebet.,negative,emotions of affection,love
13,GerDracor/gellert-die-betschwester.xml,535,582,Das Beten ist ein wichtiges Stück der Religion.,positive,emotions of affection,emotional movement
14,GerDracor/gellert-die-betschwester.xml,583,678,"Allein es gibt ja noch andere
              Pflichten, die ebenso nötig und ebenso heilig sind.",negative,emotions of affection,admiration
15,GerDracor/gellert-die-betschwester.xml,679,760,"Sie wird doch nicht Tag und Nacht
              beten, das will ich nicht hoffen.",negative,emotions of suffering,compassion
16,GerDracor/gellert-die-betschwester.xml,761,783,"Nein, sie wechselt ab.",emotional movement,emotions of affection,emotional movement
17,GerDracor/gellert-die-betschwester.xml,784,824,Wenn sie nicht beten will: so singt sie.,positive,emotions of affection,love
18,GerDracor/gellert-die-betschwester.xml,825,897,"Und wenn sie nicht
              mehr Lust zum Singen hat: so betet sie.",positive,emotions of suffering,suffering
19,GerDracor/gellert-die-betschwester.xml,898,994,"Und wenn sie weder beten noch singen will: so
              redet sie doch vom Beten und Singen.",positive,emotions of affection,joy
20,GerDracor/gellert-die-betschwester.xml,995,1021,"Nun, das muß ich bekennen.",negative,emotions of suffering,suffering
21,GerDracor/gellert-die-betschwester.xml,1022,1104,"Ich habe mir wohl sagen lassen, daß meine Frau Muhme sehr
              fromm ist.",negative,emotions of affection,love
22,GerDracor/gellert-die-betschwester.xml,1105,1131,Ich habe es auch geglaubt.,negative,emotions of affection,suffering
23,GerDracor/gellert-die-betschwester.xml,1132,1273,"Allein ihr stetes Beten und Singen bringt mich
              fast auf die Gedanken, daß sie nicht fromm ist, sondern nur fromm scheinen will.",positive,emotions of affection,suffering
24,GerDracor/gellert-die-betschwester.xml,1274,1435,"Sie
              möchte sich immer ein Gebet machen lassen, um des Abends die Sünde zu verbeten, die
              sie den Tag über mit Beten und Singen begeht.",negative,emotions of suffering,Schadenfreude
25,GerDracor/gellert-die-betschwester.xml,1436,1553,"Stets beten, heißt nicht beten, und den
              ganzen Tag beten, ist so strafbar, als den ganzen Tag schlafen.",negative,emotions of rejection,anger
26,GerDracor/gellert-die-betschwester.xml,1554,1627,"Mein lieber Herr Ferdinand, lassen Sie doch Ihren Eifer nicht an mir aus.",negative,emotions of rejection,anger
27,GerDracor/gellert-die-betschwester.xml,1628,1735,"Sie kennen
              mich ja wohl, da ich ehemals die Ehre gehabt, einige Zeit in Ihrem Hause zu leben.",positive,emotions of affection,joy
28,GerDracor/gellert-die-betschwester.xml,1736,1822,"Es
              ist niemand weniger mit der Andacht der Frau Muhme zufrieden als ich.",positive,emotions of joy,admiration
29,GerDracor/gellert-die-betschwester.xml,1823,1977,"Sie betet uns
              oft um das Mittagsessen; und nie ist sie andächtiger, als um die Stunde, da die Köchin
              das Marktgeld holen will.",positive,emotions of affection,suffering
30,GerDracor/gellert-die-betschwester.xml,1978,2152,"Sie hat ihr schon aus frommem Eifer zweimal das Gebetbuch an
              den Kopf geworfen, weil sie so unverschämt gewesen ist und sie im Singen gestört
              hat.",negative,emotions of rejection,anger
31,GerDracor/gellert-die-betschwester.xml,2153,2200,Ich lerne meine Frau Muhme immer besser kennen.,positive,emotions of affection,joy
32,GerDracor/gellert-die-betschwester.xml,2201,2338,"Es würde ein sehr mittelmäßiges Glück
              für Herrn Simonen sein,  Gedulden Sie sich nur bis um vier Uhr, wenn ich bitten darf.",positive,emotions of suffering,anger
33,GerDracor/gellert-die-betschwester.xml,2339,2400,"Eher nimmt die Frau
              Richardin keinen Besuch an.",negative,emotions of suffering,suffering
34,GerDracor/gellert-die-betschwester.xml,2401,2542,"Und eher sie sich in ihrer Nachmittagsandacht stören läßt,
              eher läßt sie Herrn Simonen und zehn andre Freier wieder fortreisen.",positive,emotions of rejection,Schadenfreude
35,GerDracor/gellert-die-betschwester.xml,2543,2600,"Ich weiß wohl, daß wir erst um vier Uhr herbestellt sind.",negative,emotions of rejection,anger
36,GerDracor/gellert-die-betschwester.xml,2601,2784,"Allein ich habe noch
              verschiedenes wegen der Aussteuer mit meiner Frau Muhme auszumachen, und solche Sachen
              muß man vor dem Jaworte in Richtigkeit bringen.",negative,emotions of joy,joy
37,GerDracor/gellert-die-betschwester.xml,2785,2850,"Haben Sie also die Güte und lassen Sie
              mich melden.",negative,emotions of suffering,admiration
38,GerDracor/gellert-die-betschwester.xml,2851,2876,Das kann ich nicht wagen.,negative,emotions of fear,fear
39,GerDracor/gellert-die-betschwester.xml,2877,2913,Die Andacht geht bei ihr über alles.,positive,emotions of affection,love
40,GerDracor/gellert-die-betschwester.xml,2914,2991,"Sie setzt uns beide in
              die Ketzerhistorie, wenn wir sie stören.",negative,emotions of rejection,"hate, disgust"
41,GerDracor/gellert-die-betschwester.xml,2992,3205,"Sie zweifelt ohnedem sehr an der
              Aufrichtigkeit meiner Tugend, weil ich so eitel bin und zuweilen in dem »Zuschauer«
              oder sonst in einem weltlichen Buche, wie sie zu reden pflegt, lese.",negative,emotions of suffering,anger
42,GerDracor/gellert-die-betschwester.xml,3206,3245,So wollen Sie mich nicht melden lassen?,negative,emotions of rejection,anger
43,GerDracor/gellert-die-betschwester.xml,3246,3294,Sobald es viere schlägt; so will ich Sie melden.,negative,emotions of fear,anger
44,GerDracor/gellert-die-betschwester.xml,3295,3406,"Denn ebendiese Stunde hat sie zu
              weltlichen Geschäften, und also auch zu dem Jaworte, ausgesetzt.",positive,emotions of affection,love
45,GerDracor/gellert-die-betschwester.xml,3407,3483,"Doch um fünf oder
              längstens um sechs Uhr muß alles getan sein.",negative,emotions of rejection,anger
