,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/hafner-der-furchtsame.xml,0,84," Die Handlung fängt sich bey anbrechendem Tage an, und endet sich gegen Mitternacht.",positive,emotions of suffering,suffering
1,GerDracor/hafner-der-furchtsame.xml,85,91,Gasse.,negative,emotions of rejection,emotional movement
2,GerDracor/hafner-der-furchtsame.xml,92,113,Valere und Hanswurst.,negative,emotions of rejection,anger
3,GerDracor/hafner-der-furchtsame.xml,114,127,zu Hanswurst.,negative,emotions of rejection,"hate, disgust"
4,GerDracor/hafner-der-furchtsame.xml,128,139,Mache fort!,negative,emotions of rejection,anger
5,GerDracor/hafner-der-furchtsame.xml,140,161,Was soll das Zaudern?,negative,emotions of rejection,emotional movement
6,GerDracor/hafner-der-furchtsame.xml,162,212,"/ Du weist, daß mir jede Minute heute kostbar ist.",positive,emotions of affection,love
7,GerDracor/hafner-der-furchtsame.xml,227,317,"/ Schäm dich, und sey doch nicht immer dem Schlafe ergeben  Ermuntert
                ihn.",negative,emotions of rejection,anger
8,GerDracor/hafner-der-furchtsame.xml,318,378,"welcher immer im Gehen geschlaffen hat, und nunmehr erwacht.",negative,emotions of suffering,suffering
9,GerDracor/hafner-der-furchtsame.xml,379,382,Ja!,positive,emotions of joy,anger
10,GerDracor/hafner-der-furchtsame.xml,383,397,gnädiger Herr!,emotional movement,emotions of affection,suffering
11,GerDracor/hafner-der-furchtsame.xml,398,416,/ ich komme schon!,negative,emotions of fear,joy
12,GerDracor/hafner-der-furchtsame.xml,417,535,"/ aber das hab ich doch nie erlebt, was sie
              anfangen, bey ihnen soll der Mensch gar keinen Schlaf haben.",negative,emotions of rejection,anger
13,GerDracor/hafner-der-furchtsame.xml,536,582,"/ Wer wird dieß ertragen
              können?",negative,emotions of suffering,suffering
14,GerDracor/hafner-der-furchtsame.xml,583,725,"/ es ist doch wahrhaftig nicht erlaubt, was sollen wir denn schon wieder auf
              der Gasse, da der Tag selbst noch nicht munter ist?",negative,emotions of suffering,anger
15,GerDracor/hafner-der-furchtsame.xml,726,742,Du fragest noch?,emotional movement,emotional movement,emotional movement
16,GerDracor/hafner-der-furchtsame.xml,743,768,das ist wohl ein Zeichen?,emotional movement,emotional movement,emotional movement
17,GerDracor/hafner-der-furchtsame.xml,769,846,"daß du kleinen Antheil an deines Herrn
              Liebesgeschäften nimmst.",positive,emotions of affection,love
18,GerDracor/hafner-der-furchtsame.xml,847,863,Liebesgeschäfte?,emotional movement,emotional movement,emotional movement
19,GerDracor/hafner-der-furchtsame.xml,864,971,"/ das ist alles wohl recht, aber ist denn nicht den ganzen Tag
              hindurch Zeit genug zu lieben?",positive,emotions of affection,love
20,GerDracor/hafner-der-furchtsame.xml,972,1143,"/ ich bin auch verliebt, aber an meinem Schlafe laß ich
              mir nichts benehmen, ja ich schlafe bey Nacht, damit ich am Tage munter carasiren
              kann.",positive,emotions of affection,love
21,GerDracor/hafner-der-furchtsame.xml,1144,1298,"Du weist aber so gut, als ich, daß meine Liebe zu vielen Gefahren ausgesetzt ist, als
              daß ich beym Tage ihrerwegen etwas unternehmen könnte.",positive,emotions of affection,love
22,GerDracor/hafner-der-furchtsame.xml,1299,1427,"Und ich glaube, die Nachtamouren sind weit gefährlicher, als die am Tage, denn die
              Nacht ist des Menschen Feindin.",negative,emotions of rejection,"hate, disgust"
