,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
318,GerDracor/heyne-die-beiden-billets.xml,18497,18519,Und Du hast es gethan?,negative,emotions of joy,emotional movement
319,GerDracor/heyne-die-beiden-billets.xml,18520,18684,"Je, wahrhaftig, ich gäb ihm  Guter, lieber Gürge,  (umarmt ihn) Der Geyer, Röse, Du mußt gewaltig viel auf Leute halten, die einen guten Handel
            treffen.",positive,emotions of affection,friendship
320,GerDracor/heyne-die-beiden-billets.xml,18685,19048,"O vergieb mir, lieber Gürge, daß ich Dir Unrecht gethan habe: behalte meinen Brief,
            wenn Du ihn noch behalten willst – ich schwöre Dir’s zu, daß ich Dich lieb habe, daß ich
            niemanden haben will als Dich, und daß ich mich noch heute Abend mit Dir verloben will,
            wenn Du es haben willst, und wenn Du mir nicht gram geworden bist.",positive,emotions of affection,love
321,GerDracor/heyne-die-beiden-billets.xml,19049,19074,Du hast mich wieder lieb?,positive,emotions of affection,love
322,GerDracor/heyne-die-beiden-billets.xml,19075,19110,"Ach, ich bin des Todes für Freuden!",positive,emotions of suffering,suffering
323,GerDracor/heyne-die-beiden-billets.xml,19111,19232,"– Höre, liebe Röse, sags
            nicht noch einmal, daß du mich lieb hast: es könnte mir wieder ein Unglück begegnen.",negative,emotions of affection,suffering
324,GerDracor/heyne-die-beiden-billets.xml,19233,19369,"Laß
            mich Dich nur ansehen: ich will es schon aus deinen hübschen Augen herausstudiren, ohne
            daß Du mir es sagst.",positive,emotions of affection,admiration
325,GerDracor/heyne-die-beiden-billets.xml,19370,19432,"Nur vergieb mir, lieber Gürge, daß ich Dir so weh gethan habe.",negative,emotions of suffering,suffering
326,GerDracor/heyne-die-beiden-billets.xml,19433,19477,Was das für allerliebste hübsche Augen sind!,positive,emotions of affection,joy
327,GerDracor/heyne-die-beiden-billets.xml,19478,19577,"Ich weiß nicht, was ich sagen soll: aber
            ich möchte gleich ganz und gar hineinspringen.",positive,emotions of joy,joy
328,GerDracor/heyne-die-beiden-billets.xml,19578,19690,"– Aber höre, thu mir einmal den Gefallen,
            und sage mir, wie die beiden ersten Worte hier heißen: He?",negative,emotions of rejection,emotional movement
329,GerDracor/heyne-die-beiden-billets.xml,19692,19728,"(Zeigt ihr den
              Brief.)",negative,emotional movement,anger
330,GerDracor/heyne-die-beiden-billets.xml,19729,19756,„Lieber Freund.“ Wie war’s?,positive,emotional movement,joy
331,GerDracor/heyne-die-beiden-billets.xml,19757,19790,Ich hab’s nicht recht verstanden.,emotional movement,emotional movement,emotional movement
332,GerDracor/heyne-die-beiden-billets.xml,19791,19839,"„Lieber Freund!“ Warte, ich muß es selber lesen.",emotional movement,emotions of affection,emotional movement
333,GerDracor/heyne-die-beiden-billets.xml,19840,19971,"– L, i, e, lie, b, e, r, ber, lieber, F, r, e, u, n, d,
            Freund, lieber Freund – Ah, wenn’s nur nicht so bald alle wäre!",positive,emotions of joy,suffering
334,GerDracor/heyne-die-beiden-billets.xml,19972,20081,"wenn die beiden Worte
            nur so lang wären, als das dicke Historienbuch, das unser Schulmeister hat!",negative,emotions of rejection,anger
335,GerDracor/heyne-die-beiden-billets.xml,20082,20214,"Laß es gut seyn, lieber Gürge: Du sollst es noch viel tausendmal hören, wenn Du es nur
            niemals überdrüßig werden willst.",positive,emotions of rejection,Schadenfreude
336,GerDracor/heyne-die-beiden-billets.xml,20215,20311,"– Aber höre einmal, wir können dem Balbier seine
            Betrügerey nicht so hingehn lassen.",negative,emotions of rejection,anger
337,GerDracor/heyne-die-beiden-billets.xml,20312,20323,Warum denn?,emotional movement,emotional movement,emotional movement
338,GerDracor/heyne-die-beiden-billets.xml,20324,20383,"Er muß das Billet herausgeben, um das er Dich betrogen hat.",negative,emotions of rejection,suffering
339,GerDracor/heyne-die-beiden-billets.xml,20384,20408,Was denn für ein Billet?,emotional movement,emotional movement,emotional movement
340,GerDracor/heyne-die-beiden-billets.xml,20409,20427,Dein Lotterieloos.,positive,emotions of joy,"hate, disgust"
341,GerDracor/heyne-die-beiden-billets.xml,20428,20646,"Nein, liebe Röse, nein, der Handel ist einmal gemacht – wir wollen nicht weiter davon
            reden: er könnte rappelköpfisch werden, und den Brief wieder haben wollen – Nein, nein,
            es ist so recht gut.",positive,emotions of affection,joy
342,GerDracor/heyne-die-beiden-billets.xml,20647,20677,"Du hast mich lieb, nicht wahr?",positive,emotions of affection,love
343,GerDracor/heyne-die-beiden-billets.xml,20678,20728,"– Nun, und weiter verlang’ ich
            nichts.",negative,emotions of rejection,anger
344,GerDracor/heyne-die-beiden-billets.xml,20729,20744,"Stille, stille!",negative,emotional movement,emotional movement
345,GerDracor/heyne-die-beiden-billets.xml,20745,20866,"da seh’ ich ihn kommen: verstecke Dich geschwind ins Haus, und komm
            nicht eher hervor, als bis ich Dich rufe.",negative,emotions of rejection,anger
346,GerDracor/heyne-die-beiden-billets.xml,20867,20900,Aber rufe mich nur ja recht bald.,negative,emotions of suffering,suffering
347,GerDracor/heyne-die-beiden-billets.xml,20901,20910,Hörst Du?,positive,emotions of rejection,anger
348,GerDracor/heyne-die-beiden-billets.xml,20911,20916,(Ab.),negative,emotional movement,joy
349,GerDracor/heyne-die-beiden-billets.xml,20917,20958,"Ja, ja, geh nur, daß er Dich nicht sieht.",negative,emotions of rejection,anger
350,GerDracor/heyne-die-beiden-billets.xml,20959,21030,"– Ah, da kommt der Schurke, und hat das
            Billet in der Hand.",negative,emotions of rejection,anger
351,GerDracor/heyne-die-beiden-billets.xml,21031,21038,Rösgen.,positive,emotions of rejection,emotional movement
352,GerDracor/heyne-die-beiden-billets.xml,21039,21048,Schnapps.,negative,emotions of rejection,anger
353,GerDracor/heyne-die-beiden-billets.xml,21049,21060,(vor sich.),negative,emotional movement,emotional movement
354,GerDracor/heyne-die-beiden-billets.xml,21061,21273,"Muß der verdammte Schulmeister heute just Gevatterbriefe herumtragen: und so elend der
            Kerl ist, so kann ich doch heute ohne ihn nichts machen –  (Sieht Rösgen und
              versteckt das Billet.)",negative,emotions of rejection,anger
355,GerDracor/heyne-die-beiden-billets.xml,21274,21330,"Es ist mir recht lieb, Mosge Schnapps, daß ich ihn sehe.",positive,emotions of joy,joy
356,GerDracor/heyne-die-beiden-billets.xml,21331,21418,"Weiß Er wohl, was hier
            vorgefallen ist, seitdem wir uns nicht gesehn haben?",negative,emotions of suffering,emotional movement
357,GerDracor/heyne-die-beiden-billets.xml,21419,21468,"Nein, ich weiß nicht – was wäre denn vorgefallen?",emotional movement,emotional movement,emotional movement
358,GerDracor/heyne-die-beiden-billets.xml,21469,21673,"Denk’ Er einmal an; der Mensch, der Gürge, untersteht sich mir wieder unter die Augen
            zu kommen: aber ich habe ihn so heimgeschickt, daß er gewiß in seinem Leben nicht
            wiederkommt.",negative,emotions of suffering,suffering
359,GerDracor/heyne-die-beiden-billets.xml,21674,21700,"Das ist scharmant, hähähä.",positive,emotions of rejection,anger
360,GerDracor/heyne-die-beiden-billets.xml,21701,21888,"Ja, ich hab’ es gleich gedacht, hähähä, und da hab’ ich mich
            hier versteckt, und da hab’ ich gesehn, hähähä, wie Sie ihm das Fenster vor der Nase
            zuschlug, hähähä.",negative,emotions of rejection,anger
361,GerDracor/heyne-die-beiden-billets.xml,21889,22011,"– Aber den dummen Gürgen izt bey Seite; mein Engelgen, Du weißt doch
            wohl, was Du mir vorhin versprochen hast?",positive,emotions of rejection,anger
362,GerDracor/heyne-die-beiden-billets.xml,22013,22025,(bey Seite.),negative,emotions of joy,suffering
363,GerDracor/heyne-die-beiden-billets.xml,22026,22033,(Laut.),emotional movement,emotional movement,emotional movement
364,GerDracor/heyne-die-beiden-billets.xml,22034,22144,"Auflösen, resolviren, dissolviren, obstruiren, rektifiziren, wie Du es haben willst,
            mein Kröngen.",positive,emotions of joy,anger
365,GerDracor/heyne-die-beiden-billets.xml,22145,22326,"Ich nehme freilich einen Mann, damit er mir gut ist: und wenn Ers also ehrlich meynt,
            Mosge Schnapps – aber ehrlich muß Ers meynen – so denk’ ich, daß wir ein Paar sind.",positive,emotions of affection,love
