,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
192,GerDracor/kotzebue-der-hyperboreische-esel.xml,10915,10960,wie bitter hat meine Hoffnung mich getäuscht!,negative,emotions of suffering,suffering
193,GerDracor/kotzebue-der-hyperboreische-esel.xml,10961,11016,"Getrost, Mutter, Sie werden bald selbst denken wie ich.",negative,emotions of rejection,anger
194,GerDracor/kotzebue-der-hyperboreische-esel.xml,11017,11029,mit Abscheu.,negative,emotions of rejection,"hate, disgust"
195,GerDracor/kotzebue-der-hyperboreische-esel.xml,11030,11041,Nimmermehr!,negative,emotions of rejection,anger
196,GerDracor/kotzebue-der-hyperboreische-esel.xml,11042,11099,Sie meinen vielleicht wie Rousseau:  Weder euch noch uns.,negative,emotions of rejection,"hate, disgust"
197,GerDracor/kotzebue-der-hyperboreische-esel.xml,11101,11117,Alberner Mensch!,negative,emotions of rejection,anger
198,GerDracor/kotzebue-der-hyperboreische-esel.xml,11118,11165,es ist unverschämt so von Rousseau zu sprechen.,negative,emotions of rejection,anger
199,GerDracor/kotzebue-der-hyperboreische-esel.xml,11166,11183,Aber großer Gott!,negative,emotions of fear,fear
200,GerDracor/kotzebue-der-hyperboreische-esel.xml,11196,11235,möchtest du doch blos unverschämt sein!,negative,emotions of rejection,anger
201,GerDracor/kotzebue-der-hyperboreische-esel.xml,11236,11269,– Ich verlasse dich tief gebeugt.,negative,emotions of suffering,suffering
202,GerDracor/kotzebue-der-hyperboreische-esel.xml,11270,11357,"Ich bin nur
            ein Weib, und kann dir nichts entgegen setzen, als mein Gefühl.",negative,emotions of affection,love
203,GerDracor/kotzebue-der-hyperboreische-esel.xml,11358,11428,"Dein Oheim ist ein Mann,
            er mag männlich mit dir sprechen.",negative,emotions of affection,love
204,GerDracor/kotzebue-der-hyperboreische-esel.xml,11430,11433,Ab.,negative,emotional movement,anger
205,GerDracor/kotzebue-der-hyperboreische-esel.xml,11434,11441,allein.,negative,emotions of suffering,suffering
206,GerDracor/kotzebue-der-hyperboreische-esel.xml,11443,11462,Der Baron und Karl.,emotional movement,emotional movement,emotional movement
207,GerDracor/kotzebue-der-hyperboreische-esel.xml,11463,11474,Nun Vetter?,emotional movement,emotional movement,emotional movement
208,GerDracor/kotzebue-der-hyperboreische-esel.xml,11475,11526,Deine Mutter scheint nicht recht mit dir zufrieden.,negative,emotions of suffering,suffering
209,GerDracor/kotzebue-der-hyperboreische-esel.xml,11527,11602,Sie hat ihre Begriffe noch aus der  Das sind nicht immer die schlechtesten.,negative,emotions of rejection,"hate, disgust"
210,GerDracor/kotzebue-der-hyperboreische-esel.xml,11603,11636,"Aber freilich, du bist ein Genie.",positive,emotions of rejection,"hate, disgust"
211,GerDracor/kotzebue-der-hyperboreische-esel.xml,11638,11641,So?,emotional movement,emotional movement,emotional movement
212,GerDracor/kotzebue-der-hyperboreische-esel.xml,11642,11675,Das ist verzweifelt scharfsinnig.,emotional movement,emotional movement,anger
213,GerDracor/kotzebue-der-hyperboreische-esel.xml,11677,11710,Was man doch nicht alles erfährt!,negative,emotions of rejection,emotional movement
214,GerDracor/kotzebue-der-hyperboreische-esel.xml,11711,11827,"Aber sieh' nur Vetter, du mußt dich ein wenig in
            deine Mutter fügen, wieder herzlich werden wie vormals.",positive,emotions of affection,love
215,GerDracor/kotzebue-der-hyperboreische-esel.xml,11828,11870,"Du bist so kalt, so
            ernsthaft.",emotional movement,emotions of suffering,emotional movement
216,GerDracor/kotzebue-der-hyperboreische-esel.xml,11872,11884,Eine Bestie?,emotional movement,emotions of rejection,emotional movement
217,GerDracor/kotzebue-der-hyperboreische-esel.xml,11885,11897,Schäme dich.,negative,emotions of rejection,compassion
218,GerDracor/kotzebue-der-hyperboreische-esel.xml,11898,11975,"Ich merke schon, du hast zu viel studirt, bist zu einsam
            gewesen.",negative,emotions of suffering,suffering
219,GerDracor/kotzebue-der-hyperboreische-esel.xml,11976,12021,Ich werde dich in gute Gesellschaften führen.,positive,emotions of affection,friendship
220,GerDracor/kotzebue-der-hyperboreische-esel.xml,12023,12071,O es gibt auch Narren genug unter den Deutschen.,negative,emotions of joy,"hate, disgust"
221,GerDracor/kotzebue-der-hyperboreische-esel.xml,12073,12175,"Hör' einmal Vetter, bleib' mir mit dem Krimskrams vom Halse, und laß uns vernünftig
            reden.",negative,emotions of rejection,anger
222,GerDracor/kotzebue-der-hyperboreische-esel.xml,12176,12206,Ich habe ein Project für dich.,positive,emotions of joy,joy
223,GerDracor/kotzebue-der-hyperboreische-esel.xml,12208,12219,Gleichviel.,negative,emotional movement,emotional movement
224,GerDracor/kotzebue-der-hyperboreische-esel.xml,12220,12248,Du mußt eine Existenz haben.,negative,emotions of affection,love
225,GerDracor/kotzebue-der-hyperboreische-esel.xml,12250,12266,"Nun, zum Teufel!",negative,emotions of rejection,emotional movement
226,GerDracor/kotzebue-der-hyperboreische-esel.xml,12267,12289,wie existire ich denn?,emotional movement,emotional movement,emotional movement
227,GerDracor/kotzebue-der-hyperboreische-esel.xml,12290,12294,Sie?,emotional movement,emotional movement,emotional movement
228,GerDracor/kotzebue-der-hyperboreische-esel.xml,12295,12319,Sie existiren gar nicht.,negative,emotions of rejection,emotional movement
229,GerDracor/kotzebue-der-hyperboreische-esel.xml,12320,12334,prallt zurück.,negative,emotions of rejection,suffering
230,GerDracor/kotzebue-der-hyperboreische-esel.xml,12335,12345,Gar nicht?,negative,emotions of joy,emotional movement
