,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
503,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,38262,38344,"Ich bitt Ihn, sag Er doch allen Mannspersonen, daß dem nicht so
              ist.",negative,emotions of rejection,anger
504,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,38345,38460,"So ein schönes Herz bei so schlimmen Grundsätzen, O Mademoiselle, warum sind Sie doch
              keine Deutsche?",positive,emotions of affection,compassion
505,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,38461,38681,"denen es die Väter so oft vorsagen, daß sie ihrer los sein möchten,
              daß sie beim ersten freundlichen Blick, den ein Mann ihnen zuwirft, gleich fragen:
              Mein Herr, werden Sie mich auch heiraten?",negative,emotions of affection,love
506,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,38682,38779,"Strephon tritt auf, als der junge Lenclos, unter dem Namen des Ritter von
              Villiers.",emotional movement,emotional movement,admiration
507,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,38780,38816,Sehen Sie hier unsere künftige Stoa.,positive,emotions of joy,joy
508,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,38817,38850,Und die Göttin der Weisheit oben.,positive,emotions of joy,admiration
509,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,38851,38889,wirft einen unbedeutenden Blick drauf.,emotional movement,emotional movement,emotional movement
510,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,38890,38946,"Ich höre, Ninon, Sie wollen den Marquis Riparo heiraten.",positive,emotions of joy,joy
511,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,38947,38972,Wer hat Ihnen das gesagt?,emotional movement,emotional movement,emotional movement
512,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,38974,38984,Zum Maler.,negative,emotions of rejection,anger
513,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,38985,39007,Maler geht langsam ab.,negative,emotions of rejection,suffering
514,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,39008,39113,"Es gibt viele unbeständige Dinge in der Welt, aber das unbeständigste ist ein
              Frauenzimmer.",emotional movement,emotions of affection,love
515,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,39114,39159,"Ich bin Ihre Freundin, und als die beständig.",positive,emotions of affection,friendship
516,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,39160,39198,"Den Marquis Riparo, den kalten Narziß?",emotional movement,emotional movement,"hate, disgust"
517,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,39199,39423,"Wenn Sie mich wenigstens einem jüngern
              feurigern Liebhaber aufopferten, aber – he, Sie haben drauf gesonnen, mich durch eine
              unerhörte Handlung zu einer ganz neuen Art von Verzweiflung zu treiben.",negative,emotions of fear,despair
518,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,39424,39523,"Und das mit
              dieser Gleichgültigkeit, mit dieser heitern Miene – faßt ihn an die Hand.",emotional movement,emotions of affection,emotional movement
519,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,39524,39568,"Ritter Villiers, ich bin nicht gleichgültig.",emotional movement,emotional movement,emotional movement
520,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,39569,39713,"Gehen Sie, Sie sind weder freundschaftlich noch mitleidig, was auch diese Träne mir
              weis machen will, die Ihnen keine Mühe kostet.",negative,emotions of suffering,suffering
521,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,39714,39779,"Soll ich Ihnen den wahren Inhalt Ihrer
              Miene sagen?",emotional movement,emotional movement,emotional movement
522,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,39780,39908,"Sie freuen sich, daß mich diese Heirat rasend macht, Sie sind nicht bloß
              gleichgültig gegen mich, Sie hassen mich.",negative,emotions of rejection,"hate, disgust"
523,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,39909,39978,"Ja ich hasse Sie, junger Mensch, wenn Sie mir Liebe abzwingen wollen.",negative,emotions of rejection,"hate, disgust"
524,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,39979,40039,"Unbesonnener,
              weißt du auch, was du verlangst?",negative,emotions of rejection,anger
525,GerDracor/lenz-die-freunde-machen-den-philosophen.xml,40040,40170,"hört Liebe nicht auf, Liebe zu sein, sobald sie
              Gefälligkeit wird, liegt nicht ihr ganzer Zauber in ihrem Eigensinn?",positive,emotions of affection,love
