,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
494,GerDracor/lessing-der-junge-gelehrte.xml,32651,32740,"Was für Rechnungen habe ich
              nicht schon an die Buchdrucker bezahlen müssen!",negative,emotions of rejection,anger
495,GerDracor/lessing-der-junge-gelehrte.xml,32741,32755,Der Bösewicht!,negative,emotions of rejection,"hate, disgust"
496,GerDracor/lessing-der-junge-gelehrte.xml,32756,32763,Geduld!,negative,emotions of rejection,anger
497,GerDracor/lessing-der-junge-gelehrte.xml,32764,32805,er hat auch erst angefangen zu schreiben!,negative,emotions of joy,emotional movement
498,GerDracor/lessing-der-junge-gelehrte.xml,32806,32834,Es wird schon besser kommen.,positive,emotions of joy,joy
499,GerDracor/lessing-der-junge-gelehrte.xml,32835,32842,Besser?,emotional movement,emotional movement,joy
500,GerDracor/lessing-der-junge-gelehrte.xml,32843,32963,"vielleicht damit man ihn endlich einmal auch unter die zählen kann, die ihren
              Vater arm geschrieben haben!",negative,emotions of suffering,compassion
501,GerDracor/lessing-der-junge-gelehrte.xml,32964,32976,Warum nicht?,emotional movement,emotions of rejection,emotional movement
502,GerDracor/lessing-der-junge-gelehrte.xml,32977,33025,wenn es ihm Ehre brächte – – Die verdammte Ehre!,negative,emotions of rejection,anger
503,GerDracor/lessing-der-junge-gelehrte.xml,33026,33064,Um die tut ein junger Gelehrter alles!,positive,emotions of affection,love
504,GerDracor/lessing-der-junge-gelehrte.xml,33065,33226,"Wann es auch nach seinem Tode heißen sollte:
              unter diejenigen Gelehrten die zum Teufel gefahren sind, gehört auch der berühmte
              Damis!",negative,emotions of rejection,"hate, disgust"
505,GerDracor/lessing-der-junge-gelehrte.xml,33227,33243,was schadet das?,negative,emotions of suffering,fear
506,GerDracor/lessing-der-junge-gelehrte.xml,33244,33316,"Genug, er heißt gelehrt; er heißt berühmt – – Kerl, du erschreckst mich!",negative,emotions of fear,emotional movement
507,GerDracor/lessing-der-junge-gelehrte.xml,33317,33421,"Aber du, der du weit älter bist als er, kannst du ihn
              nicht dann und wann zurechte weisen?",negative,emotions of rejection,anger
508,GerDracor/lessing-der-junge-gelehrte.xml,33422,33445,"– – O, Herr Chrysander!",negative,emotions of suffering,emotional movement
509,GerDracor/lessing-der-junge-gelehrte.xml,33446,33509,"Sie wissen wohl, daß ich keinen Gehalt, als Hofmeister bekomme.",negative,emotions of rejection,suffering
510,GerDracor/lessing-der-junge-gelehrte.xml,33524,33603,"Und dazu meine Dummheit – – Ja, die du annimmst, um ihn desto dümmer zu machen.",negative,emotions of rejection,"hate, disgust"
511,GerDracor/lessing-der-junge-gelehrte.xml,33604,33614,bei Seite.,negative,emotional movement,emotional movement
512,GerDracor/lessing-der-junge-gelehrte.xml,33615,33618,St!,emotional movement,emotions of rejection,emotional movement
513,GerDracor/lessing-der-junge-gelehrte.xml,33619,33634,der kennt mich.,negative,emotions of rejection,anger
514,GerDracor/lessing-der-junge-gelehrte.xml,33635,33699,"– Aber glauben Sie, daß es ihm mit der bösen Frau ein Ernst war?",negative,emotions of affection,"hate, disgust"
515,GerDracor/lessing-der-junge-gelehrte.xml,33714,33728,nichtsweniger!,negative,emotions of rejection,anger
516,GerDracor/lessing-der-junge-gelehrte.xml,33730,33767,"Nun, das wäre doch noch etwas Kluges!",negative,emotions of joy,emotional movement
517,GerDracor/lessing-der-junge-gelehrte.xml,33768,33781,Etwas Kluges?,emotional movement,emotional movement,emotional movement
518,GerDracor/lessing-der-junge-gelehrte.xml,33782,33892,"Nach meiner unvorgreiflichen Meinung ist es gleich der dümmste Einfall,
              den er hat haben können.",negative,emotions of rejection,anger
519,GerDracor/lessing-der-junge-gelehrte.xml,33893,33912,Eine gelehrte Frau!,positive,emotions of joy,emotional movement
520,GerDracor/lessing-der-junge-gelehrte.xml,33913,33931,bedenken Sie doch!,negative,emotions of fear,fear
521,GerDracor/lessing-der-junge-gelehrte.xml,33932,33994,"eine gelehrte Frau;
              eine Frau wie Ihr Herr Sohn!",positive,emotions of affection,admiration
522,GerDracor/lessing-der-junge-gelehrte.xml,33995,34068,"Zittern und Entsetzen möchte einem ehrlichen Kerl
              ankommen.",negative,emotions of fear,fear
523,GerDracor/lessing-der-junge-gelehrte.xml,34069,34080,Wahrhaftig!,positive,emotions of suffering,emotional movement
524,GerDracor/lessing-der-junge-gelehrte.xml,34081,34137,"ehe ich mir eine Gelehrte aufhängen ließ – Narre, Narre!",negative,emotions of rejection,anger
525,GerDracor/lessing-der-junge-gelehrte.xml,34138,34194,"sie gehen unter andern Leuten, als du bist, reißend weg.",negative,emotions of rejection,"hate, disgust"
526,GerDracor/lessing-der-junge-gelehrte.xml,34195,34282,"Wann ihrer nur
              viel wären, wer weiß, ob ich mir nicht selbst eine wählte.",positive,emotions of affection,love
527,GerDracor/lessing-der-junge-gelehrte.xml,34283,34303,Kennen Sie Karlinen?,positive,emotional movement,emotional movement
528,GerDracor/lessing-der-junge-gelehrte.xml,34304,34313,Karlinen?,emotional movement,emotional movement,emotional movement
529,GerDracor/lessing-der-junge-gelehrte.xml,34314,34319,Nein.,emotional movement,emotions of joy,emotional movement
530,GerDracor/lessing-der-junge-gelehrte.xml,34320,34348,Meinen ehemaligen Kameraden?,emotional movement,emotional movement,emotional movement
