,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
538,GerDracor/lessing-minna-von-barnhelm.xml,30522,30636,"Ich komme, gnädiges Fräulein, Ihnen einen untertänigen guten Morgen zu wünschen, –
                 Zur Franziska.",positive,emotions of affection,joy
539,GerDracor/lessing-minna-von-barnhelm.xml,30637,30656,Ein höflicher Mann!,positive,emotions of joy,admiration
540,GerDracor/lessing-minna-von-barnhelm.xml,30657,30674,Wir bedanken uns.,negative,emotions of joy,joy
541,GerDracor/lessing-minna-von-barnhelm.xml,30675,30716,Und wünschen Ihm auch einen guten Morgen.,positive,emotions of joy,joy
542,GerDracor/lessing-minna-von-barnhelm.xml,30717,30838,"Darf ich mich unterstehen zu fragen, wie Ihro Gnaden die erste Nacht unter meinem
              schlechten Dache geruhet?",negative,emotional movement,emotional movement
543,GerDracor/lessing-minna-von-barnhelm.xml,30839,30940,"– Das Dach ist so schlecht nicht, Herr Wirt; aber die Betten hätten besser sein
              können.",negative,emotions of suffering,anger
544,GerDracor/lessing-minna-von-barnhelm.xml,30941,30954,Was höre ich?,emotional movement,emotional movement,emotional movement
545,GerDracor/lessing-minna-von-barnhelm.xml,30955,30973,Nicht wohl geruht?,negative,emotional movement,emotional movement
546,GerDracor/lessing-minna-von-barnhelm.xml,30974,31059,"Vielleicht, daß die gar zu große Ermüdung von der
              Reise – Es kann sein.",negative,emotions of suffering,suffering
547,GerDracor/lessing-minna-von-barnhelm.xml,31060,31073,"Gewiß, gewiß!",positive,emotions of fear,joy
548,GerDracor/lessing-minna-von-barnhelm.xml,31074,31223,"denn sonst – Indes sollte etwas nicht vollkommen nach Ihro Gnaden
              Bequemlichkeit gewesen sein, so geruhen Ihro Gnaden, nur zu befehlen.",negative,emotions of rejection,admiration
549,GerDracor/lessing-minna-von-barnhelm.xml,31224,31244,"Gut, Herr Wirt, gut!",positive,emotions of joy,joy
