,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
327,GerDracor/schink-der-neue-doktor-faust.xml,20325,20344,Das kann ich nicht.,negative,emotions of rejection,suffering
328,GerDracor/schink-der-neue-doktor-faust.xml,20345,20349,Was?,emotional movement,emotional movement,emotional movement
329,GerDracor/schink-der-neue-doktor-faust.xml,20350,20419,"den Augenblik las Rosenhekken hier hervorgehn, düftende Jasminlanden.",positive,emotions of joy,joy
330,GerDracor/schink-der-neue-doktor-faust.xml,20420,20467,"Schaffe
              rieselnde Quellen hieher.",negative,emotions of joy,suffering
331,GerDracor/schink-der-neue-doktor-faust.xml,20468,20496,Mach diesen Saal zu Elisium.,positive,emotions of affection,despair
332,GerDracor/schink-der-neue-doktor-faust.xml,20497,20517,Wenn ich das könnte.,negative,emotions of fear,suffering
333,GerDracor/schink-der-neue-doktor-faust.xml,20518,20644,"Bringe mir das blühendste Mädchen des Landes, daß ich ihre Knie umfasse, küsse die
              Spizzen ihrer seidnen Finger.",positive,emotions of affection,admiration
334,GerDracor/schink-der-neue-doktor-faust.xml,20645,20669,Auch das kann ich nicht.,negative,emotions of fear,joy
335,GerDracor/schink-der-neue-doktor-faust.xml,20670,20708,"Narre mich nicht länger, und gehorche!",negative,emotions of rejection,anger
336,GerDracor/schink-der-neue-doktor-faust.xml,20709,20782,"Türme Arabiens Schäzze vor mir auf, schaf
              Indiens Gold her.",negative,emotions of rejection,suffering
337,GerDracor/schink-der-neue-doktor-faust.xml,20783,20809,Das kann ich noch weniger.,negative,emotions of rejection,suffering
338,GerDracor/schink-der-neue-doktor-faust.xml,20810,20846,"Windiger Praler, was kannst du denn?",emotional movement,emotional movement,anger
339,GerDracor/schink-der-neue-doktor-faust.xml,20847,20879,Null mit Null geht auf – Nichts!,negative,emotions of suffering,emotional movement
340,GerDracor/schink-der-neue-doktor-faust.xml,20880,20946,"Machtloser Teufel, wenn du nichts kannst, was willst du denn hier?",negative,emotions of rejection,anger
341,GerDracor/schink-der-neue-doktor-faust.xml,20947,20978,Dich fragen: ob du fertig bist?,negative,emotional movement,emotional movement
342,GerDracor/schink-der-neue-doktor-faust.xml,20979,20986,Fertig?,emotional movement,emotional movement,emotional movement
343,GerDracor/schink-der-neue-doktor-faust.xml,20987,20992,wozu?,emotional movement,emotional movement,emotional movement
344,GerDracor/schink-der-neue-doktor-faust.xml,20993,21006,Zum Abmarsch.,negative,emotions of fear,fear
345,GerDracor/schink-der-neue-doktor-faust.xml,21007,21020,Zum Abmarsch?,emotional movement,emotions of fear,fear
346,GerDracor/schink-der-neue-doktor-faust.xml,21021,21028,Nun ja!,negative,emotions of rejection,anger
347,GerDracor/schink-der-neue-doktor-faust.xml,21029,21044,was starrst du?,negative,emotional movement,emotional movement
348,GerDracor/schink-der-neue-doktor-faust.xml,21045,21085,"weist du nicht mehr, was du versprachst?",negative,emotions of rejection,anger
349,GerDracor/schink-der-neue-doktor-faust.xml,21086,21093,Teufel!,emotional movement,emotions of rejection,anger
350,GerDracor/schink-der-neue-doktor-faust.xml,21094,21121,– Sind das die zwölf Jahre?,positive,emotional movement,emotional movement
351,GerDracor/schink-der-neue-doktor-faust.xml,21122,21157,kaum ein Punkt der bestimmten Zeit.,positive,emotional movement,emotional movement
