,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
886,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,48489,48570,"Je mehr sie mich
              aufhalten, desto mehr wird ihre Freude verdächtig.",positive,emotions of joy,anger
887,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,48571,48642,"Ich frage sie itzo auf ihr
              Gewissen, was sie verursachet.",negative,emotions of suffering,compassion
888,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,48643,48665,Warum fragen sie denn?,emotional movement,emotional movement,emotional movement
889,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,48666,48687,Sie wissen es selber.,negative,emotions of rejection,anger
890,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,48688,48710,Es ist ihre Gütigkeit?,positive,emotions of affection,emotional movement
891,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,48711,48727,Meine Gütigkeit?,emotional movement,emotional movement,emotional movement
892,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,48728,48746,Was für Gütigkeit?,emotional movement,emotional movement,emotional movement
893,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,48747,48787,Für die sie nicht gedanket haben wollen.,negative,emotions of suffering,"hate, disgust"
894,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,48788,48812,Was sind das für Rätzel?,emotional movement,emotional movement,emotional movement
895,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,48813,49109,"Mitten in der Zeit, da ich aus ihrem Bezeigen schloß, daß sie mich mit Fleiß quälen
              wollten, haben sie mir zu erkennen gegeben, daß sie noch Zärtlichkeit für mich hätten,
              und das hat mich getröstet, das giebt mir noch Hofnung, daß ... Sie reden, wie sie reden sollten.",emotional movement,emotions of affection,joy
896,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,49110,49207,"Aber das ist so vernünftig geredet, daß ich es
              nicht für ihren Ernst annehmen kann.",emotional movement,emotional movement,anger
897,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,49208,49357,"Kann ich es für ihren Ernst annehmen, wenn sie gütig sind: so können sie es auch wol
              für meinen Ernst halten, wenn ich vernünftig rede.",positive,emotions of affection,admiration
898,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,49358,49471,"Ich will sterben, wenn ich von der Gütigkeit, davon sie so viel Rühmens machen, das
              geringste weiß.",negative,emotions of affection,admiration
899,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,49472,49476,Gut!,positive,emotions of joy,joy
900,GerDracor/schlegel-der-triumph-der-guten-frauen.xml,49477,49490,sie scherzen.,negative,emotions of joy,Schadenfreude
