,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/stephanie-die-liebe-im-narrenhause.xml,0,63, Kranke im Spital unter folgenden Namen: Innerer Hof im Spital.,negative,emotions of suffering,suffering
1,GerDracor/stephanie-die-liebe-im-narrenhause.xml,64,306,"Man sieht auf beyden Seiten Fenster mit Läden, welche die
          Behältnisse der Kranken anzeigen; im Grunde eine eiserne Thüre, welche den Eingang ins
          Spital von der Straße her bezeichnet, dann an beyden Seiten ebenfalls Thüren.",positive,emotions of suffering,suffering
2,GerDracor/stephanie-die-liebe-im-narrenhause.xml,307,373,Constanze und Clärchen kommen aus einer Seitenthüre Erschrecklich!,negative,emotions of suffering,fear
3,GerDracor/stephanie-die-liebe-im-narrenhause.xml,374,386,entsetzlich!,negative,emotions of suffering,compassion
4,GerDracor/stephanie-die-liebe-im-narrenhause.xml,387,411,ich kann es kaum denken!,negative,emotions of joy,joy
5,GerDracor/stephanie-die-liebe-im-narrenhause.xml,412,499,"Ich sollte noch heute mein Herz ihm verschenken, An einen so häßlichen steinalten Mann!",negative,emotions of suffering,"hate, disgust"
6,GerDracor/stephanie-die-liebe-im-narrenhause.xml,500,511,Nur stille!,negative,emotional movement,suffering
7,GerDracor/stephanie-die-liebe-im-narrenhause.xml,512,522,ich bitte!,emotional movement,emotional movement,emotional movement
8,GerDracor/stephanie-die-liebe-im-narrenhause.xml,523,636,"noch ists nicht geschehen, Es kann sich noch alles so wunderlich drehen, Daß jedes von Ihnen zufrieden seyn kann.",positive,emotions of joy,joy
9,GerDracor/stephanie-die-liebe-im-narrenhause.xml,637,786,"Die Liebe hat öfters schon Wunder verrichtet, Und manche bestimmte Verbindung zernichtet, Sie nimmt sich vielleicht wohl auch meiner / Ihrer noch an.",positive,emotions of affection,love
10,GerDracor/stephanie-die-liebe-im-narrenhause.xml,787,798,kömmt dazu.,positive,emotions of rejection,emotional movement
11,GerDracor/stephanie-die-liebe-im-narrenhause.xml,799,824,Geschwinde mein Püppchen!,negative,emotions of affection,emotional movement
12,GerDracor/stephanie-die-liebe-im-narrenhause.xml,825,939,"komm sieh nur die Sachen, Die unsre zwey tollen Poeten itzt machen, Sie streiten und stehn da wie Hahn gegen Hahn.",negative,emotions of rejection,anger
13,GerDracor/stephanie-die-liebe-im-narrenhause.xml,941,956,ganz ernsthaft.,emotional movement,emotional movement,emotional movement
14,GerDracor/stephanie-die-liebe-im-narrenhause.xml,957,1043,"Ich kann über solche Geschöpfe nicht lachen, Denn so was steht keinem Vernünftigen an.",negative,emotions of rejection,"hate, disgust"
15,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1044,1067,heimlich zu Constanzen.,positive,emotions of rejection,anger
16,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1068,1163,"Sie werden ihn sicher noch mißtrauisch machen, Dann scheitert mein schöner und herrlicher Plan.",negative,emotions of rejection,anger
17,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1164,1254,"Komm, folge, sie treiben die närrischsten Sachen, Und packen einander ganz sicher noch an.",negative,emotions of rejection,Schadenfreude
18,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1255,1385,"Nach einer Pause, in der Bast Constanzen aufmerksam betrachtet, Constanze sich
              aber mit Clärchen heimlich bespricht.",emotional movement,emotional movement,emotional movement
19,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1386,1395,für sich.,positive,emotions of joy,emotional movement
20,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1396,1409,Was seh' ich!,emotional movement,emotional movement,emotional movement
21,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1410,1421,sie zögert?,emotional movement,emotional movement,emotional movement
22,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1422,1495,"das macht mir Bedenken, Sie trägt sich vermuthlich mit heimlichen Ränken!",negative,emotions of fear,fear
23,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1496,1536,Da muß ich behutsam und aufmerksam seyn.,emotional movement,emotional movement,emotional movement
24,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1537,1549,zu Clärchen.,negative,emotional movement,emotional movement
25,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1550,1700,"Es ist mir nicht möglich mit Liebe zu heucheln, Den, so ich verachte, dem kann ich nicht schmeicheln Ich laß' mich auf Trug und Verstellung nicht ein.",negative,emotions of rejection,"hate, disgust"
26,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1701,1724,heimlich zu Constanzen.,positive,emotions of rejection,anger
27,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1725,1855,"Ein wenig Verstellung ist eher zu wählen, Als lange vergebens mit Hoffnung sich quälen; Und endlich ein Opfer des Eigensinns seyn.",negative,emotions of suffering,suffering
28,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1856,1879,heimlich zu Constanzen.,positive,emotions of rejection,anger
29,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1880,1957,"Ich bitte, seyn Sie klug, Sie wissen nicht, was ich für Sie unternommen habe.",positive,emotions of suffering,emotional movement
30,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1958,1977,ebenfalls heimlich.,negative,emotions of rejection,anger
31,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1978,1982,Ach!,negative,emotions of suffering,suffering
32,GerDracor/stephanie-die-liebe-im-narrenhause.xml,1983,2002,was wird es nützen!,negative,emotions of rejection,fear
33,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2003,2029,Mein Puppchen was ist Dir?,negative,emotional movement,emotional movement
34,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2030,2061,Du bist ja so niedergeschlagen.,negative,emotions of suffering,suffering
35,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2062,2083,Wundert Sie das Herr?,emotional movement,emotional movement,emotional movement
36,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2084,2123,"So eingesperrt, trotz einer Gefangenen!",negative,emotions of suffering,suffering
37,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2124,2204,"Keinen Menschen zum
              Umgang – muß man nicht endlich traurig werden?",negative,emotions of suffering,suffering
38,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2205,2283,"Ich selbst fühle, daß ich anfange meine
              Munterkeit zu verlieren.",positive,emotions of suffering,emotional movement
39,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2284,2390,"Eben deswegen schlag' ich ja vor, die zwey Poeten zu sehen, die werden Sie gewiß
              aufmuntern.",positive,emotions of joy,joy
40,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2391,2464,"Und glauben Sie, daß dies etwas beytragen wird, meinen Humor umzustimmen?",positive,emotions of joy,Schadenfreude
41,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2465,2619,"Es wäre nur
              vorübergehend, und würde mich dann um so trauriger machen, weil ich mir das Elend der
              armen Leute dabey vorstelle.",negative,emotions of suffering,suffering
42,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2620,2659,"Glaubst Du, daß diese Leute elend sind?",negative,emotions of suffering,"hate, disgust"
43,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2660,2798,"Im Gegentheil, sie sind glücklicher als wir,
              sie fühlen nur ihre eingebildete Größe, ihre Gelehrsamkeit und nicht ihr Elend.",positive,emotions of joy,joy
44,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2799,2960,"Richtig, ein Narr ist immer glücklicher, als ein Kluger, das sieht man täglich in der
              Welt, und braucht deshalb nicht erst ins Narrenhaus zu gehen.",positive,emotions of joy,joy
45,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2961,2991,Das ist vernünftig gesprochen.,positive,emotional movement,anger
46,GerDracor/stephanie-die-liebe-im-narrenhause.xml,2992,3087,"Aber hier sieht man sie in ihrem ganzen Glanze, und
              kann sie nach der Wahl haben.",positive,emotions of affection,admiration
47,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3088,3216,"Sieh mein Püppchen, wenn ich mürrisch bin, so laß ich
              mir die lustigen Narren kommen, die heitern mich gleich auf.",positive,emotions of joy,joy
48,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3217,3428,"Und – ich wünschte, daß
              Du das auch thun möchtest, denn  Das sag ich auch Mamsel; da Sie einmal bestimmt sind, mit Narren zu leben, müssen Sie
              sich auch an ihnen zu belustigen suchen.",positive,emotions of joy,Schadenfreude
49,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3430,3439,Heimlich.,negative,emotions of rejection,emotional movement
50,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3440,3455,Ich will sehen.,positive,emotions of affection,joy
51,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3456,3484,"O sieh, sieh, da kommen sie.",positive,emotions of joy,joy
52,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3485,3510,"Die Vorigen, zwey Poeten.",positive,emotions of joy,admiration
53,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3511,3665,"Nein, nein, ich will nicht weiter ringen, Du möchtest mir gern meinen Mayenkranz
              entreißen, um Deine verdorrten Lorbern damit aufzufrischen.",negative,emotions of rejection,anger
54,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3666,3734,"Mein wartet Minnesold, den
              sollst Du mir nicht rauben.",positive,emotions of rejection,admiration
55,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3736,3750,Zu Constanzen.,positive,emotions of rejection,emotional movement
56,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3751,3762,"Ha, ha, ha!",positive,emotions of joy,joy
57,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3763,3767,Nun?,emotional movement,emotional movement,emotional movement
58,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3769,3783,Zu Constanzen.,positive,emotions of rejection,emotional movement
59,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3784,3824,zwingt sich zu lachen Er ist nicht übel.,positive,emotions of joy,joy
60,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3825,3828,Du!,negative,emotions of rejection,anger
61,GerDracor/stephanie-die-liebe-im-narrenhause.xml,3829,4039,"der Du so tief bist unter mir, als der Welten taufende Raum fassen, und als,
              berechnet nach der Länge, dieser tausendfache Weltenumfang in gerader Linie beträgt;
              Raupe des Parnassus!",negative,emotions of rejection,suffering
62,GerDracor/stephanie-die-liebe-im-narrenhause.xml,4040,4134,"Du willst es wagen, Deinen Staubkopf zu messen mit mir dem Adler
              im Dichterhayn!",negative,emotions of rejection,"hate, disgust"
63,GerDracor/stephanie-die-liebe-im-narrenhause.xml,4135,4179,Ich wäre  Bast und Clärchen lachen überlaut.,positive,emotions of joy,Schadenfreude
64,GerDracor/stephanie-die-liebe-im-narrenhause.xml,4180,4184,Nun?,emotional movement,emotional movement,emotional movement
