,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
502,GerDracor/tieck-die-theegesellschaft.xml,30145,30170,Ich bin es immer gewesen.,positive,emotions of affection,joy
503,GerDracor/tieck-die-theegesellschaft.xml,30171,30260,"steht auf, zieht die Brieftasche hervor, und überreicht Ahlfeld seine
            Briefe.",emotional movement,emotional movement,emotional movement
504,GerDracor/tieck-die-theegesellschaft.xml,30261,30264,Ah!,positive,emotional movement,emotional movement
505,GerDracor/tieck-die-theegesellschaft.xml,30265,30317,"verzeihen Sie, das hätte ich beinahe ganz vergessen.",negative,emotions of suffering,emotional movement
506,GerDracor/tieck-die-theegesellschaft.xml,30318,30357,"verbeugt sich, und empfängt die Briefe.",positive,emotions of affection,admiration
507,GerDracor/tieck-die-theegesellschaft.xml,30358,30361,Ah!,positive,emotional movement,emotional movement
508,GerDracor/tieck-die-theegesellschaft.xml,30362,30388,von meinem lieben Freunde?,positive,emotions of affection,friendship
509,GerDracor/tieck-die-theegesellschaft.xml,30389,30414,– ist er wohl und gesund?,negative,emotional movement,emotional movement
510,GerDracor/tieck-die-theegesellschaft.xml,30415,30426,Vollkommen.,positive,emotions of affection,joy
511,GerDracor/tieck-die-theegesellschaft.xml,30427,30451,Das freut mich ungemein.,positive,emotions of joy,joy
512,GerDracor/tieck-die-theegesellschaft.xml,30452,30532,"– Sie sagen also selbst, Herr Werner, daß Sie so abergläubisch
            sind?",emotional movement,emotional movement,emotional movement
513,GerDracor/tieck-die-theegesellschaft.xml,30533,30580,Warum sollt' ich meine Schwäche nicht bekennen?,negative,emotions of suffering,suffering
514,GerDracor/tieck-die-theegesellschaft.xml,30582,30594,Als bei wem?,emotional movement,emotional movement,emotional movement
515,GerDracor/tieck-die-theegesellschaft.xml,30595,30604,– jungen.,positive,emotional movement,suffering
516,GerDracor/tieck-die-theegesellschaft.xml,30605,30717,"Ah, Sie wollen sich auf eine witzige Art aus dem Handel ziehen; aber Sie sollen uns
            nicht entkommen.",positive,emotions of rejection,anger
517,GerDracor/tieck-die-theegesellschaft.xml,30718,31052,"Ich schwöre Ihnen zu, – nennen Sie es Schwäche, oder wie Sie wollen, ich habe mich ein
            paarmal, aus Neugier, langer Weile, Sucht zum Seltsamen, verleiten lassen, ein solches
            Weib zu besuchen, und jedesmal, wenn ich vor ihr stand, mußte ich, wider meinen Willen,
            alles glauben, was sie mir vorsagte.",negative,emotions of affection,"hate, disgust"
518,GerDracor/tieck-die-theegesellschaft.xml,31053,31066,Sehr schwach.,negative,emotions of suffering,suffering
519,GerDracor/tieck-die-theegesellschaft.xml,31067,31100,"Oder auch stark, wie man's nimmt.",emotional movement,emotions of affection,emotional movement
520,GerDracor/tieck-die-theegesellschaft.xml,31101,31190,"Sie sind zu vernünftig, um sich auf eine
            Viertelstunde so täuschen zu lassen.",emotional movement,emotional movement,anger
521,GerDracor/tieck-die-theegesellschaft.xml,31191,31233,legt eine große Brieftasche auf den Tisch.,emotional movement,emotions of rejection,emotional movement
522,GerDracor/tieck-die-theegesellschaft.xml,31234,31248,Die Zeitungen!,emotional movement,emotions of rejection,emotional movement
523,GerDracor/tieck-die-theegesellschaft.xml,31249,31255,–  Ab.,negative,emotional movement,anger
524,GerDracor/tieck-die-theegesellschaft.xml,31256,31259,Ah!,positive,emotional movement,emotional movement
525,GerDracor/tieck-die-theegesellschaft.xml,31260,31299,"die Zeitungen, politische und gelehrte!",negative,emotions of rejection,anger
526,GerDracor/tieck-die-theegesellschaft.xml,31300,31307,– Hier.,negative,emotional movement,emotional movement
527,GerDracor/tieck-die-theegesellschaft.xml,31309,31349,"Er öffnet die
              Brieftasche.",emotional movement,emotional movement,emotional movement
528,GerDracor/tieck-die-theegesellschaft.xml,31350,31388,Ist der Hamburger Korrespondent dabei?,emotional movement,emotional movement,emotional movement
529,GerDracor/tieck-die-theegesellschaft.xml,31389,31394,O ja!,positive,emotional movement,anger
530,GerDracor/tieck-die-theegesellschaft.xml,31395,31427,wie würde ich den fehlen lassen!,negative,emotions of rejection,compassion
531,GerDracor/tieck-die-theegesellschaft.xml,31428,31524,"– Jeder nimmt ein Blatt und liest; der Baron und Julie sprechen heimlich mit
          einander.",positive,emotional movement,emotional movement
532,GerDracor/tieck-die-theegesellschaft.xml,31525,31532,Ehlert!,emotional movement,emotions of rejection,emotional movement
533,GerDracor/tieck-die-theegesellschaft.xml,31533,31547,Was willst Du?,negative,emotional movement,anger
534,GerDracor/tieck-die-theegesellschaft.xml,31548,31622,"Sieh einmal die Narren, wie jeder nun mit einem Blatte vor der Nase sitzt.",negative,emotions of rejection,"hate, disgust"
535,GerDracor/tieck-die-theegesellschaft.xml,31623,31674,"Je laß sie doch, sie wollen ja die Zeitungen lesen.",negative,emotions of rejection,anger
536,GerDracor/tieck-die-theegesellschaft.xml,31675,31715,Laß Dich doch nicht so zum Besten haben.,negative,emotions of rejection,anger
537,GerDracor/tieck-die-theegesellschaft.xml,31716,31739,Sie thun mir ja nichts.,negative,emotions of rejection,anger
538,GerDracor/tieck-die-theegesellschaft.xml,31740,31759,O Du Gutmüthigkeit!,positive,emotions of suffering,admiration
539,GerDracor/tieck-die-theegesellschaft.xml,31760,31788,– Mir sind sie alle verhaßt!,negative,emotions of rejection,"hate, disgust"
540,GerDracor/tieck-die-theegesellschaft.xml,31789,31908,"– Sieh nur Ahlfelds Mienen, der sich
            gewiß darüber wundert, daß er nicht unter den Beförderten genannt ist.",emotional movement,emotional movement,emotional movement
541,GerDracor/tieck-die-theegesellschaft.xml,31909,31958,"– Ich möchte
            lachen, und mich ärgern.",positive,emotions of rejection,anger
542,GerDracor/tieck-die-theegesellschaft.xml,31959,32082,"– Und Julie, – je nun, mag sie's haben, ich gönne ihr ihr
            Glück; – ich wollte sie sprechen und ihr sagen – ach!",positive,emotions of suffering,suffering
543,GerDracor/tieck-die-theegesellschaft.xml,32083,32105,es ist alles einerlei!,emotional movement,emotions of joy,emotional movement
544,GerDracor/tieck-die-theegesellschaft.xml,32106,32159,"– Komm,
            willst Du mit in den Garten gehn?",positive,emotional movement,joy
545,GerDracor/tieck-die-theegesellschaft.xml,32160,32203,Ich muß mich von diesen Gesichtern erholen.,negative,emotions of suffering,suffering
546,GerDracor/tieck-die-theegesellschaft.xml,32204,32259,"Es schickt sich doch wohl nicht, ich bin hier so fremd.",negative,emotional movement,emotional movement
547,GerDracor/tieck-die-theegesellschaft.xml,32260,32324,Nun so geh' ich eine Weile spazieren; ich seh' Dich bald wieder.,positive,emotions of joy,joy
548,GerDracor/tieck-die-theegesellschaft.xml,32326,32329,Ab.,negative,emotional movement,anger
549,GerDracor/tieck-die-theegesellschaft.xml,32330,32350,"Vorige, ohne Werner.",positive,emotions of suffering,suffering
550,GerDracor/tieck-die-theegesellschaft.xml,32351,32369,Giebt's was Neues?,emotional movement,emotional movement,joy
551,GerDracor/tieck-die-theegesellschaft.xml,32370,32381,Eben nicht.,negative,emotions of joy,suffering
552,GerDracor/tieck-die-theegesellschaft.xml,32382,32426,"Salzmann kündigt hier an, daß er für 1 rthl.",positive,emotions of affection,anger
553,GerDracor/tieck-die-theegesellschaft.xml,32427,32432,8 gl.,positive,emotions of joy,joy
554,GerDracor/tieck-die-theegesellschaft.xml,32433,32481,"einen Himmel auf Erden liefern
            will.",positive,emotions of affection,despair
555,GerDracor/tieck-die-theegesellschaft.xml,32482,32502,"Nun, das ist billig.",negative,emotions of rejection,anger
556,GerDracor/tieck-die-theegesellschaft.xml,32503,32578,"Aber, daß ich's recht begreife, – mit Erlaubniß, – ist das nur so zum Spaß?",emotional movement,emotional movement,anger
557,GerDracor/tieck-die-theegesellschaft.xml,32579,32612,"Nein, es ist sein völliger Ernst.",positive,emotions of affection,emotional movement
558,GerDracor/tieck-die-theegesellschaft.xml,32613,32665,"Nun sage mir einer, daß die Welt nicht närrisch sei!",negative,emotions of rejection,"hate, disgust"
559,GerDracor/tieck-die-theegesellschaft.xml,32666,32711,– Das Politische scheint nicht von Bedeutung.,positive,emotional movement,emotional movement
560,GerDracor/tieck-die-theegesellschaft.xml,32712,32866,"Sehr von Bedeutung, in Rußland gehn ja die Couriere stark; – es sind wunderbare neue
            Combinationen in dem bekannten Gleichgewichte von Europa.",positive,emotions of joy,joy
561,GerDracor/tieck-die-theegesellschaft.xml,32867,32875,Wie das?,emotional movement,emotional movement,emotional movement
562,GerDracor/tieck-die-theegesellschaft.xml,32876,32939,"Ja, es verändert sich alles so gewaltsam, – es ist  Meinen Sie?",emotional movement,emotions of suffering,emotional movement
563,GerDracor/tieck-die-theegesellschaft.xml,32940,33130,"– Die Menschheit wird im Ernste jetzt wiedergeboren, – es – Erlauben Sie, – wie ich sagte, Schlag auf Schlag, und das giebt am Ende
            Reverberationen, daß es kaum zu begreifen ist.",positive,emotions of suffering,emotional movement
564,GerDracor/tieck-die-theegesellschaft.xml,33131,33231,"Und der Adel der Menschheit wird wiederhergestellt, die Moralität kömmt wieder oben
            auf.",positive,emotions of joy,admiration
565,GerDracor/tieck-die-theegesellschaft.xml,33232,33361,"Ganz recht, denn die seltsamen Conclusionen, die jetzt zu Stande kommen, werden der
            ganzen Sache den Ausschlag geben.",positive,emotions of joy,anger
566,GerDracor/tieck-die-theegesellschaft.xml,33362,33537,"– Sie sind, wie gesagt, ein guter, ein geschickter
            Mann, Herr Rothmann, aber von der Politik scheinen Sie, mit Ihrer Erlaubniß, nicht viel
            zu verstehn.",positive,emotions of rejection,"hate, disgust"
567,GerDracor/tieck-die-theegesellschaft.xml,33538,33624,"Es ist aber auch ein Studium, das mehr als ein  Haben Sie sich schon wahrsagen lassen?",positive,emotions of suffering,emotional movement
