,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
358,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,22507,22531,"HOSPES, DER WIRTH  sagt.",positive,emotions of joy,joy
359,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,22532,22602,Seind dann hinwegk die Gäste dein Vnd du spilst mit jhn vmb mein zech?,negative,emotions of rejection,Schadenfreude
360,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,22603,22640,Das dir sanct Velta den halß abbrech!,negative,emotions of rejection,"hate, disgust"
361,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,22641,22737,Ich will dich besser rechnen lehrn Vnd dir dein grobe haut erbern Vnd als abziehen an deim lohn.,negative,emotions of rejection,anger
362,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,22776,22805,Der Wirth schlegt jhn wol ab.,negative,emotions of rejection,Schadenfreude
363,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,22844,22849,sagt.,negative,emotions of rejection,anger
364,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,22891,22935,Ich bitt durch Gott: hört auff des schlagen!,negative,emotions of suffering,anger
365,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,22974,22979,sagt.,negative,emotions of rejection,anger
366,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,22980,23121,"Da hörstu; jetzt will ich dir sagen: Wirstu nicht besser sehen zu, Vmb mein zech spilen der blinden kuh, Ich dich zum hauß nauß schlagen thu.",negative,emotions of rejection,anger
367,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23160,23177,Abgang jhr beder.,negative,emotions of suffering,suffering
368,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23216,23241,geht ein vnd sagt zornig.,negative,emotions of rejection,anger
369,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23242,23373,"Enuclem hab ich im gedreng Auf dem Rathhauß in des Volcks meng Vor meim angsicht alsbalt verlohrn, Als wenn er wer vnsichtbar worn.",negative,emotions of suffering,suffering
370,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23374,23478,"Nun hab ich meine zäen gewetzt, Auff ein gut mal mein sinn gesetzt, Dann mich thut nach essen verlangen.",negative,emotions of joy,joy
371,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23479,23542,"Bin vor der Thasa Hauß hingangen, Aber kein Menschen sehen kan.",negative,emotions of suffering,fear
372,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23543,23693,"So darff ich auch nicht klopffen an, Dann die Thasa ist mir nicht gut, Weiß wol, das sie mir nicht auffthut, Wenn mich der Juncker nicht führt hinein.",negative,emotions of rejection,suffering
373,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23694,23730,Die Schlöt schon all verrochen sein.,negative,emotions of rejection,"hate, disgust"
374,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23731,23761,Das Essen ist versaumet schon.,negative,emotions of suffering,suffering
375,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23762,23795,Vor hunger ich nicht bleiben kan.,negative,emotions of rejection,suffering
376,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23796,23866,"Sol man mich nit noch heut begraben, Muß ich warlich zu fressen haben.",negative,emotions of rejection,Schadenfreude
377,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23867,23976,"Wil derhalb des Junckern Weib sagen, Er hab jhr das schönst Kleidt entragen Vnd hab das der Thasa geschenckt.",positive,emotions of affection,admiration
378,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23977,23987,Was Gelts?,emotional movement,emotional movement,emotional movement
379,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,23988,24214,"es sol jhm werden eindrenckt, Das er mich vmb die Malzeit bracht, Vnd ich sol wol worden bedacht Von seim Weib, das ich jhr solchs sag, 
                                        
                                     Er geht ab.",negative,emotions of affection,suffering
380,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,24253,24305,"geht allein ein, tregt das gestolen Kleidt vnd sagt.",negative,emotions of affection,suffering
381,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,24306,24408,"Hie bin ich vnbekandt jedoch Kommen in ein gar gutes gloch, Dergleich mir nicht gschach in meim leben.",positive,emotions of affection,joy
382,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,24409,24580,"Mann hat mir Essen vnd Trincken geben Vnd hat mich die Frau in dem Hauß Für jhrn Bulen ghalten durchauß, Mir auch das kleidt zugstellet wol, Das ich jhrs ferben lasen sol.",positive,emotions of suffering,love
383,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,24581,24755,"Dasselbe hab ich angenommen, Weil sie nit recht mit her ist kommen, Vnd wils zu eygen bhalten mir, Dann ich komb doch nit mehr zu jhr, Wil jetzt zu meim Gsind ins Wirthshauß.",negative,emotions of suffering,suffering
384,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,24756,24811,"COCLEUS, DER KOCH  geht ein, tregt ein Ketten vnd sagt.",negative,emotional movement,anger
385,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,24812,24885,"Juncker, mein Frau schickt mich herauß Vnd schickt euch diese Ketten mit.",negative,emotions of rejection,"hate, disgust"
386,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,24886,24916,"Sagt, das sies also trage nit!",negative,emotions of rejection,suffering
387,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,24917,24954,Es wird verrahten dadurch eur Sachen.,negative,emotions of joy,emotional movement
388,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,24955,25024,"Darumb solt jhr drauß lassen machen Zwey Armbender, wie jhr wol wist.",negative,emotions of rejection,love
389,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,25063,25092,schüttelt den kopff vnd sagt.,negative,emotions of rejection,anger
390,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,25093,25159,"Wenns eur Frauen also lieb ist, Laß ich drauß machen zwey Armband.",positive,emotions of affection,love
391,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,25198,25203,sagt.,negative,emotions of rejection,anger
392,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,25204,25238,"Juncker, wir sein nun lang bekand.",positive,emotions of affection,friendship
393,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,25239,25359,"Ich bitt, der Juncker wol mein dencken Vnd mir ein schönes Ohrgheng schencken, Weil er sunst jetzt geht zum Goltschmidt.",negative,emotions of joy,admiration
394,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,25398,25403,sagt.,negative,emotions of rejection,anger
395,TextGrid/-Von_zweyn_Bruedern_aus_Syracusa.xml,25404,25439,"Mein Koch, daran sols fehlen nicht.",positive,emotions of affection,admiration
