,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/cronegk-codrus.xml,0,22, In the public domain.,negative,emotional movement,emotional movement
1,GerDracor/cronegk-codrus.xml,23,31,von Hrn.,negative,emotions of suffering,suffering
2,GerDracor/cronegk-codrus.xml,32,36,Joh.,positive,emotional movement,anger
3,GerDracor/cronegk-codrus.xml,37,40,Fr.,positive,emotions of suffering,anger
4,GerDracor/cronegk-codrus.xml,41,47,Freyh.,positive,emotional movement,emotional movement
5,GerDracor/cronegk-codrus.xml,48,65,"v. Cronegk, weil.",negative,emotions of rejection,suffering
6,GerDracor/cronegk-codrus.xml,66,77,Hochfürstl.,positive,emotions of joy,admiration
7,GerDracor/cronegk-codrus.xml,78,193,"Anspachischen Kammerjunker, Hof- und Regierungsrath, welches den für das Jahr 1757 ausgesetzten Preis erhalten hat.",positive,emotions of joy,admiration
8,GerDracor/cronegk-codrus.xml,194,229,Codrus pro patria non timidus mori.,positive,emotions of affection,admiration
9,GerDracor/cronegk-codrus.xml,230,281,Der Schauplatz ist in Athen im Pallaste des Codrus.,positive,emotional movement,suffering
10,GerDracor/cronegk-codrus.xml,282,301,"Elisinde, Philaide.",positive,emotional movement,emotional movement
11,GerDracor/cronegk-codrus.xml,302,354,So wird dein zärtlich Herz der Thränen niemals müde?,negative,emotions of suffering,suffering
12,GerDracor/cronegk-codrus.xml,355,401,"Quält dich ein ew'ger Gram, betrübte Philaide!",negative,emotions of suffering,suffering
13,GerDracor/cronegk-codrus.xml,402,505,Ich ehre deinen Schmerz; doch folg ihm nicht zu sehr: Die Klagen sind umsonst und Medon ist nicht mehr.,negative,emotions of suffering,suffering
14,GerDracor/cronegk-codrus.xml,506,621,Die Götter wollen nicht der Schwermuth Wunsch verstatten; Kein Geist entreißet sich dem blassen Reich der Schatten.,negative,emotions of suffering,suffering
15,GerDracor/cronegk-codrus.xml,622,670,"Dein Herz ist allzugroß, zu zärtlich, zu getreu!",positive,emotions of affection,love
16,GerDracor/cronegk-codrus.xml,671,716,Der Tugend Uebermaß ist nie von Fehlern frey.,negative,emotions of affection,admiration
17,GerDracor/cronegk-codrus.xml,717,823,"Du bist es nicht allein, die Glück und Ruh verlohren; Zum Schmerz und zur Geduld sind Sterbliche gebohren.",negative,emotions of suffering,suffering
18,GerDracor/cronegk-codrus.xml,824,930,"Für uns ist alles Nacht, für sie dort alles Licht; Und standhaft leiden ist der Menschheit größte Pflicht.",negative,emotions of suffering,suffering
19,GerDracor/cronegk-codrus.xml,931,987,"Doch itzt, itzt ist es Zeit, den Göttern bloß zu danken.",positive,emotions of joy,admiration
