,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,0,22, In the public domain.,negative,emotional movement,emotional movement
1,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,23,51,von Hans Franz Kannengießer.,negative,emotions of joy,anger
2,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,52,72,(Preis 6 Schilling.),positive,emotions of joy,Schadenfreude
3,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,73,176,"Das Stück spielt Anfangs auf der Straße in Halberna und endigt in der Polizey-Stube
          daselbst.",positive,emotions of joy,anger
4,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,177,186,(Straße.),negative,emotions of rejection,anger
5,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,187,249,"(am Stricke, wird von einem Häscher über die Bühne geschleppt.",negative,emotions of rejection,emotional movement
6,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,250,329,"In der Mitte
            derselben setzt er sich zur Wehre gegen seinen Führer.",negative,emotions of rejection,anger
7,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,330,418,"Dieser zieht eine Pfeife hervor
            und lockt damit seine Cameraden) Was giebts?",negative,emotions of joy,emotional movement
8,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,419,437,Widersetzlichkeit.,negative,emotions of rejection,anger
9,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,438,528,"Monsieur Packan will nicht auf die Polizey: ich muß mir daher Hülfe
            ausbitten.",negative,emotions of fear,anger
10,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,529,583,"Ich gehe nicht von der Stelle, bis ihr mir Rede steht.",negative,emotions of rejection,anger
11,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,584,737,"Seit wann ist es im Halberna
            Mode, daß man friedliche Hunde mit einem Stricke um den Hals dem öffentlichen Spectakel
            Preis giebt?",negative,emotions of rejection,anger
12,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,738,771,Habt ihr nichts Besseres zu thun?,positive,emotions of rejection,emotional movement
13,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,772,825,Seit wann untersteht sich ein Hund so zu raisonniren?,negative,emotions of rejection,anger
14,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,826,857,Das kostet einem Menschen 3 Mk.,negative,emotions of suffering,anger
15,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,870,895,"14 ß., und dir das Leben!",negative,emotions of rejection,despair
16,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,896,919,Was hab ich verbrochen?,negative,emotional movement,anger
17,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,920,1036,"ging ich nicht ruhig meinen Weg, der mich wieder zu meinem
            Herrn führen sollte, den ich verlohren hatte?",negative,emotions of fear,suffering
