,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/leisewitz-julius-von-tarent.xml,0,15, Szene: Tarent.,negative,emotional movement,emotional movement
1,GerDracor/leisewitz-julius-von-tarent.xml,16,56,Zeit: Ende des fünfzehnten Jahrhunderts.,emotional movement,emotional movement,emotional movement
2,GerDracor/leisewitz-julius-von-tarent.xml,57,92,Eine Galerie im fürstlichen Palast.,positive,emotions of joy,emotional movement
3,GerDracor/leisewitz-julius-von-tarent.xml,93,132,Julius und Aspermonte spazieren herein.,positive,emotional movement,joy
4,GerDracor/leisewitz-julius-von-tarent.xml,133,147,Unbegreiflich!,emotional movement,emotional movement,emotional movement
5,GerDracor/leisewitz-julius-von-tarent.xml,148,263,"– Sie waren ja schon von Ihrer Liebe bis zur Melancholie genesen;
              diesen ganzen Monat durch so ruhig!",positive,emotions of affection,love
6,GerDracor/leisewitz-julius-von-tarent.xml,264,462,"Ach, mein Freund, die Liebe hat sich für diesen Monat gerächet, alles das Bittere,
              das auf seine einzelne Tage verteilt sein sollte, goß sie über diese einzige Nacht
              aus.",positive,emotions of suffering,love
7,GerDracor/leisewitz-julius-von-tarent.xml,463,533,"Eben deswegen bricht die Wolke, weil es nicht zu rechter Zeit regnete.",negative,emotions of suffering,suffering
8,GerDracor/leisewitz-julius-von-tarent.xml,534,655,"Ich verstehe noch nichts; – noch gestern abend waren Sie so ruhig, was machte diese
              plötzliche Veränderung?",emotional movement,emotional movement,emotional movement
9,GerDracor/leisewitz-julius-von-tarent.xml,656,709,"Ein wachender Traum, also noch weniger als ein Traum.",emotional movement,emotional movement,emotional movement
10,GerDracor/leisewitz-julius-von-tarent.xml,710,840,"Wie ich abends auf mein Zimmer
              trete, schießt der Mond nun  Diese Tränen schwemmten meine ganze Standhaftigkeit weg.",negative,emotions of suffering,suffering
11,GerDracor/leisewitz-julius-von-tarent.xml,841,1156,"Ich hatte eine Nacht – eine
              Nacht – Glauben Sie es, Freund, unsere Seele ist ein einfaches Wesen – hätte die Last,
              die diese Nacht auf der meinigen lag, ein zusammengesetztes gedrückt, die Fugen der
              Teile hätten nachgelassen, und der Staub hätte sich zum Staube versammelt.",negative,emotions of suffering,suffering
12,GerDracor/leisewitz-julius-von-tarent.xml,1157,1193,Ach ich kenne diesen Zustand zu gut.,negative,emotions of suffering,suffering
13,GerDracor/leisewitz-julius-von-tarent.xml,1194,1217,Was wollten Sie kennen!,negative,emotions of rejection,emotional movement
14,GerDracor/leisewitz-julius-von-tarent.xml,1218,1272,"– Nennen Sie mir eine Empfindung, ich habe sie gehabt.",negative,emotional movement,emotional movement
15,GerDracor/leisewitz-julius-von-tarent.xml,1273,1522,"Immer
              ward ich von einem Ende der menschlichen Natur zum andern gewirbelt, oft durch einen
              Sprung von entgegengesetzter Empfindung zu entgegengesetzter, oft durch alle, die
              zwischen ihnen liegen, geschleift.",negative,emotional movement,emotional movement
16,GerDracor/leisewitz-julius-von-tarent.xml,1523,1649,"Alle Möglichkeiten gingen vor mir vorüber, und notwendig muß ich in einer von ihnen
              mein Schicksal gesehn haben!",negative,emotions of fear,suffering
17,GerDracor/leisewitz-julius-von-tarent.xml,1650,1893,"– Einmal hatte ich schon das Kloster erbrochen, und
              führte sie in meine Kammer – wie ich schon an das Brautbette trat, sah mein Vater mit
              der Miene der väterlichen Wehmut herein – sogleich ließ ich ihre Hand fahren.",negative,emotions of suffering,suffering
18,GerDracor/leisewitz-julius-von-tarent.xml,1894,1960,"Nutzten Sie das nicht, kamen Sie da Ihrer Vernunft nicht zu Hilfe?",emotional movement,emotional movement,emotional movement
19,GerDracor/leisewitz-julius-von-tarent.xml,1961,2100,"In der Tat diese Ideen schien die Vernunft zu erwecken; ich rief »Julius, Julius, sei
              ein Mann!« – Ja ich sprach das »Julius!",positive,emotions of rejection,emotional movement
20,GerDracor/leisewitz-julius-von-tarent.xml,2101,2235,"Julius!« als wenn es die Standhaftigkeit
              spräche; aber das »sei ein Mann!« zerschmolz wieder in einen Seufzer der Liebe.",positive,emotions of affection,love
