,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/schiller-die-piccolomini.xml,0,109," Ein alter gotischer Saal auf dem Rathause zu Pilsen, mit Fahnen und anderm
          Kriegsgeräte dekoriert.",positive,emotions of joy,suffering
1,GerDracor/schiller-die-piccolomini.xml,110,139,Illo mit Buttler und Isolani.,positive,emotions of rejection,emotional movement
2,GerDracor/schiller-die-piccolomini.xml,140,172,Spät kommt Ihr – Doch Ihr kommt!,positive,emotions of joy,joy
3,GerDracor/schiller-die-piccolomini.xml,173,226,"Der weite Weg, Graf Isolan, entschuldigt Euer Säumen.",negative,emotions of suffering,suffering
4,GerDracor/schiller-die-piccolomini.xml,227,267,Wir kommen auch mit leeren Händen nicht!,positive,emotions of joy,Schadenfreude
5,GerDracor/schiller-die-piccolomini.xml,268,386,"Es ward uns angesagt bei Donauwerth, Ein schwedischer Transport sei unterwegs Mit Proviant, an die sechshundert Wagen.",negative,emotions of joy,fear
6,GerDracor/schiller-die-piccolomini.xml,387,443,"– Den griffen die Kroaten mir noch auf, Wir bringen ihn.",negative,emotions of joy,Schadenfreude
7,GerDracor/schiller-die-piccolomini.xml,444,513,"Er kommt uns grad zu paß, Die stattliche Versammlung hier zu speisen.",positive,emotions of joy,joy
8,GerDracor/schiller-die-piccolomini.xml,514,550,"Es ist schon lebhaft hier, ich sehs.",emotional movement,emotions of joy,emotional movement
9,GerDracor/schiller-die-piccolomini.xml,551,616,"Ja, ja, Die Kirchen selber liegen voll Soldaten, Sich umschauend.",negative,emotional movement,emotional movement
10,GerDracor/schiller-die-piccolomini.xml,617,696,"Auch auf dem Rathaus, seh ich, habt ihr euch Schon ziemlich eingerichtet – Nun!",positive,emotions of joy,joy
11,GerDracor/schiller-die-piccolomini.xml,697,701,nun!,negative,emotions of rejection,anger
12,GerDracor/schiller-die-piccolomini.xml,702,751,"der Soldat Behilft und schickt sich, wie er kann!",negative,emotions of affection,anger
13,GerDracor/schiller-die-piccolomini.xml,752,980,"Von dreißig Regimentern haben sich Die Obersten zusammen schon gefunden, Den Terzky trefft Ihr hier, den Tiefenbach, Colalto, Götz, Maradas, Hinnersam, Auch Sohn und Vater Piccolomini, – Ihr werdet manchen alten Freund begrüßen.",positive,emotions of joy,joy
14,GerDracor/schiller-die-piccolomini.xml,981,1021,Nur Gallas fehlt uns noch und Altringer.,positive,emotions of affection,fear
15,GerDracor/schiller-die-piccolomini.xml,1022,1046,Auf Gallas wartet nicht.,negative,emotions of rejection,emotional movement
16,GerDracor/schiller-die-piccolomini.xml,1047,1054,stutzt.,emotional movement,emotional movement,emotional movement
17,GerDracor/schiller-die-piccolomini.xml,1055,1061,Wieso?,emotional movement,emotional movement,emotional movement
18,GerDracor/schiller-die-piccolomini.xml,1062,1089,Wißt Ihr – unterbricht ihn.,negative,emotions of rejection,anger
19,GerDracor/schiller-die-piccolomini.xml,1090,1111,Max Piccolomini hier?,emotional movement,emotional movement,emotional movement
20,GerDracor/schiller-die-piccolomini.xml,1112,1114,O!,emotional movement,emotions of suffering,emotional movement
21,GerDracor/schiller-die-piccolomini.xml,1115,1133,führt mich zu ihm.,positive,emotions of affection,emotional movement
22,GerDracor/schiller-die-piccolomini.xml,1134,1303,"Ich seh ihn noch – es sind jetzt zehen Jahr –  Den Rappen sprengen von der Brücke herab, Und zu dem Vater, der in Nöten war, Sich durch der Elbe reißend Wasser schlagen.",negative,emotions of suffering,suffering
23,GerDracor/schiller-die-piccolomini.xml,1304,1398,"Da sproßt' ihm kaum der erste Flaum ums Kinn, Jetzt, hör ich, soll der Kriegsheld fertig sein.",negative,emotions of suffering,Schadenfreude
24,GerDracor/schiller-die-piccolomini.xml,1399,1428,Ihr sollt ihn heut noch sehn.,positive,emotions of affection,joy
