,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
520,GerDracor/beer-der-paria.xml,32547,32591,Die brennende Fackel vom Baumstamme reißend.,negative,emotions of fear,fear
521,GerDracor/beer-der-paria.xml,32592,32682,"Die Fackel schleudern will ich in die Kammer, Und Vater, Mutter, Kind und Feind verderben.",negative,emotions of rejection,"hate, disgust"
522,GerDracor/beer-der-paria.xml,32683,32709,ihr die Fackel entreißend.,negative,emotions of rejection,despair
523,GerDracor/beer-der-paria.xml,32710,32719,Weh' dir!,negative,emotions of suffering,compassion
524,GerDracor/beer-der-paria.xml,32720,32797,"das ist des Unglücks höchster Jammer, Daß es zur Rettung das Verbrechen ruft.",negative,emotions of suffering,compassion
525,GerDracor/beer-der-paria.xml,32798,32820,Die Fackel umstürzend.,negative,emotions of fear,fear
526,GerDracor/beer-der-paria.xml,32821,32835,"Stirb, Flamme!",negative,emotions of fear,despair
527,GerDracor/beer-der-paria.xml,32836,32912,"Wie ich lebte, will ich sterben, Versöhnt und rein geh' ich hinab zur Gruft.",negative,emotions of affection,friendship
528,GerDracor/beer-der-paria.xml,32913,32926,Großherziger!,negative,emotions of rejection,emotional movement
529,GerDracor/beer-der-paria.xml,32927,32938,Gewalt'ger!,negative,emotions of rejection,anger
530,GerDracor/beer-der-paria.xml,32939,32988,Die giftige Frucht am Boden erblickend; für sich.,negative,emotions of rejection,"hate, disgust"
531,GerDracor/beer-der-paria.xml,32989,33006,"Dank dir, Himmel!",positive,emotions of suffering,joy
532,GerDracor/beer-der-paria.xml,33007,33051,"So bleibt ein and'res Mittel, wir sind frei.",negative,emotions of joy,suffering
533,GerDracor/beer-der-paria.xml,33052,33103,"Sie verbirgt die Frucht, ohne daß es Gadhi bemerkt.",negative,emotions of rejection,love
534,GerDracor/beer-der-paria.xml,33104,33111,Vorige.,positive,emotions of rejection,emotional movement
535,GerDracor/beer-der-paria.xml,33112,33121,Das Kind.,negative,emotions of suffering,suffering
536,GerDracor/beer-der-paria.xml,33122,33131,Benascar.,emotional movement,emotions of rejection,emotional movement
537,GerDracor/beer-der-paria.xml,33132,33142,von innen.,negative,emotions of suffering,suffering
