,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1918,GerDracor/collin-coriolan.xml,86253,86260,– Sieh!,positive,emotions of suffering,emotional movement
1919,GerDracor/collin-coriolan.xml,86261,86278,Mein Vater starb!,negative,emotions of fear,suffering
1920,GerDracor/collin-coriolan.xml,86279,86325,Da blieb Die Mutter mir – doch welche Mutter!!,negative,emotions of suffering,suffering
1921,GerDracor/collin-coriolan.xml,86326,86371,"– Wahrlich, Du hast an ihr ein großes Muster.",positive,emotions of affection,admiration
1922,GerDracor/collin-coriolan.xml,86372,86377,Sohn!,negative,emotional movement,emotional movement
1923,GerDracor/collin-coriolan.xml,86378,86399,Wir seh’n uns wieder!,positive,emotions of joy,joy
1924,GerDracor/collin-coriolan.xml,86400,86431,"Mutter, lange dürft’ Es währen.",negative,emotional movement,love
1925,GerDracor/collin-coriolan.xml,86432,86453,"– Mutter, deine Hand!",negative,emotions of fear,love
1926,GerDracor/collin-coriolan.xml,86454,86481,Sie hat Mich treu gepflegt!,positive,emotions of affection,love
1927,GerDracor/collin-coriolan.xml,86482,86496,Die gute Hand!,positive,emotions of affection,joy
1928,GerDracor/collin-coriolan.xml,86497,86590,"Laß mich Sie küssen – so – Und auch die Augen, ach Die viele Nächte sorgend für mich wachten!",positive,emotions of affection,love
1929,GerDracor/collin-coriolan.xml,86591,86608,Sie sind so mild!,positive,emotions of joy,joy
1930,GerDracor/collin-coriolan.xml,86609,86613,Wie?,emotional movement,emotional movement,emotional movement
1931,GerDracor/collin-coriolan.xml,86614,86623,Thränen??,negative,emotions of suffering,suffering
1932,GerDracor/collin-coriolan.xml,86624,86639,Liebst du mich!,positive,emotions of affection,love
1933,GerDracor/collin-coriolan.xml,86640,86666,So bange klopft dein Herz!,negative,emotions of fear,fear
1934,GerDracor/collin-coriolan.xml,86667,86676,O Mutter!,negative,emotions of suffering,suffering
1935,GerDracor/collin-coriolan.xml,86677,86685,Mutter!!,negative,emotional movement,emotional movement
1936,GerDracor/collin-coriolan.xml,86687,86703,"Reichlich, Sohn!",negative,emotions of joy,Schadenfreude
1937,GerDracor/collin-coriolan.xml,86704,86732,Befreyest du mein Vaterland.,negative,emotions of rejection,admiration
1938,GerDracor/collin-coriolan.xml,86733,86744,Ich werde!!,negative,emotions of fear,fear
1939,GerDracor/collin-coriolan.xml,86745,86771,"So lebe wohl dann, Mutter!",negative,emotions of suffering,suffering
1940,GerDracor/collin-coriolan.xml,86772,86782,lebe wohl!,negative,emotions of suffering,love
1941,GerDracor/collin-coriolan.xml,86783,86915,"– Volumnia – wo wir uns immer treffen, In meinem Herzen wirst du Dank und Liebe Dir treu bewahret finden – Lebe wohl, Du gute Seele!",positive,emotions of affection,love
1942,GerDracor/collin-coriolan.xml,86916,86929,– Lebe wohl!!,negative,emotions of suffering,suffering
1943,GerDracor/collin-coriolan.xml,86930,86974,– erhalte Den Kindern dich – Mein Marcius!!!,positive,emotions of affection,love
1944,GerDracor/collin-coriolan.xml,86975,86984,O stille!,negative,emotions of suffering,suffering
1945,GerDracor/collin-coriolan.xml,86985,87070,Noch diesen Ruß – und diesen hier den Söhnen – – Nun ziehet schweigend aus dem Lager!,negative,emotions of rejection,anger
1946,GerDracor/collin-coriolan.xml,87071,87084,"Geht, O geht!",positive,emotions of fear,emotional movement
1947,GerDracor/collin-coriolan.xml,87085,87126,Ihr fühlt ja selbst – der Abschied quält.,negative,emotions of suffering,suffering
1948,GerDracor/collin-coriolan.xml,87127,87134,Wohlan!,positive,emotions of suffering,joy
