,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1320,GerDracor/cronegk-codrus.xml,77710,77724,Ich weine nun!,negative,emotions of suffering,suffering
1321,GerDracor/cronegk-codrus.xml,77725,77762,"– – Natur, wie stark ist deine Macht?",negative,emotional movement,emotional movement
1322,GerDracor/cronegk-codrus.xml,77763,77773,Mein Sohn!,emotional movement,emotional movement,emotional movement
1323,GerDracor/cronegk-codrus.xml,77774,77784,mein Sohn!,emotional movement,emotional movement,emotional movement
1324,GerDracor/cronegk-codrus.xml,77785,77817,Wozu hast du mich itzt gebracht?,negative,emotions of rejection,emotional movement
1325,GerDracor/cronegk-codrus.xml,77819,77855,(zu Artander) Sieh meine Thränen an!,negative,emotions of suffering,suffering
1326,GerDracor/cronegk-codrus.xml,77856,77877,Sieh mich erniedrigt!,negative,emotions of suffering,suffering
1327,GerDracor/cronegk-codrus.xml,77878,77890,– – – Siege!,positive,emotions of joy,joy
1328,GerDracor/cronegk-codrus.xml,77891,77898,Tyrann!,negative,emotions of rejection,anger
1329,GerDracor/cronegk-codrus.xml,77899,77983,"Ich komme, dich um Mitleid anzuflehn, Verschone meinen Sohn, laß mich zum Tode gehn!",negative,emotions of suffering,compassion
1330,GerDracor/cronegk-codrus.xml,77984,78054,Er hat aus blinder Wahl sich für mich hingegeben Du willst ihn tödten?,negative,emotions of fear,despair
1331,GerDracor/cronegk-codrus.xml,78055,78058,Du?,emotional movement,emotional movement,emotional movement
1332,GerDracor/cronegk-codrus.xml,78059,78090,Schenkt er dir nicht das Leben?,positive,emotions of affection,love
1333,GerDracor/cronegk-codrus.xml,78091,78220,"Ists möglich daß dein Herz den Trieb der Menschheit spürt, Und daß die Dankbarkeit die stolze Seele rührt, So schone meinen Sohn!",negative,emotions of joy,admiration
1334,GerDracor/cronegk-codrus.xml,78221,78369,"– – Du scheinest unbeweget, Mein Schmerz hat noch bey dir die Menschheit nicht erreget: Sprich, willst du mich vielleicht noch mehr erniedrigt sehn?",negative,emotions of suffering,suffering
1335,GerDracor/cronegk-codrus.xml,78370,78390,(Verzeih o Theseus!),negative,emotions of suffering,suffering
1336,GerDracor/cronegk-codrus.xml,78391,78419,"Ja, Tyrann es soll geschehn.",negative,emotions of rejection,"hate, disgust"
1337,GerDracor/cronegk-codrus.xml,78420,78442,Sieh meine ganze Wuth!,negative,emotions of rejection,anger
1338,GerDracor/cronegk-codrus.xml,78443,78470,Sieh meine Thränen fließen!,negative,emotions of suffering,suffering
1339,GerDracor/cronegk-codrus.xml,78471,78532,Sieh mich – – ich sterbe fast – – Sieh mich zu deinen Füssen.,negative,emotions of suffering,despair
1340,GerDracor/cronegk-codrus.xml,78533,78583,(Sie wirft sich nieder) Steh auf und geh von hier!,negative,emotions of fear,despair
1341,GerDracor/cronegk-codrus.xml,78584,78611,Du sollst ihn sterben sehn.,negative,emotions of suffering,despair
1342,GerDracor/cronegk-codrus.xml,78612,78622,steht auf.,positive,emotional movement,emotional movement
1343,GerDracor/cronegk-codrus.xml,78623,78676,Itzt fürchte meinen Zorn nach dem verschmähten Flehn!,negative,emotions of fear,fear
1344,GerDracor/cronegk-codrus.xml,78677,78774,"Ein Herz wie meines ist, wird es so weit getrieben, Bis zur Erniedrigung, kann jede That verüben.",negative,emotions of suffering,love
1345,GerDracor/cronegk-codrus.xml,78775,78822,Vergebens ließ ich mich zum Flehen nicht herab!,negative,emotions of suffering,suffering
1346,GerDracor/cronegk-codrus.xml,78823,78895,"Verschone meinen Sohn, der dir das Leben gab, Wenn du dein Leben liebst!",negative,emotions of affection,compassion
1347,GerDracor/cronegk-codrus.xml,78896,78923,Ich scheue kein Verbrechen.,negative,emotions of fear,fear
1348,GerDracor/cronegk-codrus.xml,78924,78984,Ich will nichts als den Tod; doch will ich erst mich rächen!,negative,emotions of rejection,"hate, disgust"
1349,GerDracor/cronegk-codrus.xml,78985,78992,Tyrann!,negative,emotions of rejection,anger
1350,GerDracor/cronegk-codrus.xml,78993,79006,erzittre nur.,negative,emotions of rejection,suffering
1351,GerDracor/cronegk-codrus.xml,79007,79104,"Verlangst du nichts als Blut, So nimm das Meinige zum Opfer deiner Wuth: Doch weiter wage nichts!",negative,emotions of rejection,"hate, disgust"
1352,GerDracor/cronegk-codrus.xml,79105,79194,"– – Ihr eilt nicht, ihn zu strafen, Ihr Götter, könnt ihn sehn, und eure Blitze schlafen!",negative,emotions of joy,suffering
1353,GerDracor/cronegk-codrus.xml,79195,79207,Was sag ich!,negative,emotional movement,emotional movement
