,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
738,GerDracor/goethe-clavigo.xml,56164,56171,Carlos!,emotional movement,emotional movement,emotional movement
739,GerDracor/goethe-clavigo.xml,56172,56179,Carlos!,emotional movement,emotional movement,emotional movement
740,GerDracor/goethe-clavigo.xml,56180,56221,"Wärst du nie gestiegen, um nie zu fallen!",negative,emotions of suffering,fear
741,GerDracor/goethe-clavigo.xml,56222,56262,Mit welchen Augen werden sie das ansehn!,negative,emotions of suffering,joy
742,GerDracor/goethe-clavigo.xml,56263,56311,"Da
            ist der Bruder, werden sie sagen!",positive,emotions of affection,joy
743,GerDracor/goethe-clavigo.xml,56312,56440,"das muß ein braver Kerl sein, der hat ihn ins
            Bockshorn gejagt, er hat sich nicht getraut, ihm die Spitze zu bieten.",negative,emotions of rejection,anger
744,GerDracor/goethe-clavigo.xml,56441,56444,Ha!,emotional movement,emotional movement,emotional movement
745,GerDracor/goethe-clavigo.xml,56445,56547,"werden unsre
            schwadronierenden Hofjunker sagen, man sieht immer, daß er kein Kavalier ist.",negative,emotions of rejection,anger
746,GerDracor/goethe-clavigo.xml,56548,56552,Pah!,negative,emotions of rejection,emotional movement
747,GerDracor/goethe-clavigo.xml,56553,56644,"ruft
            einer und rückt den Hut in die Augen, der Franzos hätte mir kommen sollen!",positive,emotions of rejection,anger
748,GerDracor/goethe-clavigo.xml,56645,56767,"und patscht
            sich auf den Bauch, ein Kerl, der vielleicht nicht wert wäre, dein Reitknecht zu
            sein.",negative,emotions of rejection,"hate, disgust"
749,GerDracor/goethe-clavigo.xml,56768,56882,"fällt in dem Ausbruch der heftigsten Beängstigung, mit einem Strom von Tränen, dem
            Carlos um den Hals.",negative,emotions of fear,suffering
750,GerDracor/goethe-clavigo.xml,56883,56894,Rette mich!,negative,emotions of fear,fear
751,GerDracor/goethe-clavigo.xml,56895,56902,Freund!,positive,emotions of affection,friendship
752,GerDracor/goethe-clavigo.xml,56903,56927,"mein Bester, rette mich!",positive,emotions of fear,fear
753,GerDracor/goethe-clavigo.xml,56928,57042,"Rette mich von dem gedoppelten Meineid,
            von der unübersehlichen Schande, von mir selbst – ich vergehe!",negative,emotions of fear,despair
754,GerDracor/goethe-clavigo.xml,57043,57049,Armer!,negative,emotions of suffering,compassion
755,GerDracor/goethe-clavigo.xml,57050,57058,Elender!,negative,emotions of rejection,anger
756,GerDracor/goethe-clavigo.xml,57059,57362,"Ich hoffte, diese jugendlichen so Rasereien, diese stürmenden Tränen,
            diese versinkende Wehmut sollte vorüber sein, ich hoffe, dich als Mann nicht mehr
            erschüttert, nicht mehr in dem beklemmenden Jammer zu sehen, den du ehemals so oft in
            meinen Busen ausgeweint hast.",negative,emotions of suffering,suffering
757,GerDracor/goethe-clavigo.xml,57363,57399,"Ermanne dich, Clavigo, ermanne dich!",negative,emotional movement,compassion
758,GerDracor/goethe-clavigo.xml,57400,57416,Laß mich weinen!,negative,emotions of suffering,suffering
759,GerDracor/goethe-clavigo.xml,57418,57448,Er wirft sich in einen Sessel.,emotional movement,emotional movement,suffering
760,GerDracor/goethe-clavigo.xml,57449,57517,"Weh dir, daß du eine Bahn betreten hast, die du nicht endigen wirst!",negative,emotions of rejection,suffering
761,GerDracor/goethe-clavigo.xml,57518,57724,"Mit deinem Herzen,
            deinen Gesinnungen, die einen ruhigen Bürger glücklich machen würden,  richtet sich auf, sieht Carlos an und reicht ihm die Hand, die Carlos mit
            Heftigkeit anfaßt.",positive,emotions of affection,joy
762,GerDracor/goethe-clavigo.xml,57725,57729,Auf!,negative,emotions of fear,emotional movement
763,GerDracor/goethe-clavigo.xml,57730,57768,"auf, mein Freund und entschließe dich.",positive,emotions of fear,friendship
764,GerDracor/goethe-clavigo.xml,57769,57883,"Sieh, ich will alles beiseitesetzen, ich
            will sagen: Hier liegen zwei Vorschläge auf gleichen Schalen.",positive,emotions of joy,joy
765,GerDracor/goethe-clavigo.xml,57884,58122,"Entweder du heiratest
            Marien und findest dein Glück in einem stillen bürgerlichen Leben, in den ruhigen
            häuslichen Freuden; oder führest auf der ehrenvollen Bahn deinen Lauf weiter nach dem
            nahen Ziele.",positive,emotions of joy,joy
766,GerDracor/goethe-clavigo.xml,58123,58288,"Ich will alles beiseitesetzen und will sagen: Die Zunge steht inne, es
            kommt auf deinen Entschluß an, welche von beiden Schalen den Ausschlag haben soll!",emotional movement,emotions of rejection,anger
