,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
91,GerDracor/gotter-medea.xml,4157,4202,"– ... Räche dich, und
            stirb dann!",negative,emotions of fear,despair
92,GerDracor/gotter-medea.xml,4203,4247,"– ... Umsonst sträubst du dich, arme Mutter!",negative,emotions of suffering,compassion
93,GerDracor/gotter-medea.xml,4248,4261,– ... Vergiß!,negative,emotions of rejection,despair
94,GerDracor/gotter-medea.xml,4262,4301,"vergiß, daß sie
            dein waren!",positive,emotions of affection,love
95,GerDracor/gotter-medea.xml,4302,4369,"– ... Reiß sie aus deinem Herzen, wie er dich aus dem seinigen riß!",negative,emotions of affection,love
96,GerDracor/gotter-medea.xml,4370,4524,"– ...
                  Sie geht mit fürchterlicher Geberde umher, und bleibt
              endlich in der starren Begeisterung einer Beschwörerin stehen.",negative,emotional movement,emotional movement
97,GerDracor/gotter-medea.xml,4525,4618,"Das ganze Theater wird
              Nacht, und ein schreckliches Ungewitter läßt sich hören.",negative,emotions of fear,fear
98,GerDracor/gotter-medea.xml,4619,4718,"Sie stürzt mit gezückten Dolch in den
              Palast, das Ungewitter dauert einige Zeit fort.",negative,emotions of fear,fear
99,GerDracor/gotter-medea.xml,4719,4785,"erscheint athemlos, bleich, und mit zerrissenen Haaren am Eingang.",negative,emotions of fear,suffering
100,GerDracor/gotter-medea.xml,4786,4803,Es ist geschehen!,positive,emotions of suffering,joy
101,GerDracor/gotter-medea.xml,4804,4814,geschehen!,negative,emotions of suffering,emotional movement
102,GerDracor/gotter-medea.xml,4815,4849,– ... Schlummert sanft ihr Lieben!,negative,emotions of affection,suffering
103,GerDracor/gotter-medea.xml,4850,4870,– ... Euch ist wohl!,positive,emotions of joy,joy
104,GerDracor/gotter-medea.xml,4871,4916,"–
            ... Zerbrochen ist euer Kerker!",negative,emotions of fear,suffering
105,GerDracor/gotter-medea.xml,4917,4950,– ... Wer auch frey ware wie ihr.,negative,emotions of rejection,joy
106,GerDracor/gotter-medea.xml,4952,5022,"Sinkt auf die
              Schwelle nieder und spricht mit der Musik.",negative,emotional movement,suffering
107,GerDracor/gotter-medea.xml,5023,5051,"Sich
              erhebend.",positive,emotional movement,emotional movement
108,GerDracor/gotter-medea.xml,5052,5069,Sie verschwindet.,negative,emotions of fear,emotional movement
109,GerDracor/gotter-medea.xml,5070,5083,Jason rasend.,negative,emotions of rejection,anger
110,GerDracor/gotter-medea.xml,5084,5136,"Hernach Medea, gleichsam unsichtbar auf ihren Wagen.",negative,emotions of rejection,emotional movement
111,GerDracor/gotter-medea.xml,5137,5148,Wo bin ich?,emotional movement,emotional movement,emotional movement
112,GerDracor/gotter-medea.xml,5149,5177,... Soll Korinth untergehen?,negative,emotional movement,fear
113,GerDracor/gotter-medea.xml,5178,5202,– ... Wer verfolgt mich?,emotional movement,emotions of fear,emotional movement
114,GerDracor/gotter-medea.xml,5203,5240,"– ... Kreusa, wo bist
            du?",emotional movement,emotional movement,emotional movement
115,GerDracor/gotter-medea.xml,5241,5277,– ... Wer riß dich aus meinen Armen?,emotional movement,emotions of affection,love
116,GerDracor/gotter-medea.xml,5278,5301,– ... Wo find ich dich?,emotional movement,emotional movement,emotional movement
117,GerDracor/gotter-medea.xml,5302,5358,"– ... Was für Schlangen
            zischen um mich her?",negative,emotions of fear,fear
118,GerDracor/gotter-medea.xml,5359,5371,– ... Feuer!,negative,emotions of rejection,fear
119,GerDracor/gotter-medea.xml,5372,5378,Feuer!,negative,emotions of rejection,anger
120,GerDracor/gotter-medea.xml,5379,5424,– ... Jetzt leckt es am Saume meines Mantels!,negative,emotions of suffering,"hate, disgust"
