,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1538,GerDracor/grillparzer-die-ahnfrau.xml,86128,86158,Gab mirs nicht mein Bräutigam?,positive,emotions of joy,joy
1539,GerDracor/grillparzer-die-ahnfrau.xml,86159,86187,Gab zum Brautgeschenke mirs.,positive,emotions of joy,joy
1540,GerDracor/grillparzer-die-ahnfrau.xml,86188,86286,"Sprach er nicht als er mirs gab, Daß in dieser kleinen Wiege Schlummernd drin der Schlummer liege?",positive,emotions of affection,love
1541,GerDracor/grillparzer-die-ahnfrau.xml,86287,86305,Ach der Schlummer!,negative,emotions of suffering,suffering
1542,GerDracor/grillparzer-die-ahnfrau.xml,86306,86324,"Ja, der Schlummer!",negative,emotions of suffering,emotional movement
1543,GerDracor/grillparzer-die-ahnfrau.xml,86325,86412,"Laß an deinem Rand mich nippen, Kühlen diese heißen Lippen, Aber leise – leise – leise.",negative,emotions of suffering,love
1544,GerDracor/grillparzer-die-ahnfrau.xml,86413,86495,"– Sie geht auf den Zehenspitzen, mit jedem Schritte mehr wankend auf den Tisch zu.",negative,emotions of suffering,emotional movement
1545,GerDracor/grillparzer-die-ahnfrau.xml,86496,86553,"Eh
            sie ihn noch erreicht, sinkt sie zu Boden.",negative,emotions of suffering,suffering
1546,GerDracor/grillparzer-die-ahnfrau.xml,86554,86568,Schloßzwinger.,negative,emotions of rejection,emotional movement
1547,GerDracor/grillparzer-die-ahnfrau.xml,86569,86607,Von allen Seiten halbverfallene Werke.,negative,emotions of rejection,"hate, disgust"
1548,GerDracor/grillparzer-die-ahnfrau.xml,86608,86678,"Links an einer Wand des
          Vorgrundes ein Fenster in der Mauer.",positive,emotions of fear,suffering
1549,GerDracor/grillparzer-die-ahnfrau.xml,86679,86753,"Im Hintergrunde ein Teil des Wohngebäudes mit der
          Schloßkapelle.",negative,emotions of suffering,suffering
1550,GerDracor/grillparzer-die-ahnfrau.xml,86754,86776,kommt durch die Nacht.,positive,emotions of fear,emotional movement
1551,GerDracor/grillparzer-die-ahnfrau.xml,86777,86813,"So, – Hier ist der Ort, das Fenster!",negative,emotions of joy,emotional movement
1552,GerDracor/grillparzer-die-ahnfrau.xml,86814,86905,"Hier in diesen wüsten Mauern Will ich tiefverborgen lauern, Bis des Glückes Stunde schlägt.",negative,emotions of fear,joy
1553,GerDracor/grillparzer-die-ahnfrau.xml,86906,86924,Auf und ab gehend.,emotional movement,emotional movement,emotional movement
1554,GerDracor/grillparzer-die-ahnfrau.xml,86925,87017,"Fort, ihr marternden Gedanken, Schlingt nicht eure dunkeln Ranken In dies weichliche Gefühl!",negative,emotions of suffering,suffering
1555,GerDracor/grillparzer-die-ahnfrau.xml,87019,87079,"Fest und mutig, den erschüttert Loser Bilder leichtes Spiel!",negative,emotions of fear,emotional movement
1556,GerDracor/grillparzer-die-ahnfrau.xml,87080,87178,"– Ha, und wenn ich ihn erschlug, Ihn der mich erschlagen wollte, Was ists, daß ich zittern sollte?",negative,emotions of fear,fear
1557,GerDracor/grillparzer-die-ahnfrau.xml,87179,87209,Hat die Tat nicht Grund genug?,negative,emotions of suffering,emotional movement
1558,GerDracor/grillparzer-die-ahnfrau.xml,87210,87330,"Hab ich ihm den Tod gegeben, Wars in ehrlichem Gefecht, Ei, und Leben ja um Leben, Spricht die Sitte, spricht das Recht!",negative,emotions of rejection,"hate, disgust"
1559,GerDracor/grillparzer-die-ahnfrau.xml,87331,87389,"Wer ists, der darob errötet, Daß er seinen  Was ists mehr?",negative,emotional movement,suffering
1560,GerDracor/grillparzer-die-ahnfrau.xml,87390,87446,"– Drum fort mit euch, War ich sonst doch nicht so weich!",negative,emotions of rejection,suffering
1561,GerDracor/grillparzer-die-ahnfrau.xml,87447,87509,"– Und wenns recht, was ich getan, Warum faßt mich Schauder an?",negative,emotions of rejection,emotional movement
1562,GerDracor/grillparzer-die-ahnfrau.xml,87510,87568,"Warum brennt es hier so heiß, Warum wird mein Blut zu Eis?",negative,emotions of fear,emotional movement
1563,GerDracor/grillparzer-die-ahnfrau.xml,87569,87683,"Warum schiens, als ich es tat, In dem schwarzen Augenblicke, Teufel zögen mich zur Tat, Gottes Engel mich zurücke!",negative,emotions of fear,suffering
1564,GerDracor/grillparzer-die-ahnfrau.xml,87684,87925,"Als ich fliehend in den Gang, Der Verfolger nach mir sprang, Schon sein Atem mir im Nacken, Jetzt mich seine Hände packen, Da riefs warnend tief in mir, Deine Waffen wirf von dir Und dich hin zu seinen Füßen, Süß ists durch den Tod zu büßen!",negative,emotions of fear,despair
1565,GerDracor/grillparzer-die-ahnfrau.xml,87926,88008,"Aber rasch, mit neuer Glut Flammt empor die Räuberwut Und ruft ungestüm nach Blut.",negative,emotions of rejection,"hate, disgust"
1566,GerDracor/grillparzer-die-ahnfrau.xml,88009,88159,"Vor den Augen seh ichs flirren,  Geister, bleich wie Mondenglanz, Wirbeln sich im Ringeltanz, Und der Dolch in meiner Hand Glühet wie ein Höllenbrand!",negative,emotions of fear,fear
1567,GerDracor/grillparzer-die-ahnfrau.xml,88160,88187,"Rette, ruft es, rette dich!",negative,emotions of fear,fear
1568,GerDracor/grillparzer-die-ahnfrau.xml,88188,88219,Und blind stoß ich hinter mich.,negative,emotions of rejection,suffering
1569,GerDracor/grillparzer-die-ahnfrau.xml,88220,88231,Ha es traf.,positive,emotions of joy,joy
1570,GerDracor/grillparzer-die-ahnfrau.xml,88232,88335,"Ein wimmernd Ach Folgt dem raschen Stoße nach, Mit bekannter, süßer Stimme, Mit erstorbner Klagestimme.",negative,emotions of suffering,suffering
1571,GerDracor/grillparzer-die-ahnfrau.xml,88336,88366,Bebend hör ich sie erschallen.,negative,emotions of suffering,emotional movement
1572,GerDracor/grillparzer-die-ahnfrau.xml,88367,88421,Da faßt ungeheure Angst Mich mit kalten Eises-Krallen.,negative,emotions of fear,fear
1573,GerDracor/grillparzer-die-ahnfrau.xml,88422,88455,Wahnsinn zuckt mir durchs Gehirn.,negative,emotional movement,despair
1574,GerDracor/grillparzer-die-ahnfrau.xml,88456,88546,Bebend such ich zu entweichen Mit dem blutigen Kains-Zeichen Flammend auf der Mörderstirn.,negative,emotions of rejection,despair
1575,GerDracor/grillparzer-die-ahnfrau.xml,88547,88768,"All mein Ringen, all mein Treiben Kann den Ton nicht übertäuben, Immer dröhnt mir dumpf und bang In das Ohr sein hohler Klang; Und mag ich mirs immer sagen: Deinen  Ruft der Hölle giftger Hohn: Das war keines Feindes Ton!",negative,emotions of fear,despair
1576,GerDracor/grillparzer-die-ahnfrau.xml,88769,88838,"– Doch wer naht dort durch die Trümmer, Eilig schreitend auf mich zu?",negative,emotions of fear,fear
1577,GerDracor/grillparzer-die-ahnfrau.xml,88839,88843,Tor!,negative,emotions of rejection,anger
1578,GerDracor/grillparzer-die-ahnfrau.xml,88844,88898,"Den Rückweg findst du nimmer, Ich muß fallen, oder du.",negative,emotions of rejection,fear
1579,GerDracor/grillparzer-die-ahnfrau.xml,88899,89000,"Denn wenn  Erst gesättigt seine Wut, Bleibt die Gierde ewig Sieger Und sein Innres schreit nach Blut.",negative,emotions of rejection,"hate, disgust"
1580,GerDracor/grillparzer-die-ahnfrau.xml,89001,89022,Er zieht sich zurück.,negative,emotions of suffering,suffering
1581,GerDracor/grillparzer-die-ahnfrau.xml,89023,89038,Boleslav kommt.,emotional movement,emotions of fear,emotional movement
1582,GerDracor/grillparzer-die-ahnfrau.xml,89039,89053,Gott sei Dank!,negative,emotions of fear,joy
1583,GerDracor/grillparzer-die-ahnfrau.xml,89054,89160,"Es ist gelungen, Ledig bin ich meiner Haft, Doch von Mauern noch umrungen Und schon schwindet meine Kraft.",positive,emotions of fear,suffering
1584,GerDracor/grillparzer-die-ahnfrau.xml,89161,89253,"Daß ich ihn doch finden könnte, Ihn, den Teuern, den ich suche, Meinen, seinen, unsern Sohn.",positive,emotions of suffering,suffering
1585,GerDracor/grillparzer-die-ahnfrau.xml,89254,89409,"Werf ich mich mit Jaromir Zu des mächtgen Vaters Füßen, O dann muß der Richter schonen, Trifft desselben Schwertes Streich, Doch den Sohn mit mir zugleich.",negative,emotions of rejection,"hate, disgust"
1586,GerDracor/grillparzer-die-ahnfrau.xml,89410,89424,hervortretend.,emotional movement,emotional movement,emotional movement
1587,GerDracor/grillparzer-die-ahnfrau.xml,89425,89454,Das ist meines Vaters Stimme!,positive,emotions of joy,joy
1588,GerDracor/grillparzer-die-ahnfrau.xml,89455,89463,Jaromir!,emotional movement,emotional movement,emotional movement
1589,GerDracor/grillparzer-die-ahnfrau.xml,89464,89475,– du bists?,positive,emotions of joy,emotional movement
