,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
488,GerDracor/gryphius-cardenio-und-celinde.xml,52791,52841,Wer weiß ob nicht den Sinn die erste Tugend rührt.,negative,emotions of affection,joy
489,GerDracor/gryphius-cardenio-und-celinde.xml,52842,52893,Lysander wird gewiß den grimm'sten Feind verlieren.,negative,emotions of fear,friendship
490,GerDracor/gryphius-cardenio-und-celinde.xml,52894,52947,Mehr ich / die dadurch frey von seinem steten spüren.,negative,emotions of affection,joy
491,GerDracor/gryphius-cardenio-und-celinde.xml,52948,52999,Der Keuschheit wird vmbsonst gespüret vnd gestellt.,positive,emotions of affection,love
492,GerDracor/gryphius-cardenio-und-celinde.xml,53000,53053,Die leicht doch in den Mund deß blinden Pövels fällt.,negative,emotions of rejection,"hate, disgust"
493,GerDracor/gryphius-cardenio-und-celinde.xml,53054,53160,Deß Pövels toller Mund wird nicht was keusch entehren; Man soll den Pövel nichts von keuschen Reden hören.,negative,emotions of rejection,anger
494,GerDracor/gryphius-cardenio-und-celinde.xml,53161,53212,Sein Hinzug führt mit ihm sein Lieb' vnd Leben hin.,positive,emotions of affection,love
495,GerDracor/gryphius-cardenio-und-celinde.xml,53213,53267,Ich schätzt es / wenn er schon verreiset / für Gewinn.,positive,emotions of affection,admiration
496,GerDracor/gryphius-cardenio-und-celinde.xml,53268,53364,In zwey drey Tagen wirst du deß Gewins genissen; Man kan ein grosses offt im Augenblicke missen.,positive,emotions of joy,joy
497,GerDracor/gryphius-cardenio-und-celinde.xml,53365,53376,Was missen?,negative,emotions of suffering,suffering
498,GerDracor/gryphius-cardenio-und-celinde.xml,53377,53416,Wenn der Feind das Lager schon verläst?,negative,emotions of fear,fear
499,GerDracor/gryphius-cardenio-und-celinde.xml,53417,53470,Wenn der Cornet erblast; entsteckt er Gifft vnd Pest.,negative,emotions of suffering,admiration
500,GerDracor/gryphius-cardenio-und-celinde.xml,53471,53650,Mein Bruder laß so viel dich meine Furcht bewegen Gib etwas auff jhn acht / sein Haß kan leicht sich regen / Indem Lysander sich gleich jetzt anheim begiebt Vnd er von hinnen wil.,negative,emotions of fear,fear
501,GerDracor/gryphius-cardenio-und-celinde.xml,53651,53655,Wol!,negative,emotional movement,emotional movement
502,GerDracor/gryphius-cardenio-und-celinde.xml,53656,53675,wie es dir beliebt!,positive,emotions of joy,joy
