,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
45,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,2550,2609,(Alle ab) (Das Theater verwandelt sich in die Polizeystube.,negative,emotions of rejection,anger
46,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,2610,2691,"An einem Tische sitzt Herr von
          Albern, neben ihm stehen einige Häscher.",negative,emotions of rejection,"hate, disgust"
47,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,2692,2820,"Auf der Erde in den zwey Vorderwinkeln des
          Zimmers liegen  Es kommt niemand von allen dreyen, um seinen Hund zu lösen.",negative,emotions of rejection,suffering
48,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,2821,2866,"Ich denke, wir schlagen sie
            todt.",negative,emotions of rejection,"hate, disgust"
49,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,2867,2903,Es wäre doch Schade um das Lösegeld.,negative,emotions of suffering,compassion
50,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,2904,2945,Was bekömmt der Büttel groß für das Fell.,negative,emotions of rejection,joy
51,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,2946,2988,"Der
            ganze Decher gilt 12 Mark.",negative,emotions of rejection,anger
52,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,2989,2995,Blitz!,emotional movement,emotional movement,emotional movement
53,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,2996,3004,so viel?,emotional movement,emotional movement,emotional movement
54,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3005,3037,Der muß Abgabe davon entrichten!,negative,emotions of rejection,anger
55,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3038,3117,"Bringt schon etwas ein, für jeden todten Hund 4 ß., hundert sind schon 25 Mark.",negative,emotions of suffering,compassion
56,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3118,3134,Da hat er Recht.,positive,emotions of joy,anger
57,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3135,3154,Rufe er mir Jägern.,negative,emotions of rejection,Schadenfreude
58,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3156,3216,(Häscher ab) (für sich) Da soll euch ja das Wetter regieren!,negative,emotions of rejection,"hate, disgust"
59,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3217,3226,Abdanken?,emotional movement,emotions of fear,emotional movement
60,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3227,3429,"Prosit die Mahlzeit, mein Herr – Fangen
            will ich, was mir in den Weg kommt; und bald soll man noch ein halbes Dutzend
            Wachthäuser bauen müssen, um die Arrestanten zu beherbergen.",positive,emotions of joy,anger
61,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3430,3435,Nein!,emotional movement,emotions of rejection,emotional movement
62,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3436,3525,"lieber mag ganz
            Halberna ein Gefängniß werden, ehe ich meinen Dienst aufgebe.",negative,emotions of rejection,suffering
63,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3526,3564,"Herr, mit dem Hundefellen ists nichts!",negative,emotions of rejection,anger
64,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3565,3641,"liegen alle auf dem Boden; können mit einigen
            Tausend aufwarten.",negative,emotions of suffering,suffering
65,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3642,3660,Hilft euch nichts!,negative,emotions of rejection,fear
66,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3661,3684,Müßt Abgabe entrichten!,negative,emotions of rejection,anger
67,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3685,3722,Da mag der Herr selbst Schinder seyn.,negative,emotions of rejection,anger
68,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3723,3754,Wir können nichts davon missen.,positive,emotions of affection,joy
69,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3755,3759,Was?,emotional movement,emotional movement,emotional movement
70,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3760,3781,Selbst Schinder seyn?,negative,emotions of rejection,emotional movement
71,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3782,3797,– Wie heißt er?,emotional movement,emotional movement,emotional movement
72,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3798,3805,Hannes.,emotional movement,emotional movement,emotional movement
73,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3806,3880,"Der Schinder Hannes aus Nagelberg zahlt, wegen ungebührlicher Reden, 3 Mk.",negative,emotions of rejection,anger
74,GerDracor/kannengiesser-die-vierbeinigten-philosophen.xml,3881,3931,"14 ß. Ihr Gnaden, ich hab's so böse nicht gemeynt.",negative,emotions of suffering,anger
