,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/lessing-miss-sara-sampson.xml,0,41, Der Schauplatz ist ein Saal im Gasthofe.,negative,emotions of suffering,suffering
1,GerDracor/lessing-miss-sara-sampson.xml,42,106,Sir William Sampson und Waitwell treten in Reisekleidern herein.,emotional movement,emotional movement,emotional movement
2,GerDracor/lessing-miss-sara-sampson.xml,107,126,Hier meine Tochter?,emotional movement,emotional movement,emotional movement
3,GerDracor/lessing-miss-sara-sampson.xml,127,161,Hier in diesem elenden Wirtshause?,negative,emotions of rejection,anger
4,GerDracor/lessing-miss-sara-sampson.xml,162,282,"Ohne Zweifel hat Mellefont mit Fleiß das allerelendeste im ganzen Städtchen zu seinem
              Aufenthalte gewählt.",negative,emotions of suffering,joy
5,GerDracor/lessing-miss-sara-sampson.xml,283,344,"Böse Leute suchen immer das Dunkle, weil sie böse Leute sind.",negative,emotions of rejection,"hate, disgust"
6,GerDracor/lessing-miss-sara-sampson.xml,359,441,"Aber was hilft es ihnen, wenn sie sich auch vor der ganzen Welt verbergen könnten?",negative,emotions of rejection,fear
7,GerDracor/lessing-miss-sara-sampson.xml,442,520,"Das
              Gewissen ist doch mehr, als eine ganze uns verklagende Welt.",negative,emotions of suffering,suffering
8,GerDracor/lessing-miss-sara-sampson.xml,521,585,"– Ach, Sie weinen schon
              wieder, schon wieder, Sir!",negative,emotions of suffering,suffering
9,GerDracor/lessing-miss-sara-sampson.xml,586,592,– Sir!,negative,emotional movement,emotional movement
10,GerDracor/lessing-miss-sara-sampson.xml,593,633,"Laß mich weinen, alter ehrlicher Diener.",negative,emotions of suffering,suffering
11,GerDracor/lessing-miss-sara-sampson.xml,634,690,"Oder verdient sie etwa meine Tränen
              nicht?",negative,emotions of suffering,compassion
12,GerDracor/lessing-miss-sara-sampson.xml,691,695,Ach!,negative,emotions of suffering,suffering
13,GerDracor/lessing-miss-sara-sampson.xml,696,747,"sie verdient sie, und wenn es blutige Tränen wären.",negative,emotions of suffering,compassion
14,GerDracor/lessing-miss-sara-sampson.xml,748,764,Nun so laß mich.,negative,emotions of suffering,suffering
15,GerDracor/lessing-miss-sara-sampson.xml,765,879,"Das beste, schönste, unschuldigste Kind, das unter der Sonne gelebt hat, das muß so
              verführt werden!",negative,emotions of rejection,"hate, disgust"
16,GerDracor/lessing-miss-sara-sampson.xml,880,892,Ach Sarchen!,negative,emotions of suffering,suffering
17,GerDracor/lessing-miss-sara-sampson.xml,893,901,Sarchen!,negative,emotions of rejection,emotional movement
18,GerDracor/lessing-miss-sara-sampson.xml,902,1101,"Ich habe dich aufwachsen sehen; hundertmal habe
              ich dich als ein Kind auf diesen meinen Armen gehabt; auf diesen meinen Armen habe ich
              dein Lächeln, dein Lallen bewundert.",positive,emotions of affection,love
19,GerDracor/lessing-miss-sara-sampson.xml,1102,1226,"Aus jeder kindischen Miene strahlte die
              Morgenröte eines Verstandes, einer Leutseligkeit, einer – – O schweig!",negative,emotions of rejection,emotional movement
20,GerDracor/lessing-miss-sara-sampson.xml,1227,1284,Zerfleischt nicht das Gegenwärtige mein Herz schon genug?,negative,emotions of suffering,suffering
21,GerDracor/lessing-miss-sara-sampson.xml,1285,1397,"Willst du meine
              Martern durch die Erinnerung an vergangne Glückseligkeiten noch höllischer machen?",negative,emotions of fear,suffering
22,GerDracor/lessing-miss-sara-sampson.xml,1412,1469,"Ändre deine Sprache, wenn du mir einen Dienst tun willst.",negative,emotions of rejection,anger
23,GerDracor/lessing-miss-sara-sampson.xml,1470,1604,"Tadle mich; mache mir aus
              meiner Zärtlichkeit  Sagte ich das, so würde ich eine Lüge sagen; eine unverschämte böse Lüge.",positive,emotions of rejection,anger
24,GerDracor/lessing-miss-sara-sampson.xml,1605,1737,"Sie könnte
              mir auf dem Todbette wieder einfallen, und ich alter Bösewicht müßte in Verzweiflung
              sterben.",negative,emotions of fear,despair
25,GerDracor/lessing-miss-sara-sampson.xml,1738,1789,"– Nein, Sarchen hat ihren Vater geliebt, und gewiß!",positive,emotions of affection,love
26,GerDracor/lessing-miss-sara-sampson.xml,1790,1796,gewiß!,positive,emotions of fear,joy
27,GerDracor/lessing-miss-sara-sampson.xml,1797,1830,"sie liebt ihn
              noch.",positive,emotions of affection,love
28,GerDracor/lessing-miss-sara-sampson.xml,1831,1941,"Wenn Sie nur davon überzeugt sein wollen, Sir, so sehe ich sie heute noch wieder
              in Ihren Armen.",positive,emotions of affection,love
29,GerDracor/lessing-miss-sara-sampson.xml,1942,1997,"Ja, Waitwell, nur davon verlange ich überzeugt zu sein.",negative,emotions of affection,friendship
30,GerDracor/lessing-miss-sara-sampson.xml,1998,2186,"Ich kann sie länger nicht
              entbehren; sie ist die Stütze meines Alters, und wenn sie nicht den traurigen Rest
              meines Lebens versüßen hilft, wer soll es denn tun?",positive,emotions of affection,love
31,GerDracor/lessing-miss-sara-sampson.xml,2187,2255,"Wenn sie mich noch liebt, so ist
              ihr Fehler vergessen.",positive,emotions of affection,love
32,GerDracor/lessing-miss-sara-sampson.xml,2256,2358,"Es war der Fehler eines zärtlichen Mädchens, und ihre Flucht war
              die Wirkung ihrer Reue.",negative,emotions of suffering,compassion
33,GerDracor/lessing-miss-sara-sampson.xml,2359,2578,"Solche Vergehungen sind besser, als erzwungene Tugenden – Doch
              ich fühle es, Waitwell, ich fühle es; wenn diese Vergehungen auch wahre Verbrechen,
              wenn es auch vorsätzliche Laster wären: ach!",negative,emotions of suffering,suffering
34,GerDracor/lessing-miss-sara-sampson.xml,2579,2607,ich würde ihr doch vergeben.,negative,emotions of affection,suffering
35,GerDracor/lessing-miss-sara-sampson.xml,2608,2712,"Ich würde
              doch lieber von einer lasterhaften Tochter, als von keiner, geliebt sein wollen.",positive,emotions of affection,love
36,GerDracor/lessing-miss-sara-sampson.xml,2713,2753,"Trocknen Sie Ihre Tränen ab, lieber Sir!",negative,emotions of suffering,compassion
37,GerDracor/lessing-miss-sara-sampson.xml,2754,2779,Ich höre jemanden kommen.,emotional movement,emotional movement,emotional movement
38,GerDracor/lessing-miss-sara-sampson.xml,2780,2834,"Es wird der Wirt
              sein, uns zu empfangen.",positive,emotions of joy,joy
39,GerDracor/lessing-miss-sara-sampson.xml,2835,2844,Der Wirt.,negative,emotional movement,anger
40,GerDracor/lessing-miss-sara-sampson.xml,2845,2865,Sir William Sampson.,emotional movement,emotional movement,emotional movement
41,GerDracor/lessing-miss-sara-sampson.xml,2866,2875,Waitwell.,emotional movement,emotional movement,emotional movement
42,GerDracor/lessing-miss-sara-sampson.xml,2876,2907,"So früh, meine Herren, so früh?",emotional movement,emotional movement,emotional movement
43,GerDracor/lessing-miss-sara-sampson.xml,2908,2919,Willkommen!,positive,emotions of joy,joy
44,GerDracor/lessing-miss-sara-sampson.xml,2920,2940,willkommen Waitwell!,positive,emotions of joy,joy
45,GerDracor/lessing-miss-sara-sampson.xml,2941,2996,"Ihr seid ohne
              Zweifel die Nacht gefahren?",negative,emotions of rejection,fear
46,GerDracor/lessing-miss-sara-sampson.xml,2997,3072,"Ist das der Herr, von dem du gestern mit mir gesprochen
              hast?",negative,emotional movement,emotional movement
47,GerDracor/lessing-miss-sara-sampson.xml,3073,3178,"Ja, er ist es, und ich hoffe, daß du abgeredeter Maßen – – Gnädiger Herr, ich bin ganz zu Ihren Diensten.",positive,emotions of affection,joy
48,GerDracor/lessing-miss-sara-sampson.xml,3179,3344,"Was liegt mir daran, ob ich es weiß,
              oder nicht, was Sie für eine Ursache hierher führt, und warum Sie bei mir im
              Verborgnen sein wollen?",emotional movement,emotional movement,emotional movement
49,GerDracor/lessing-miss-sara-sampson.xml,3345,3434,"Ein Wirt nimmt sein Geld, und läßt seine Gäste machen, was
              ihnen gut dünkt.",negative,emotions of rejection,anger
