,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1297,GerDracor/muellner-die-schuld.xml,67798,67942,"ihr wollt mich – wirft aus der Entfernung einiger Schritte den Degen, den er unter'm Mantel barg,
              ohne Heftigkeit zu Hugo's Füßen.",negative,emotions of affection,anger
1298,GerDracor/muellner-die-schuld.xml,67943,67956,Wie es fällt.,negative,emotions of suffering,emotional movement
1299,GerDracor/muellner-die-schuld.xml,67957,67971,Ficht mit mir!,negative,emotions of rejection,anger
1300,GerDracor/muellner-die-schuld.xml,67972,67992,Daß Gott mich wahre!,positive,emotions of affection,love
1301,GerDracor/muellner-die-schuld.xml,67993,68007,Mit dem Vater?,emotional movement,emotional movement,emotional movement
1302,GerDracor/muellner-die-schuld.xml,68008,68024,Des Erschlagnen.,negative,emotions of suffering,suffering
1303,GerDracor/muellner-die-schuld.xml,68025,68039,Mit dem Greis?,negative,emotional movement,emotional movement
1304,GerDracor/muellner-die-schuld.xml,68040,68120,"Nicht Ritterspeere Gilt es ja zu schwingen;  Waffen fordern Kunst, nicht Stärke.",negative,emotions of rejection,"hate, disgust"
1305,GerDracor/muellner-die-schuld.xml,68121,68130,dringend.,negative,emotions of fear,emotional movement
1306,GerDracor/muellner-die-schuld.xml,68131,68149,Denkt ihr nicht –?,negative,emotions of joy,emotional movement
1307,GerDracor/muellner-die-schuld.xml,68150,68172,Ich hab's beschlossen.,negative,emotions of rejection,anger
1308,GerDracor/muellner-die-schuld.xml,68173,68293,"Weiber wissen das Geheimniß, Und geheim nicht kann es bleiben, Und nicht ungerächt Don Karl Brudermord in meinem Stamme!",negative,emotions of rejection,Schadenfreude
1309,GerDracor/muellner-die-schuld.xml,68294,68386,"Diese Schmach, beim Himmel, wäscht  Wo er fiel, und heut noch fällt Karlos Mörder, oder ich!",negative,emotions of rejection,"hate, disgust"
1310,GerDracor/muellner-die-schuld.xml,68387,68398,schaudernd.,negative,emotions of fear,emotional movement
1311,GerDracor/muellner-die-schuld.xml,68400,68428,Fühlt ihr es in meine Seele?,positive,emotions of affection,love
1312,GerDracor/muellner-die-schuld.xml,68429,68494,"Wohl mag vor dem Kampf dir grauen, Doch ihn schuldig bist du mir.",negative,emotions of fear,despair
1313,GerDracor/muellner-die-schuld.xml,68495,68587,"Lieb' und Haß, Natur und Pflicht Reißen an dem Vaterherzen; Nur im Kampfe find' ich Frieden.",negative,emotions of suffering,love
1314,GerDracor/muellner-die-schuld.xml,68588,68618,"Darum nimm, und ficht mit mir!",negative,emotions of rejection,fear
1315,GerDracor/muellner-die-schuld.xml,68619,68630,Nimmermehr!,negative,emotions of rejection,anger
1316,GerDracor/muellner-die-schuld.xml,68631,68656,der  Ist der Thaten Herr.,positive,emotions of joy,admiration
1317,GerDracor/muellner-die-schuld.xml,68657,68763,"Es könnte, Wenn die Spitze naht der Brust, Mich die Lust zum Leben fassen, Ich euch tödten – Desto besser!",positive,emotions of joy,joy
1318,GerDracor/muellner-die-schuld.xml,68764,68855,"Und wenn  Ist ja euer Hals verfallen An den Blutbann dieses Landes, Welcher streng – stolz.",negative,emotions of rejection,"hate, disgust"
1319,GerDracor/muellner-die-schuld.xml,68856,68873,Wer sagt dir das?,negative,emotions of rejection,anger
1320,GerDracor/muellner-die-schuld.xml,68875,68901,Don Valeros und sein Haus.,negative,emotions of suffering,emotional movement
1321,GerDracor/muellner-die-schuld.xml,68902,68990,Dieser herrscht im Süden zweier Welten; hier im fremden Nord Sind wir niemand unterthan.,negative,emotions of rejection,"hate, disgust"
1322,GerDracor/muellner-die-schuld.xml,68991,69058,Fällst du; hat dich Gott gerichtet Durch das Oberhaupt des Stammes.,negative,emotions of rejection,suffering
1323,GerDracor/muellner-die-schuld.xml,69059,69072,Zaudre nicht.,negative,emotions of rejection,joy
1324,GerDracor/muellner-die-schuld.xml,69073,69095,Eh' stoßt mich nieder!,negative,emotions of rejection,despair
1325,GerDracor/muellner-die-schuld.xml,69096,69107,Meuchlings?,emotional movement,emotions of rejection,emotional movement
1326,GerDracor/muellner-die-schuld.xml,69108,69125,– Ist  getroffen.,positive,emotions of joy,joy
1327,GerDracor/muellner-die-schuld.xml,69127,69161,Mit Gemisch von Bitten und Warnen.,emotional movement,emotions of suffering,emotional movement
1328,GerDracor/muellner-die-schuld.xml,69162,69168,Vater!,emotional movement,emotional movement,emotional movement
1329,GerDracor/muellner-die-schuld.xml,69169,69198,"Mach', man könnt' uns Stören.",negative,emotions of rejection,anger
1330,GerDracor/muellner-die-schuld.xml,69199,69211,– Willst du?,negative,emotions of affection,anger
1331,GerDracor/muellner-die-schuld.xml,69212,69220,gepreßt.,positive,emotions of suffering,suffering
1332,GerDracor/muellner-die-schuld.xml,69221,69226,Nein!,emotional movement,emotions of rejection,emotional movement
1333,GerDracor/muellner-die-schuld.xml,69227,69232,warm.,positive,emotions of affection,love
1334,GerDracor/muellner-die-schuld.xml,69233,69270,Du trägst  Und bist  sich vergessend.,negative,emotions of affection,love
1335,GerDracor/muellner-die-schuld.xml,69271,69284,Wer sagt das?,negative,emotions of rejection,anger
1336,GerDracor/muellner-die-schuld.xml,69285,69312,"VALEROS Feig, Wie Banditen!",negative,emotions of rejection,"hate, disgust"
1337,GerDracor/muellner-die-schuld.xml,69313,69344,"außer sich, hebt den Degen auf.",negative,emotional movement,anger
1338,GerDracor/muellner-die-schuld.xml,69345,69359,Tod und Hölle!,negative,emotions of rejection,"hate, disgust"
1339,GerDracor/muellner-die-schuld.xml,69360,69411,stellt sich und reißt seinen Degen aus der Scheide.,negative,emotions of rejection,anger
1340,GerDracor/muellner-die-schuld.xml,69412,69420,Endlich!,positive,emotions of joy,joy
1341,GerDracor/muellner-die-schuld.xml,69421,69476,"– Zieh, gereizter Tiger, Und fall' aus auf meine Brust!",negative,emotions of rejection,anger
1342,GerDracor/muellner-die-schuld.xml,69477,69514,nach einer kurzen Pause der Erholung.,negative,emotional movement,emotional movement
1343,GerDracor/muellner-die-schuld.xml,69515,69581,"Nein; – Verflucht sei meine Hand, Wenn sie diesen Stahl entblößet.",negative,emotions of rejection,"hate, disgust"
1344,GerDracor/muellner-die-schuld.xml,69582,69690,"Er bricht dicht über der Scheide das Gefäß ab, und wirft beide Stücke hinter sich
              in den Saal.",negative,emotions of rejection,despair
1345,GerDracor/muellner-die-schuld.xml,69691,69724,Rost zerfreß' ihn in der Scheide.,negative,emotions of rejection,"hate, disgust"
1346,GerDracor/muellner-die-schuld.xml,69725,69757,im Kampf mit ausbrechender Wuth.,negative,emotions of rejection,anger
1347,GerDracor/muellner-die-schuld.xml,69758,69761,Ha!,emotional movement,emotional movement,emotional movement
1348,GerDracor/muellner-die-schuld.xml,69762,69824,"– Wohlan denn, willst du nicht   Beide können wir nicht leben!",positive,emotions of rejection,love
1349,GerDracor/muellner-die-schuld.xml,69825,69865,"Er eilt auf Hugo zu, ihn zu durchstoßen.",negative,emotions of rejection,"hate, disgust"
1350,GerDracor/muellner-die-schuld.xml,69866,69883,Hugo steht ruhig.,emotional movement,emotional movement,emotional movement
1351,GerDracor/muellner-die-schuld.xml,69884,69947,"Elvire, die schon
              eingetreten ist, fliegt herbei.",negative,emotions of joy,joy
1352,GerDracor/muellner-die-schuld.xml,69948,69960,Die Vorigen.,positive,emotions of rejection,emotional movement
1353,GerDracor/muellner-die-schuld.xml,69961,69983,"Elvire, ohne Schleier.",emotional movement,emotions of affection,emotional movement
1354,GerDracor/muellner-die-schuld.xml,69984,70124,"unterläuft Valeros, welcher Hugo zur Linken stand, drückt ihn zurück, und zieht,
              vor Hugo tretend, einen Dolch aus dem Gürtel.",negative,emotions of rejection,"hate, disgust"
1355,GerDracor/muellner-die-schuld.xml,70125,70134,Rasender!,negative,emotions of rejection,anger
1356,GerDracor/muellner-die-schuld.xml,70135,70170,– den Waffenlosen Willst du tödten?,negative,emotions of fear,fear
1357,GerDracor/muellner-die-schuld.xml,70171,70186,– hier komm an!,negative,emotions of suffering,joy
1358,GerDracor/muellner-die-schuld.xml,70187,70258,"Meine Hand ist stahlbewehrt; Seit ich   Den's gelüstet, uns zu trennen!",negative,emotions of fear,love
