,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
955,GerDracor/schiller-die-braut-von-messina.xml,87353,87411,"Hast du nichts, Nichts mir verschwiegen oder vorenthalten?",emotional movement,emotions of rejection,emotional movement
956,GerDracor/schiller-die-braut-von-messina.xml,87412,87426,Was denkst du?,negative,emotions of fear,emotional movement
957,GerDracor/schiller-die-braut-von-messina.xml,87427,87431,Wie?,emotional movement,emotional movement,emotional movement
958,GerDracor/schiller-die-braut-von-messina.xml,87432,87457,Was hätt ich zu gestehen?,negative,emotional movement,anger
959,GerDracor/schiller-die-braut-von-messina.xml,87458,87507,Von deiner Mutter hast du mir noch nichts Gesagt.,negative,emotions of rejection,emotional movement
960,GerDracor/schiller-die-braut-von-messina.xml,87508,87520,Wer ist sie?,emotional movement,emotional movement,emotional movement
961,GerDracor/schiller-die-braut-von-messina.xml,87521,87589,"Würdest du sie kennen, Wenn ich sie dir beschriebe – dir sie zeigte?",positive,emotions of affection,love
962,GerDracor/schiller-die-braut-von-messina.xml,87590,87636,Du kennst sie – kennst sie und verbargest mir?,negative,emotions of affection,love
963,GerDracor/schiller-die-braut-von-messina.xml,87637,87678,"Weh dir und wehe mir, wenn ich sie kenne!",negative,emotions of rejection,despair
964,GerDracor/schiller-die-braut-von-messina.xml,87679,87719,O sie ist gütig wie das Licht der Sonne!,positive,emotions of affection,admiration
965,GerDracor/schiller-die-braut-von-messina.xml,87720,87835,"Ich seh sie vor mir, die Erinnerung Belebt sich wieder, aus der Seele Tiefen Erhebt sich mir die göttliche Gestalt.",positive,emotions of affection,joy
966,GerDracor/schiller-die-braut-von-messina.xml,87836,88012,"Der braunen Locken dunkle Ringe seh ich Des weißen Halses edle Form beschatten,  Des großen Auges dunkelhellen Glanz, Auch ihrer Stimme seelenvolle Töne Erwachen mir – Weh mir!",negative,emotions of suffering,suffering
967,GerDracor/schiller-die-braut-von-messina.xml,88013,88031,Du schilderst sie!,negative,emotions of suffering,suffering
