,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
976,GerDracor/schiller-don-carlos-infant-von-spanien.xml,57974,58009,Erst laß mich zu mir selber kommen.,negative,emotional movement,emotional movement
977,GerDracor/schiller-don-carlos-infant-von-spanien.xml,58010,58046,– Zittern  Hab ich so stolz gehofft?,negative,emotions of fear,fear
978,GerDracor/schiller-don-carlos-infant-von-spanien.xml,58047,58085,Hab ich das je Zu träumen mir getraut?,positive,emotions of fear,suffering
979,GerDracor/schiller-don-carlos-infant-von-spanien.xml,58086,58148,"Wo ist der Mensch, Der sich so schnell gewöhnte, Gott zu sein?",negative,emotional movement,emotional movement
980,GerDracor/schiller-don-carlos-infant-von-spanien.xml,58149,58184,"– Wer war ich, und wer bin ich nun?",emotional movement,emotional movement,emotional movement
981,GerDracor/schiller-don-carlos-infant-von-spanien.xml,58185,58272,"Das ist Ein andrer Himmel, eine andre Sonne, Als vorhin dagewesen war – Sie liebt mich!",positive,emotions of affection,love
982,GerDracor/schiller-don-carlos-infant-von-spanien.xml,58273,58293,will ihn fortführen.,positive,emotions of joy,anger
983,GerDracor/schiller-don-carlos-infant-von-spanien.xml,58294,58392,"Prinz, Prinz, hier ist der Ort nicht – Sie vergessen – von einer plötzlichen Erstarrung ergriffen.",emotional movement,emotional movement,emotional movement
984,GerDracor/schiller-don-carlos-infant-von-spanien.xml,58393,58417,"Den König, meinen Vater!",emotional movement,emotions of rejection,despair
985,GerDracor/schiller-don-carlos-infant-von-spanien.xml,58418,58506,"Er läßt die Arme sinken, blickt scheu umher und fängt an, sich zu
              sammeln.",negative,emotions of fear,emotional movement
986,GerDracor/schiller-don-carlos-infant-von-spanien.xml,58507,58552,"Das ist schrecklich – Ja, ganz recht, Freund.",negative,emotions of suffering,compassion
987,GerDracor/schiller-don-carlos-infant-von-spanien.xml,58553,58602,"Ich danke dir, ich war Soeben nicht ganz bei mir.",positive,emotions of joy,joy
