,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
635,GerDracor/schiller-wallensteins-lager.xml,38767,38805,Werden uns viel um den Kaiser scheren.,positive,emotions of affection,admiration
636,GerDracor/schiller-wallensteins-lager.xml,38806,38842,Laß Er mich das nicht zweimal hören.,negative,emotions of rejection,anger
637,GerDracor/schiller-wallensteins-lager.xml,38843,38879,"'s ist aber doch so, wie ich gesagt.",positive,emotions of suffering,suffering
638,GerDracor/schiller-wallensteins-lager.xml,38880,38961,"Ja, ja, ich hörts immer so erzählen, Der Friedländer hab hier allein zu befehlen.",negative,emotions of rejection,anger
639,GerDracor/schiller-wallensteins-lager.xml,38962,39005,"So ists auch, das ist sein Beding und Pakt.",positive,emotions of affection,friendship
640,GerDracor/schiller-wallensteins-lager.xml,39006,39233,"Absolute Gewalt hat er, müßt ihr wissen, Krieg zu führen und Frieden zu schließen, Geld und Gut kann er konfiszieren, Kann henken lassen und pardonieren, Offiziere kann er und Obersten machen, Kurz, er hat alle die Ehrensachen.",positive,emotions of rejection,admiration
641,GerDracor/schiller-wallensteins-lager.xml,39234,39268,Das hat er vom Kaiser eigenhändig.,negative,emotions of affection,"hate, disgust"
642,GerDracor/schiller-wallensteins-lager.xml,39269,39387,"Der Herzog ist gewaltig und hochverständig; Aber er bleibt doch, schlecht und recht, Wie wir alle, des Kaisers Knecht.",negative,emotions of rejection,admiration
643,GerDracor/schiller-wallensteins-lager.xml,39388,39407,Nicht wie wir alle!,negative,emotions of rejection,anger
644,GerDracor/schiller-wallensteins-lager.xml,39408,39430,das wißt Ihr schlecht.,negative,emotions of rejection,compassion
645,GerDracor/schiller-wallensteins-lager.xml,39431,39507,"Er ist ein unmittelbarer und freier Des Reiches Fürst, so gut wie der Bayer.",positive,emotions of affection,admiration
646,GerDracor/schiller-wallensteins-lager.xml,39508,39648,"Sah ichs etwa nicht selbst mit an, Als ich zu Brandeis die Wach getan, Wie ihm der Kaiser selbsten erlaubt Zu bedecken sein fürstlich Haupt?",negative,emotions of affection,joy
647,GerDracor/schiller-wallensteins-lager.xml,39649,39723,"Das war für das Mecklenburger Land, Das ihm der Kaiser versetzt als Pfand.",positive,emotions of affection,admiration
648,GerDracor/schiller-wallensteins-lager.xml,39724,39741,zum Wachtmeister.,positive,emotions of affection,admiration
649,GerDracor/schiller-wallensteins-lager.xml,39742,39746,Wie?,emotional movement,emotional movement,emotional movement
650,GerDracor/schiller-wallensteins-lager.xml,39747,39772,In des Kaisers Gegenwart?,emotional movement,emotional movement,emotional movement
651,GerDracor/schiller-wallensteins-lager.xml,39773,39809,Das ist doch seltsam und sehr apart!,emotional movement,emotional movement,emotional movement
652,GerDracor/schiller-wallensteins-lager.xml,39810,39830,fährt in die Tasche.,emotional movement,emotional movement,anger
653,GerDracor/schiller-wallensteins-lager.xml,39831,39892,"Wollt ihr mein Wort nicht gelten lassen,  Eine Münze zeigend.",negative,emotions of rejection,anger
654,GerDracor/schiller-wallensteins-lager.xml,39893,39921,Wes ist das Bild und Gepräg?,emotional movement,emotional movement,emotional movement
655,GerDracor/schiller-wallensteins-lager.xml,39922,39932,Weist her!,negative,emotions of rejection,anger
656,GerDracor/schiller-wallensteins-lager.xml,39933,39966,"Ei, das ist ja ein Wallensteiner!",emotional movement,emotions of joy,emotional movement
657,GerDracor/schiller-wallensteins-lager.xml,39967,39970,Na!,emotional movement,emotional movement,emotional movement
658,GerDracor/schiller-wallensteins-lager.xml,39971,40004,"da habt ihrs, was wollt ihr mehr?",positive,emotions of joy,love
659,GerDracor/schiller-wallensteins-lager.xml,40005,40041,Ist er nicht Fürst so gut als einer?,emotional movement,emotions of affection,admiration
660,GerDracor/schiller-wallensteins-lager.xml,40042,40083,"Schlägt er nicht Geld, wie der Ferdinand?",negative,emotions of rejection,anger
661,GerDracor/schiller-wallensteins-lager.xml,40084,40119,Hat er nicht eigenes Volk und Land?,negative,emotions of rejection,emotional movement
662,GerDracor/schiller-wallensteins-lager.xml,40120,40163,Eine Durchlauchtigkeit läßt er sich nennen!,positive,emotions of rejection,admiration
663,GerDracor/schiller-wallensteins-lager.xml,40164,40199,Drum muß er Soldaten halten können.,negative,emotions of affection,admiration
664,GerDracor/schiller-wallensteins-lager.xml,40200,40233,Das disputiert ihm niemand nicht.,negative,emotions of rejection,anger
665,GerDracor/schiller-wallensteins-lager.xml,40234,40313,"Wir aber stehn in des Kaisers Pflicht, Und wer uns bezahlt, das ist der Kaiser.",negative,emotions of affection,anger
666,GerDracor/schiller-wallensteins-lager.xml,40314,40357,"Das leugn ich Ihm, sieht Er, ins Angesicht.",negative,emotions of rejection,"hate, disgust"
667,GerDracor/schiller-wallensteins-lager.xml,40358,40443,Wer uns  Hat man uns nicht seit vierzig Wochen Die Löhnung immer umsonst versprochen?,negative,emotions of rejection,anger
668,GerDracor/schiller-wallensteins-lager.xml,40444,40451,Ei was!,emotional movement,emotional movement,emotional movement
669,GerDracor/schiller-wallensteins-lager.xml,40452,40481,das steht ja in guten Händen.,positive,emotions of affection,joy
670,GerDracor/schiller-wallensteins-lager.xml,40482,40499,"Fried, ihr Herrn!",positive,emotions of affection,joy
671,GerDracor/schiller-wallensteins-lager.xml,40500,40529,Wollt ihr mit Schlägen enden?,negative,emotions of rejection,anger
672,GerDracor/schiller-wallensteins-lager.xml,40530,40596,"Ist denn darüber Zank und Zwist, Ob der Kaiser unser Gebieter ist?",emotional movement,emotional movement,emotional movement
